microRNA	Fold change	P-value
hsa-miR-521	-2.14	6.79E-04
hsa-miR-486-3p	-2.07	3.00E-02
hsa-miR-553	-2.02	1.78E-02
hsa-miR-452	-2.01	1.02E-02
hsa-miR-628-3p	-1.96	2.62E-02
hsa-miR-620	-1.9	4.62E-02
hsa-miR-566	-1.86	2.32E-02
hsa-miR-892a	-1.81	1.15E-02
hsa-miR-339-5p	-1.81	2.98E-02
hsa-miR-628	-1.78	2.14E-02
hsa-miR-421	-1.77	3.26E-02
hsa-miR-520d-5p	-1.76	3.09E-02
hsa-miR-616	-1.73	4.44E-02
hsa-miR-297	1.58	3.42E-02
hsa-miR-213	1.69	3.07E-02
hsa-miR-519e	1.97	9.59E-03
hsa-miR-422a	2.09	1.78E-02
hsa-miR-183	2.16	9.88E-03
hsa-miR-198	2.27	2.21E-03
hsa-miR-122a	2.38	4.97E-02
hsa-miR-1236	2.46	1.28E-02
