Probe ID	Gene Title	Gene Symbol	Ratio of expression
203247_s_at	zinc finger protein 24	ZNF24	0.547020715
202581_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	2.128224636
221190_s_at	chromosome 18 open reading frame 8	C18orf8	2.061540578
202160_at	CREB binding protein	CREBBP	0.459163916
221649_s_at	peter pan homolog (Drosophila)	PPAN	0.364519291
220643_s_at	Fas apoptotic inhibitory molecule	FAIM	0.408027281
219821_s_at	glucose-fructose oxidoreductase domain containing 1	GFOD1	1.862829612
218645_at	zinc finger protein 277	ZNF277	2.029242092
214061_at	WD repeat domain 67	WDR67	1.885053118
204618_s_at	GA binding protein transcription factor, beta subunit 1	GABPB1	0.368753812
218699_at	RAB7, member RAS oncogene family-like 1	RAB7L1	2.765941104
206499_s_at	regulator of chromosome condensation 1 /// SNHG3-RCC1 readthrough transcript	RCC1 /// SNHG3-RCC1	0.551750277
217099_s_at	gem (nuclear organelle) associated protein 4	GEMIN4	0.529415456
209927_s_at	chromosome 1 open reading frame 77	C1orf77	0.550820983
208290_s_at	eukaryotic translation initiation factor 5	EIF5	0.554533805
201394_s_at	RNA binding motif protein 5	RBM5	0.575814815
44146_at	glucocorticoid modulatory element binding protein 2	GMEB2	0.424449632
220661_s_at	zinc finger protein 692	ZNF692	0.4527885
202692_s_at	upstream binding transcription factor, RNA polymerase I	UBTF	0.416719322
218251_at	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	MID1IP1	0.509210132
203848_at	A kinase (PRKA) anchor protein 8	AKAP8	0.401242537
50376_at	zinc finger protein 444	ZNF444	0.50644819
203847_s_at	A kinase (PRKA) anchor protein 8	AKAP8	0.501085072
202153_s_at	nucleoporin 62kDa	NUP62	0.500818228
204204_at	solute carrier family 31 (copper transporters), member 2	SLC31A2	2.50245231
221865_at	chromosome 9 open reading frame 91	C9orf91	0.42377321
213528_at	chromosome 1 open reading frame 156	C1orf156	0.531398088
41160_at	methyl-CpG binding domain protein 3	MBD3	0.513818548
222103_at	activating transcription factor 1	ATF1	0.461774752
219966_x_at	BTG3 associated nuclear protein	BANP	0.453103311
212100_s_at	polymerase (DNA-directed), delta interacting protein 3	POLDIP3	0.506373975
204367_at	Sp2 transcription factor	SP2	0.499087299
219798_s_at	methylphosphate capping enzyme	MEPCE	0.322131622
201773_at	activity-dependent neuroprotector homeobox	ADNP	0.4217119
200083_at	ubiquitin specific peptidase 22	USP22	0.609684051
202240_at	polo-like kinase 1 (Drosophila)	PLK1	0.431000429
221830_at	RAP2A, member of RAS oncogene family	RAP2A	1.852500777
209431_s_at	POZ (BTB) and AT hook containing zinc finger 1	PATZ1	0.336714733
214141_x_at	splicing factor, arginine/serine-rich 7, 35kDa	SFRS7	0.535689349
213295_at	cylindromatosis (turban tumor syndrome)	CYLD	2.821750886
212721_at	splicing factor, arginine/serine-rich 12	SFRS12	0.462004653
217798_at	CCR4-NOT transcription complex, subunit 2	CNOT2	0.564489133
202417_at	kelch-like ECH-associated protein 1	KEAP1	0.2820178
208610_s_at	serine/arginine repetitive matrix 2	SRRM2	0.496405186
214499_s_at	BCL2-associated transcription factor 1	BCLAF1	0.535885666
204998_s_at	activating transcription factor 5	ATF5	0.446236884
210820_x_at	coenzyme Q7 homolog, ubiquinone (yeast)	COQ7	0.46474443
209192_x_at	K(lysine) acetyltransferase 5	KAT5	0.423781159
217957_at	chromosome 16 open reading frame 80	C16orf80	1.693065925
202606_s_at	tousled-like kinase 1	TLK1	0.611433368
218968_s_at	zinc finger protein 64 homolog (mouse)	ZFP64	0.438078528
208939_at	selenophosphate synthetase 1	SEPHS1	0.493386308
218487_at	aminolevulinate, delta-, dehydratase	ALAD	1.8617745
208620_at	poly(rC) binding protein 1	PCBP1	0.55531372
208922_s_at	nuclear RNA export factor 1	NXF1	1.907930608
55065_at	MAP/microtubule affinity-regulating kinase 4	MARK4	2.396151692
206689_x_at	K(lysine) acetyltransferase 5	KAT5	0.438172509
201101_s_at	BCL2-associated transcription factor 1	BCLAF1	0.585001203
207830_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 8	PPP1R8	0.609926766
207740_s_at	nucleoporin 62kDa	NUP62	0.489639114
218432_at	F-box protein 3	FBXO3	1.821663831
208708_x_at	eukaryotic translation initiation factor 5	EIF5	0.589731468
209158_s_at	cytohesin 2	CYTH2	0.592008728
209679_s_at	small trans-membrane and glycosylated protein	SMAGP	0.483862818
204436_at	pleckstrin homology domain containing, family O member 2	PLEKHO2	1.758292769
214258_x_at	K(lysine) acetyltransferase 5	KAT5	0.443472004
209746_s_at	coenzyme Q7 homolog, ubiquinone (yeast)	COQ7	0.426653865
209479_at	coiled-coil domain containing 28A	CCDC28A	2.571072112
206929_s_at	nuclear factor I/C (CCAAT-binding transcription factor)	NFIC	0.565268568
208785_s_at	microtubule-associated protein 1 light chain 3 beta	MAP1LC3B	1.789503275
203680_at	protein kinase, cAMP-dependent, regulatory, type II, beta	PRKAR2B	2.557362652
201685_s_at	TOX high mobility group box family member 4	TOX4	1.826394272
212163_at	kinase D-interacting substrate, 220kDa	KIDINS220	1.625882216
200800_s_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	2.030229729
217842_at	LUC7-like 2 (S. cerevisiae)	LUC7L2	0.37842973
208079_s_at	aurora kinase A	AURKA	0.502385334
201395_at	RNA binding motif protein 5	RBM5	0.567103064
210734_x_at	MYC associated factor X	MAX	2.317525549
203927_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	NFKBIE	1.778400772
208786_s_at	microtubule-associated protein 1 light chain 3 beta	MAP1LC3B	2.289405062
212237_at	additional sex combs like 1 (Drosophila)	ASXL1	0.485198326
208705_s_at	eukaryotic translation initiation factor 5	EIF5	0.569541763
202364_at	MAX interactor 1	MXI1	2.126897187
212800_at	syntaxin 6	STX6	1.851679626
202113_s_at	sorting nexin 2	SNX2	1.588626502
220099_s_at	LUC7-like 2 (S. cerevisiae)	LUC7L2	0.402726788
202260_s_at	syntaxin binding protein 1	STXBP1	2.857483312
204547_at	RAB40B, member RAS oncogene family	RAB40B	2.354947842
218032_at	stannin	SNN	3.161165103
209674_at	cryptochrome 1 (photolyase-like)	CRY1	2.011586563
222251_s_at	glucocorticoid modulatory element binding protein 2	GMEB2	0.385346354
204730_at	regulating synaptic membrane exocytosis 3	RIMS3	3.378654148
212802_s_at	GTPase activating protein and VPS9 domains 1	GAPVD1	1.628510764
213376_at	zinc finger and BTB domain containing 1	ZBTB1	0.333368825
217950_at	nitric oxide synthase interacting protein	NOSIP	1.61656528
208706_s_at	eukaryotic translation initiation factor 5	EIF5	0.521516764
218395_at	ARP6 actin-related protein 6 homolog (yeast)	ACTR6	1.73297786
220761_s_at	TAO kinase 3	TAOK3	2.367711422
203660_s_at	pericentrin	PCNT	0.468529885
212798_s_at	ankyrin repeat and MYND domain containing 2	ANKMY2	2.660166277
