Direction	Entrez Gene ID	Gene Symbol	Gene Description
Up	1960	EGR3	early growth response 3
Up	9687	GREB1	growth regulation by estrogen in breast cancer 1
Up	6387	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
Up	11098	PRSS23	protease, serine, 23
Up	6584	SLC22A5	solute carrier family 22 (organic cation/carnitine transporter), member 5
Up	3221	HOXC4	homeobox C4
Up	6478	SIAH2	seven in absentia homolog 2 (Drosophila)
Up	164	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
Up	2743	GLRB	glycine receptor, beta
Up	771	CA12	carbonic anhydrase XII
Up	2353	FOS	FBJ murine osteosarcoma viral oncogene homolog
Up	990	CDC6	cell division cycle 6 homolog (S. cerevisiae)
Up	5979	RET	ret proto-oncogene
Up	8839	WISP2	WNT1 inducible signaling pathway protein 2
Up	115	ADCY9	adenylate cyclase 9
Up	9536	PTGES	prostaglandin E synthase
Up	799	CALCR	calcitonin receptor
Up	4603	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
Up	3487	IGFBP4	insulin-like growth factor binding protein 4
Up	10125	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)
Up	23286	WWC1	WW and C2 domain containing 1
Up	7153	TOP2A	topoisomerase (DNA) II alpha 170kDa
Up	744	MPPED2	metallophosphoesterase domain containing 2
Up	5984	RFC4	replication factor C (activator 1) 4, 37kDa
Up	11031	RAB31	RAB31, member RAS oncogene family
Up	7031	TFF1	trefoil factor 1
Up	8204	NRIP1	nuclear receptor interacting protein 1
Up	23136	EPB41L3	erythrocyte membrane protein band 4.1-like 3
Up	6383	SDC2	syndecan 2
Up	23089	PEG10	paternally expressed 10
Up	4137	MAPT	microtubule-associated protein tau
Up	25800	SLC39A6	solute carrier family 39 (zinc transporter), member 6
Up	1543	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
Up	1545	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1
Down	3625	INHBB	inhibin, beta B
Down	8870	IER3	immediate early response 3
Down	2057	EPOR	erythropoietin receptor
