Gene	Entrez Gene Name	Fold difference	p-value	Location
A2M	alpha-2-macroglobulin	0.81	2.60E-02	Extracellular Space
AQP5	aquaporin 5	0.81	1.10E-02	Plasma Membrane
AREG	amphiregulin	1.51	3.70E-02	Extracellular Space
AVIL	advillin	0.77	6.20E-03	Cytoplasm
CALML3	calmodulin-like 3	1.36	5.00E-03	Cytoplasm
CD38	CD38 molecule	0.71	2.00E-02	Plasma Membrane
CNN2	calponin 2	1.24	1.00E-02	Cytoplasm
CXCR4	chemokine (C-X-C motif) receptor 4	0.8	2.60E-02	Plasma Membrane
DDR1	discoidin domain receptor tyrosine kinase 1	0.81	1.20E-03	Plasma Membrane
DKK1	dickkopf homolog 1 (Xenopus laevis)	1.47	2.90E-02	Extracellular Space
EFNB2	ephrin-B2	0.8	3.80E-02	Plasma Membrane
EPHB3	EPH receptor B3	0.76	1.20E-02	Plasma Membrane
FOXA2	forkhead box A2	0.64	4.00E-03	Nucleus
GAP43	growth associated protein 43	1.33	1.60E-02	Plasma Membrane
GDF6	growth differentiation factor 6	1.32	4.00E-02	Extracellular Space
GFRA1	GDNF family receptor alpha 1	1.31	1.20E-02	Plasma Membrane
HES1	hairy and enhancer of split 1, (Drosophila)	0.8	1.40E-02	Nucleus
SD11B2	hydroxysteroid (11-beta) dehydrogenase 2	0.77	1.80E-03	Cytoplasm
ICAM5	intercellular adhesion molecule 5, telencephalin	1.27	2.40E-02	Plasma Membrane
IGFBP5	insulin-like growth factor binding protein 5	0.75	7.00E-03	Extracellular Space
IGHM	immunoglobulin heavy constant mu	0.66	7.20E-03	Plasma Membrane
IGKC	immunoglobulin kappa constant	0.56	1.70E-03	Extracellular Space
IL15	interleukin 15	1.31	4.60E-02	Extracellular Space
KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	0.78	1.20E-03	Plasma Membrane
LIPG	lipase, endothelial	0.73	7.40E-03	Extracellular Space
MATK	megakaryocyte-associated tyrosine kinase	1.27	2.20E-03	Cytoplasm
MDK	midkine (neurite growth-promoting factor 2)	0.75	2.40E-03	Extracellular Space
EVI1	MDS1 and EVI1 complex locus	0.77	4.60E-03	Nucleus
MMP1	matrix metallopeptidase 1 (interstitial collagenase)	0.69	4.70E-02	Extracellular Space
NPAS3	neuronal PAS domain protein 3	0.7	1.60E-02	Nucleus
NPY	neuropeptide Y	1.64	2.80E-02	Extracellular Space
NRG4	neuregulin 4	0.71	8.50E-03	Extracellular Space
NTF5	neurotrophin 4	1.35	3.70E-02	Extracellular Space
PAX6	paired box 6	0.75	1.80E-02	Nucleus
PCSK6	proprotein convertase subtilisin/kexin type 6	0.81	2.40E-02	Extracellular Space
POU2AF1	POU class 2 associating factor 1	0.63	2.00E-03	Nucleus
POU5F1	POU class 5 homeobox 1	1.24	1.10E-02	Nucleus
RTN4R	reticulon 4 receptor	0.78	3.40E-04	Plasma Membrane
S100A4	S100 calcium binding protein A4	0.78	4.60E-02	Cytoplasm
SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	0.81	1.50E-02	Plasma Membrane
SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	1.29	3.40E-02	Extracellular Space
TRPV6	transient receptor potential cation channel, subfamily V, member 6	0.8	6.40E-03	Plasma Membrane
TSPAN7	tetraspanin 7	0.69	1.00E-02	Plasma Membrane
XBP1	X-box binding protein 1	0.8	9.20E-03	Nucleus
