P-value	FDR	Fold-change (Slug/Neo Control)	Probe set	Gene symbol	Description
4.00E-07	3.77E-05	125.764	215076_s_at	COL3A1	collagen, type III, alpha 1
6.50E-06	8.10E-05	77.033	212464_s_at	FN1	fibronectin 1
4.00E-07	3.77E-05	73.86	211719_x_at	FN1	fibronectin 1
1.80E-06	5.65E-05	68.125	201852_x_at	COL3A1	collagen, type III, alpha 1
9.00E-07	5.36E-05	60.721	216442_x_at	FN1	fibronectin 1
5.30E-06	7.44E-05	52.226	211161_s_at	COL3A1	collagen, type III, alpha 1
1.50E-06	5.65E-05	50.446	210495_x_at	FN1	fibronectin 1
3.00E-07	3.57E-05	34.892	225242_s_at	CCDC80	coiled-coil domain containing 80
1.00E-07	3.57E-05	31.631	212764_at	ZEB1	zinc finger E-box binding homeobox 1
1.70E-06	5.65E-05	31.44	201280_s_at	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
6.80E-06	8.13E-05	29.978	202627_s_at	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
3.58E-05	0.0001783	29.051	235236_at	LOC100131897	Uncharacterized protein LOC100131897
7.60E-06	8.38E-05	28.914	202628_s_at	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
1.20E-06	5.65E-05	28.279	201278_at	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
3.00E-07	3.57E-05	27.903	202998_s_at	LOXL2	lysyl oxidase-like 2
5.58E-05	0.0002302	25.733	203700_s_at	DIO2	deiodinase, iodothyronine, type II
1.89E-05	0.0001291	25.347	226218_at	IL7R	interleukin 7 receptor
0.0001374	0.0003977	24.015	231240_at	DIO2	deiodinase, iodothyronine, type II
2.70E-06	6.21E-05	23.453	218332_at	BEX1	brain expressed, X-linked 1
1.90E-06	5.65E-05	23.422	201426_s_at	VIM	vimentin
1.90E-06	5.65E-05	22.666	215446_s_at	LOX	lysyl oxidase
3.00E-07	3.57E-05	20.409	210757_x_at	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
2.97E-05	0.0001658	19.681	235004_at	RBM24	RNA binding motif protein 24
3.40E-06	6.74E-05	18.98	203699_s_at	DIO2	deiodinase, iodothyronine, type II
4.00E-07	3.77E-05	17.842	201279_s_at	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
1.80E-06	5.65E-05	17.442	239218_at	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa
8.49E-05	0.0003004	16.772	219935_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5
1.00E-07	3.57E-05	16.169	220014_at	PRR16	proline rich 16
3.12E-05	0.0001676	16.004	215767_at	ZNF804A	zinc finger protein 804A
9.70E-06	9.41E-05	15.927	231867_at	ODZ2	odz, odd Oz/ten-m homolog 2 (Drosophila)
1.90E-06	5.65E-05	15.657	222862_s_at	AK5	adenylate kinase 5
7.10E-06	8.26E-05	15.59	224823_at	MYLK	myosin light chain kinase
4.70E-06	7.04E-05	13.947	201645_at	TNC	tenascin C
0.0001379	0.0003977	13.742	1555673_at	KRTAP2-1	keratin associated protein 2-1
9.70E-06	9.41E-05	13.477	204584_at	L1CAM	L1 cell adhesion molecule
1.40E-06	5.65E-05	13.437	211340_s_at	MCAM	melanoma cell adhesion molecule
1.00E-07	3.57E-05	13.347	203060_s_at	PAPSS2	3@#$%&-phosphoadenosine 5@#$%&-phosphosulfate synthase 2
2.46E-05	0.0001487	13.265	211959_at	IGFBP5	insulin-like growth factor binding protein 5
8.70E-06	9.19E-05	12.976	236344_at	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa
4.69E-05	0.0002039	12.95	209101_at	CTGF	connective tissue growth factor
0.0002393	0.0005894	12.705	1570155_at	NA	NA
1.30E-06	5.65E-05	12.693	225793_at	LIX1L	Lix1 homolog (mouse)-like
9.00E-07	5.36E-05	12.676	202766_s_at	FBN1	fibrillin 1
2.00E-06	5.72E-05	12.521	230147_at	F2RL2	coagulation factor II (thrombin) receptor-like 2
7.80E-06	8.44E-05	12.282	203440_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)
3.30E-06	6.60E-05	12.076	229461_x_at	NEGR1	neuronal growth regulator 1
8.52E-05	0.0003009	11.808	229228_at	CREB5	cAMP responsive element binding protein 5
1.40E-06	5.65E-05	11.572	204472_at	GEM	GTP binding protein overexpressed in skeletal muscle
9.80E-06	9.43E-05	11.556	212077_at	CALD1	caldesmon 1
3.05E-05	0.0001676	11.404	205798_at	IL7R	interleukin 7 receptor
3.60E-06	6.75E-05	11.159	200982_s_at	ANXA6	annexin A6
1.90E-06	5.65E-05	10.776	228335_at	CLDN11	claudin 11
1.20E-06	5.65E-05	10.623	206969_at	KRT34	keratin 34
1.70E-05	0.000122	10.574	229357_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5
5.90E-06	7.80E-05	10.247	243818_at	SFTA1P	surfactant associated 1 (pseudogene)
2.00E-06	5.72E-05	10.037	213790_at	ADAM12	ADAM metallopeptidase domain 12
0.0002596	0.0006198	9.684	235518_at	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
3.59E-05	0.0001784	9.477	235417_at	SPOCD1	SPOC domain containing 1
1.19E-05	0.0001035	9.354	226237_at	NA	NA
0.0001207	0.0003668	9.262	232914_s_at	SYTL2	synaptotagmin-like 2
1.78E-05	0.0001254	9.051	202237_at	NNMT	nicotinamide N-methyltransferase
1.95E-05	0.0001304	8.832	200665_s_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
2.04E-05	0.0001345	8.757	201616_s_at	CALD1	caldesmon 1
4.33E-05	0.0001946	8.719	238919_at	NA	NA
4.00E-07	3.77E-05	8.686	235368_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5
9.00E-07	5.36E-05	8.506	221584_s_at	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
1.20E-05	0.0001036	8.39	232235_at	DSEL	dermatan sulfate epimerase-like
6.00E-07	4.84E-05	8.37	209087_x_at	MCAM	melanoma cell adhesion molecule
4.96E-05	0.000214	8.347	204298_s_at	LOX	lysyl oxidase
0.0001568	0.0004313	8.264	213416_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)
1.16E-05	0.0001021	8.204	203058_s_at	PAPSS2	3@#$%&-phosphoadenosine 5@#$%&-phosphosulfate synthase 2
1.53E-05	0.0001177	7.969	227061_at	NA	NA
2.68E-05	0.0001554	7.88	212607_at	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
0.0002017	0.0005147	7.88	227123_at	RAB3B	RAB3B, member RAS oncogene family
6.10E-06	7.93E-05	7.877	226777_at	NA	NA
1.21E-05	0.0001036	7.766	229004_at	NA	NA
3.90E-06	6.75E-05	7.53	227099_s_at	LOC387763	hypothetical protein LOC387763
0.0001203	0.0003667	7.479	202007_at	NID1	nidogen 1
