ProbeSet ID	Gene Symbol	Gene Title	UniGene ID	Fold change HD-MSC+TNF/LT versus HD-MSC	Fold change FL-MSC versus HD-MSC
221350_at	HOXC8	homeobox C8	Hs.664500	-2	-2.4
221660_at	MYLC2PL	myosin light chain 2. precursor lymphocyte-specific	Hs.247831	-2.1	-2.1
1554428_s_at	NLGN2	neuroligin 2	Hs.26229	-2.1	-2.4
209057_x_at	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	Hs.485471	-2.3	-2.1
1567913_at			Hs.621508	-2.3	-2.9
228312_at	PI16	peptidase inhibitor 16	Hs.25391	-2.3	-2.3
224375_at				-2.5	-2.1
234225_at				-2.6	-4.2
216246_at				-2.6	-2.8
201205_at				-2.8	-2.9
228208_x_at	ZNF354C	zinc finger protein 354C	Hs.709873	-2.8	-3.3
1563431_x_at			Hs.713288	-2.8	-3.6
218565_at	C9orf114	chromosome 9 open reading frame 114	Hs.224137	-2.9	-2.7
213048_s_at				-2.9	-2.6
213002_at	MARCKS	myristoylated alanine-rich protein kinase C substrate		-3.1	-2.9
211454_x_at	FKSG49	FKSG49		-3.2	-2.4
212952_at			Hs.593218	-3.3	-3
219138_at	RPL14	ribosomal protein L14	Hs.446522	-3.3	-7.7
214001_x_at			Hs.406620	-3.5	-3.7
214395_x_at			Hs.707453	-3.5	-2.6
212953_x_at	CALR	calreticulin	Hs.515162	-3.7	-3.2
209972_s_at	JTV1	JTV1 gene	Hs.301613	-3.9	-3.9
228204_at	PSMB4	Proteasome (prosome. macropain) subunit. beta type. 4	Hs.89545	-4	-4.6
201774_s_at	NCAPD2	non-SMC condensin I complex. subunit D2	Hs.5719	-4	-2.8
213979_s_at	CTBP1	C-terminal binding protein 1	Hs.208597	-4.4	-2.6
202648_at				-4.8	-5.6
201171_at	ATP6V0E1	ATPase. H+ transporting. lysosomal 9kDa. V0 subunit e1	Hs.484188	-4.8	-5.9
221995_s_at				-4.8	-3.7
214315_x_at	CALR	calreticulin	Hs.515162	-5.3	-6.7
216554_s_at				-5.6	-5.3
222027_at	NUCKS1	Nuclear casein kinase and cyclin-dependent kinase substrate 1	Hs.213061	-5.6	-10
212044_s_at	RPL27A	Ribosomal protein L27a	Hs.523463	-5.6	-5.6
213813_x_at				-5.9	-2.4
213736_at	COX5B	Cytochrome c oxidase subunit Vb	Hs.1342	-5.9	-2.4
229420_at			Hs.632573	-5.9	-5
202028_s_at	RPL38	ribosomal protein L38	Hs.380953	-6.3	-6.3
221943_x_at	RPL38	Ribosomal protein L38	Hs.380953	-6.3	-5.3
222968_at				-6.7	-10
231387_at			Hs.712966	-6.7	-5.9
213642_at				-7.7	-8.3
214041_x_at	RPL37A	Ribosomal protein L37a	Hs.433701	-7.7	-4.4
213875_x_at	C6orf62	chromosome 6 open reading frame 62	Hs.519930	-10	-10
234464_s_at	EME1	essential meiotic endonuclease 1 homolog 1 (S. pombe)	Hs.514330	-11.1	-4.4
224321_at	TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2	Hs.144513	-12.5	-8.3
230750_at			Hs.594199	-12.5	-2.6
224346_at				-14.3	-12.5
1556316_s_at	LOC284889 /// MIF	hypothetical protein LOC284889 /// macrophage migration inhibitory factor (glyco	Hs.707281	-16.7	-33.3
213350_at	RPS11	Ribosomal protein S11	Hs.433529	-16.7	-20
229538_s_at	IQGAP3	IQ motif containing GTPase activating protein 3	Hs.591495	-20	-4.6
