Function	Gene	Symbol	Clone ID	NF-kB Association	Fold Change LY2/Ker	Fold Change LY2/IkB-aM
CELL CYCLE/GROWTH	C-src tyrosine kinase	Csk	L0237H04		-2.693	2.358
CELL CYCLE/GROWTH	Calmodulin	Calm	H3006H05	activates NF-kB via IKK	-2.554	2.42
CELL CYCLE/GROWTH	Cell division cycle homolog 25a	Cdc25a	H3050E04		-2.341	2.269
CELL CYCLE/GROWTH	Cell division cycle homolog 45	Cdc45l	H3003E07		-2.032	2.029
CELL CYCLE/GROWTH	Cyclin C	Ccnc	C0117F09		-2.739	2.418
CELL CYCLE/GROWTH	Cyclin E2	Ccne2	C0186A01		-2.309	2.155
CELL CYCLE/GROWTH	Cyclin I	Ccni	H3149G05		-6.756	1.824
CELL CYCLE/GROWTH	Cyclin dependent kinase 4	Cdk4	H3147D06	target gene of NF-kB	-2.734	2.05
CELL CYCLE/GROWTH	Cyclin dependent kinase inhibit	Cdkn1c	H3097D03		-5.208	2.913
CELL CYCLE/GROWTH	Disabled homolg 2	Dab2	H3112G10		-2.159	2.364
CELL CYCLE/GROWTH	G1-related zinc finger protein	G1rzfp	H3101F04		-2.07	3.882
CELL CYCLE/GROWTH	Kinesin family member 5B	Kif5b	H3001E01		-2.873	3.174
CELL CYCLE/GROWTH	Platelet derived growth factor	Pdgfa	H3146C02		-2.15	2.906
CELL CYCLE/GROWTH	TGF beta 2	Tgfb2	H3055G07	inhibits NF-kB	-7.042	1.908
CELL CYCLE/GROWTH	Transmembrane 4 superfamily	Tm4sf1	H3116G07		-3.174	1.317
APOPTOSIS	Apoptosis associated speck-like	Asc	H3097H07	inducer of NF-kB	-2.645	2.144
APOPTOSIS	ATP binding cassette	Abcd3	H3143E03	NF-kB site in promoter	-2.89	2.535
APOPTOSIS	Bcl2/adenovirus E1B	Bnip3	H3103B07	Transient inhibitor of NF-kB	-2.364	2.436
APOPTOSIS	Cathepsin D	Ctsd	H3138H09		-3.948	7.462
APOPTOSIS	Endothelial monocyte activating protein	Emap2	H3155H05	inducer of NF-kB	-3.831	1.536
APOPTOSIS	Fas associating w/ death domain	Fadd	H3095D08	inducer of NF-kB	-3.597	2.975
APOPTOSIS	PolyC binding 4	Pcbp4	H3153H01		-2.754	2.601
INFLAMMATION/ANGIOGENESIS	Activated leukocyte cell adhesion	Alcam	H3120H03		-2.666	2.228
INFLAMMATION/ANGIOGENESIS	Coagulation factor III	F3	H3014G02	activates NF-kB via IKK	-4.672	3.858
INFLAMMATION/ANGIOGENESIS	Immunity associated protein 38	Imap38	H3091C02		-2.195	1.838
INFLAMMATION/ANGIOGENESIS	Interleukin 17 receptor	Il17r	H3008A03	activates NF-kB via MAPK	-3.021	3.048
INFLAMMATION/ANGIOGENESIS	Interleukin 2 receptor	Il2ra	J0052C08	NF-kB site in promoter	-2.262	2.207
INFLAMMATION/ANGIOGENESIS	Lymphocyte antigen 6 complex	Ly6a	H3115A08	inducer of NF-kB	-5.617	3.311
INFLAMMATION/ANGIOGENESIS	Mucin 18	Muc18	H3038B08		-2.398	2.395
INFLAMMATION/ANGIOGENESIS	Prothymosin beta	Ptmb4	H3143A02		-21.739	8.858
