Probe ID	Gene symbol	Gene name	Correlation with SBP	P -value	Correlation with DBP	P -value
1367882_at	Mtap1a	Microtubule-associated protein 1A	0.67	0.0002	0.53	0.0026
1376525_at	Khsrp	KH-type splicing regulatory protein	0.65	0.0003	0.58	0.0007
1379553_s_at	Nova2	neuro-oncological ventral antigen 2	0.61	0.0011	0.58	0.0013
1391761_at	Chit1	chitinase 1	0.58	0.0009	0.51	0.0041
1369000_at	Ntrk1	Neurotrophic tyrosine kinase receptor type 1	0.56	0.0016	0.68	0.0003
1370933_at	Myo1e	Myosin heavy chain myr 3	0.54	0.0021	0.64	0.0004
1371865_at	Tmem111	Transmembrane protein 111	0.54	0.003	0.6	0.0008
1382775_at	Ryr2	Ryanodine receptor type II	0.54	0.0033	0.53	0.0042
1381718_at	Kpna6	Karyopherin	0.53	0.0034	0.56	0.0028
1387107_at	Zbtb7a	Osteoclast-derived zinc finger protein	0.53	0.0028	0.48	0.0092
1369388_at	Musk	Muscle-specific kinase receptor	0.51	0.0064	0.5	0.0085
1370795_at	Foxc2	forkhead box C2	0.51	0.0048	0.56	0.0029
1397581_at	Rhov	ras homolog gene family, member V	0.51	0.0051	0.49	0.0089
1386800_at	Mocs3	molybdenum cofactor synthesis 3	0.5	0.0059	0.59	0.0009
1387525_at	Nxph4	Neurexophilin-4 precursor	0.49	0.0081	0.52	0.0043
1372829_at	Rbm8	RNA binding motif protein 8	-0.48	0.0089	-0.53	0.0027
1371038_at	Cebpg	CCAAT/enhancer-binding protein gamma	-0.5	0.0044	-0.59	0.0006
1372969_at	Fbxl3	Fbxl3 protein	-0.51	0.0035	-0.56	0.0014
1382152_at	Jarid1b	jumonji, AT rich interactive domain 1B	-0.53	0.0043	-0.53	0.003
1374304_at	Xrcc4	X-ray repair complementing defective repair	-0.54	0.0016	-0.61	0.0002
1369527_at	Cx3cr1	Fractalkine receptor	-0.54	0.0025	-0.5	0.0084
1393735_at	Qser1	glutamine and serine rich 1	-0.57	0.001	-0.48	0.0087
1369465_at	Hsd3b	3-beta-HSD V	-0.6	0.0008	-0.48	0.0076
1367727_at	Sec7	coiled-coil domain-containing protein 2	-0.62	0.0003	-0.57	0.0011
