Gene Symbol	Probeset ID	p-value	Fold-Change
VCAN	221731_x_at	7.19E-07	27.6772
VCAN	204620_s_at	1.19E-06	23.9441
VCAN	215646_s_at	8.59E-06	17.3676
	237351_at	6.71E-05	12.184
VCAN	211571_s_at	1.51E-05	11.6939
SDC2	212158_at	8.02E-07	10.4422
SPARCL1	200795_at	6.10E-07	10.3155
BEX1	218332_at	5.98E-06	10.2175
VCAN	204619_s_at	1.97E-05	9.9979
SOX11	204914_s_at	2.21E-11	9.88602
SOX11	204915_s_at	1.95E-10	8.92381
ALCAM	201952_at	5.11E-06	8.74668
RELN	205923_at	2.74E-08	8.49931
LHFPL3	236761_at	9.03E-13	8.27954
SDC2	212154_at	3.32E-05	7.96638
DDR2	225442_at	4.24E-07	7.68087
ITIH5	219064_at	0.000290594	7.14429
FLRT2	240259_at	3.59E-10	6.47776
SOX11	204913_s_at	2.64E-11	6.22406
ADRB1	229309_at	1.17E-08	5.69557
ENTPD1	209474_s_at	1.55E-05	5.65866
BMP7	209590_at	1.23E-06	5.63033
SORBS1	218087_s_at	0.000311949	5.58815
ENTPD1	207691_x_at	2.95E-05	5.57221
	241764_at	1.06E-07	5.48017
	215126_at	2.99E-05	5.20766
	222344_at	2.56E-05	4.97606
KCTD12	212192_at	2.51E-06	4.88052
DLK1	209560_s_at	5.14E-05	4.86861
KLRC3	207723_s_at	7.11E-06	4.63704
JPH1	229139_at	0.000137559	4.56788
AUTS2	212599_at	2.81E-06	4.55063
ITIH5	1553243_at	0.000269461	4.45542
KCTD12	212188_at	1.76E-06	4.38063
MYLK	224823_at	0.000576393	4.20643
C7orf41	226018_at	0.000543158	4.00387
FEZ1	203562_at	0.000390761	3.98864
TMEM67	238229_at	5.04E-06	3.83523
CDC42EP5	227850_x_at	3.31E-05	3.75138
ENTPD1	209473_at	2.46E-05	3.73971
SEMA3A	244163_at	4.66E-06	3.70716
WFDC1	219478_at	0.000756401	3.63278
FGFR2	203638_s_at	3.31E-07	3.58905
MARCKS	201670_s_at	8.45E-07	3.5787
SCUBE3	228407_at	1.37E-06	3.50774
PMP2	206826_at	5.38E-08	3.49846
ST7OT1	1555912_at	9.50E-05	3.49371
DNM1	215116_s_at	1.70E-05	3.49251
	222288_at	0.000298071	3.48863
	232105_at	1.88E-05	3.45192
SERTAD4	229674_at	0.000122543	3.41918
	230650_at	3.82E-07	3.38454
CHGB	204260_at	1.44E-05	3.3818
	228603_at	2.02E-06	3.25815
DDR2	205168_at	3.80E-05	3.24359
CBLN1	205747_at	2.06E-13	3.24032
SLC18A1	207074_s_at	2.23E-16	3.23164
	225193_at	2.44E-07	3.21723
	214896_at	4.22E-05	3.18691
MARCKS	225897_at	2.10E-05	3.16764
DST	232098_at	0.000149421	3.08663
FGFR3	204379_s_at	0.000182362	3.0766
PPP2R2C	228010_at	9.36E-11	3.07006
	1556306_at	2.08E-06	3.06775
	243780_at	0.000511184	3.05059
F11R	223000_s_at	1.02E-05	3.04
ADRB1	208214_at	8.87E-12	3.02816
LOC147727	235014_at	6.91E-05	3.00967
	229781_at	1.45E-05	3.00815
SLC25A21	220474_at	1.26E-11	3.00068
CADM1	209031_at	0.00042559	2.93524
	241529_at	3.08E-05	2.93504
NDRG4	209159_s_at	2.85E-06	2.91425
	1560739_a_at	4.66E-07	2.89797
BGN	213905_x_at	0.000109059	2.89785
ZNF638	1554248_at	5.20E-08	2.8811
CKMT1A /// CKMT1B	202712_s_at	7.50E-05	2.87747
FBRSL1	225704_at	2.93E-05	2.85817
PSMD11	208776_at	2.66E-06	2.84158
ENY2	226776_at	7.27E-06	2.83287
SEMA3A	244849_at	5.90E-07	2.83204
	242206_at	0.000831213	2.82546
	230752_at	1.74E-06	2.79583
	235733_at	0.000650363	2.79281
H3F3B	211998_at	1.30E-05	2.79005
PHF21B	1562309_s_at	9.82E-13	2.78559
GPER	210640_s_at	7.15E-06	2.77736
BMP7	211259_s_at	4.32E-06	2.75984
CHDH	229954_at	1.07E-09	2.75123
	238098_at	1.29E-06	2.74284
	235947_at	2.82E-10	2.73008
PMP2	235127_at	8.10E-06	2.72137
FXYD6	217897_at	0.000536974	2.71166
	231819_at	5.43E-07	2.68259
NAP1L1	1556121_at	0.00089277	2.67242
DKK3	230508_at	0.000334686	2.65918
	222824_at	8.64E-06	2.63378
NR4A2	216248_s_at	1.02E-05	2.61346
C8orf59	1555241_at	4.55E-05	2.59678
FLJ44342	226419_s_at	0.000828079	2.59444
ANKRD43	230238_at	7.99E-06	2.58609
C2orf68	65472_at	5.33E-07	2.57612
TMEM151B	213676_at	3.08E-05	2.57581
	229746_x_at	0.000269511	2.57526
	219880_at	1.14E-05	2.57442
PCMTD1	238114_at	1.94E-08	2.56774
C14orf82	233106_at	4.72E-06	2.56753
NRTN	210683_at	1.10E-05	2.54958
BGN	201261_x_at	0.000155029	2.54677
C17orf93	230845_at	9.33E-08	2.53148
	1564220_a_at	1.19E-06	2.53079
