Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
-1.665	1.88E-02	AA115473	ABL1	c-abl oncogene 1, receptor tyrosine kinase	Nucleus	kinase
-1.559	6.75E-03	AA125825	ACVR2A	activin A receptor, type IIA	Plasma Membrane	kinase
-1.754	3.15E-02	AI457674	ADRA1D	adrenergic, alpha-1D-, receptor	Plasma Membrane	G-protein coupled receptor
-2.949	2.91E-03	AI675714	AGR2	anterior gradient homolog 2 (Xenopus laevis)	Extracellular Space	other
1.823	2.16E-02	AI474406	ALOX15B	arachidonate 15-lipoxygenase, type B	Cytoplasm	enzyme
-1.746	1.90E-02	R91904	AQP3	aquaporin 3 (Gill blood group)	Plasma Membrane	transporter
-1.603	1.88E-02	T69754	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	Cytoplasm	other
-1.536	4.36E-02	T59948	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	Plasma Membrane	other
-1.528	2.95E-02	H14841	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	Plasma Membrane	transporter
1.645	6.72E-03	AA608519	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	Nucleus	other
-1.661	2.87E-03	AI688014	CASC3	cancer susceptibility candidate 3	Nucleus	other
-1.72	4.16E-02	AA458870	CDC37	cell division cycle 37 homolog (S. cerevisiae)	Cytoplasm	other
-1.78	2.17E-02	N67039	CDK6	cyclin-dependent kinase 6	Nucleus	kinase
-1.732	6.77E-04	AA411757	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	Plasma Membrane	transmembrane receptor
-1.892	1.67E-02	AA976699	CHGA	chromogranin A (parathyroid secretory protein 1)	Extracellular Space	other
-1.691	1.14E-02	AA682637	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	Cytoplasm	enzyme
-1.878	3.81E-02	AA128561	COL17A1	collagen, type XVII, alpha 1	Plasma Membrane	other
-1.909	7.28E-03	AA598507	COL7A1	collagen, type VII, alpha 1	Extracellular Space	other
1.59	4.21E-02	N20322	CREB5	cAMP responsive element binding protein 5	Nucleus	transcription regulator
1.735	3.92E-02	AA608843	CS	citrate synthase	Cytoplasm	enzyme
4.223	4.20E-02	AI239873	DNAJB7	DnaJ (Hsp40) homolog, subfamily B, member 7	Unknown	other
-1.819	6.41E-03	H44784	DST	dystonin	Plasma Membrane	other
-1.776	2.20E-03	AA455254	DUSP6	dual specificity phosphatase 6	Cytoplasm	phosphatase
-1.545	3.86E-04	H11003	EDN1	endothelin 1	Extracellular Space	other
-1.535	2.74E-02	AA459308	ELN	elastin	Extracellular Space	other
1.576	2.92E-03	R20625	EVL	Enah/Vasp-like	Cytoplasm	other
1.571	9.48E-03	AI023006	F2RL1	coagulation factor II (thrombin) receptor-like 1	Plasma Membrane	G-protein coupled receptor
