Affymetrix ID	Gene name	Gene symbol	Public transcript ID	0X	0.3X	0.6X	Fold change in 0.6X
1373506_at	Similar to early estrogen-induced gene 1 protein	LOC687750	XM_001080009	1.004	0.86	1.316	1.31
1374086_at	Rho GTPase activating protein 21	Arhgap21	XM_001074395	1.006	0.883	1.333	1.33
1371972_at	unc-84 homolog B (C. elegans)	Unc84b	XM_001076724	1.002	0.851	1.335	1.33
1379277_at	Transcribed locus, weakly similar to XP_518782.1 utrophin	-	AI575341	1.015	0.871	1.432	1.41
1378396_at	Transcribed locus	-	AI007647	0.96	0.822	1.366	1.42
1377831_at	Monoamine oxidase A	Maoa	XM_001058993	0.989	0.932	1.41	1.43
1387076_at	Hypoxia inducible factor 1, alpha subunit	Hif1a	NM_024359	0.91	0.879	1.327	1.46
1367706_at	Voltage-dependent anion channel 1	Vdac1	NM_031353	0.825	0.913	1.243	1.51
1373812_at	Cyclin-dependent kinase inhibitor 1B	Cdkn1b	NM_031762	0.877	0.987	1.331	1.52
1392980_at	T-cell lymphoma invasion and metastasis 1	Tiam1	XM_001072877	0.894	0.979	1.358	1.52
1372015_at	Transforming, acidic coiled-coil containing protein 1	Tacc1	NM_001004107	0.883	0.882	1.343	1.52
1373288_at	Suppression of tumorigenicity 5	St5	XM_001077434	0.898	0.943	1.369	1.52
1367814_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	Atp1b1	NM_013113	0.893	0.933	1.362	1.53
1386860_at	Milk fat globule-EGF factor 8 protein	Mfge8	NM_012811	0.892	1.011	1.362	1.53
1371567_at	Aldehyde dehydrogenase family 7, member A1	Aldh7a1	XM_001059375	0.869	0.976	1.334	1.54
1368253_at	Guanidinoacetate methyltransferase	Gamt	NM_012793	0.847	0.918	1.306	1.54
1388712_at	Pleckstrin homology, Sec7 and coiled-coil domains 3	Pscd3	NM_053912	0.831	0.928	1.284	1.55
1367985_at	Aminolevulinic acid synthase 2	Alas2	NM_013197	0.882	0.969	1.377	1.56
1372012_at	24-Dehydrocholesterol reductase	Dhcr24	NM_001080148	0.883	0.98	1.387	1.57
1370124_at	Metallothionein 3	Mt3	NM_053968	0.865	0.977	1.359	1.57
1375880_at	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2	Appbp2	XM_001081113	0.947	0.899	1.494	1.58
1383197_at	Junction adhesion molecule 2	Jam2	NM_001034004	0.844	0.899	1.332	1.58
1373400_at			AW918535	0.875	0.94	1.388	1.59
1387946_at	Lectin, galactoside-binding, soluble, 3 binding protein	Lgals3bp	NM_139096	0.834	0.95	1.325	1.59
1389367_at	Schwannomin interacting protein 1	Schip1	XM_001061820	0.898	0.911	1.429	1.59
1386906_a_at	Septin 9	Sept9	NM_031837	0.867	0.991	1.38	1.59
1370156_at	Prion protein	Prnp	NM_012631	0.958	0.872	1.525	1.59
1389538_at	Nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	Nfkbia	XM_343065	0.846	0.913	1.349	1.59
1389597_at	PiggyBac transposable element derived 5	Pgbd5	XM_001054148	0.92	0.959	1.477	1.61
1377735_at	Pleckstrin homology domain-containing, family A member 3	Plekha3	NM_001013077	0.839	0.977	1.347	1.61
1374458_at	Transcribed locus similar to serum/glucocorticoid regulated kinase	-	AI600031	0.921	0.956	1.485	1.61
1370080_at	Heme oxygenase (decycling) 1	Hmox1	NM_012580	0.882	0.956	1.423	1.61
1370288_a_at	Tropomyosin 1, alpha	Tpm1	AF372216	0.829	0.953	1.347	1.62
1388375_at	Protein kinase, cAMP dependent regulatory, type I, alpha	Prkar1a	NM_013181	0.818	0.896	1.333	1.63
1388307_at	Serine incorporator 1	Serinc1	NM_182951	0.829	0.947	1.358	1.64
1387675_at	Plasminogen activator, urokinase	Plau	NM_013085	0.863	0.961	1.414	1.64
1370648_a_at	SH3 domain binding protein CR16	Cr16	NM_147211	0.924	0.985	1.515	1.64
1386065_at	Transcribed locus	-	AI169118	0.941	0.864	1.548	1.65
1367686_at	Stress-associated endoplasmic reticulum protein 1	Serp1	NM_030835	0.821	0.956	1.357	1.65
1375339_at	Enthoprotin	Enth	BI296679	0.806	0.922	1.338	1.66
1389782_at	Similar to RIKEN cDNA 2010107G23 (predicted)	LOC679430	XM_001056304	0.914	1.011	1.52	1.66
1387074_at	Regulator of G-protein signaling 2	Rgs2	NM_053453	0.848	0.9	1.415	1.67
1368022_at	Inositol polyphosphate phosphatase-like 1	Inppl1	NM_022944	0.792	0.913	1.322	1.67
1392909_at	Transcribed locus	-	AT005674	0.88	0.982	1.473	1.67
1373374_at	LIM domain only 4	Lmo4	NM_001009708	0.78	0.92	1.314	1.68
1369947_at	Cathepsin K	Ctsk	NM_031560	0.842	0.949	1.436	1.71
1367755_at	Cysteine dioxygenase 1, cytosolic	Cdo1	NM_052809	0.839	0.986	1.432	1.71
1387008_at	Sideroflexin 3	Sfxn3	NM_022948	0.845	0.94	1.449	1.71
1367877_at	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	Slc11a2	NM_013173	0.796	0.924	1.368	1.72
1369609_at	Claudin 11	Cldn11	NM_053457	0.829	0.969	1.429	1.72
1376786_a_at	Transcribed locus	-	BF397709	0.916	0.955	1.58	1.72
1388409_at	Zinc finger CCCH-type containing 7B	Zc3h7b	XM_001077292	0.859	0.96	1.483	1.73
1379294_at	Transcribed locus	-	AA957424	0.812	0.938	1.412	1.74
1387883_a_at	Thymosin, beta 4	Tmsb4x	NM_031136	0.808	0.937	1.416	1.75
1398317_at	Bisphosphate 3-nucleotidase 1	Bpnt1	NM_171990	0.819	0.968	1.436	1.75
1381968_at	Cellular repressor of E1A-stimulated genes (predicted)	Creg1	XM_001075616	0.844	0.943	1.496	1.77
1389857_at	WW domain binding protein 5	Wbp5	XM_215278	0.862	0.944	1.53	1.77
1372754_at	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	Appl2	XM_001079632	0.863	0.935	1.532	1.78
