Gene Name	Affymetrix ID	Fold	P value	Gene Title
S100A7	205916_at	4.4	3.10E-02	S100 calcium binding protein A7
RPTN	1553454_at	4.3	1.70E-02	repetin
CYP1B1	202437_s_at	4.2	1.40E-11	cytochrome P450, family 1, subfamily B, polypeptide 1
CYP1B1	202436_s_at	3.2	6.90E-10	cytochrome P450, family 1, subfamily B, polypeptide 1
LOR	207720_at	3.2	9.40E-03	loricrin
CEACAM7	206198_s_at	3	3.10E-02	carcinoembryonic antigen-related cell adhesion molecule 7
CYP1A1	205749_at	2.5	1.10E-07	cytochrome P450, family 1, subfamily A, polypeptide 1
CYP1B1	202435_s_at	2.5	2.70E-08	cytochrome P450, family 1, subfamily B, polypeptide 1
HTR3A	216615_s_at	2.2	7.70E-03	5-hydroxytryptamine (serotonin) receptor 3A
GPX2	202831_at	2.1	3.10E-04	glutathione peroxidase 2 (gastrointestinal)
FCGBP	203240_at	2	2.90E-05	Fc fragment of IgG binding protein
---	227452_at	2	7.80E-10	Full-length cDNA clone CS0DD005YM12 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)
CCL26	223710_at	1.9	2.80E-02	chemokine (C-C motif) ligand 26
PNLIPRP3	1558846_at	1.9	6.20E-03	pancreatic lipase-related protein 3
ALOX12B	207381_at	1.9	1.20E-02	arachidonate 12-lipoxygenase, 12R type
LOC388610	227862_at	1.9	2.90E-02	hypothetical LOC388610
CD207	220428_at	1.8	1.30E-05	CD207 molecule, langerin
CHRNA3	210221_at	1.7	2.00E-04	cholinergic receptor, nicotinic, alpha 3
CYTL1	219837_s_at	1.7	1.60E-07	cytokine-like 1
NQO1	201468_s_at	1.7	6.70E-04	NAD(P)H dehydrogenase, quinone 1
NQO1	210519_s_at	1.6	2.10E-03	NAD(P)H dehydrogenase, quinone 1
NQO1	201467_s_at	1.5	4.90E-03	NAD(P)H dehydrogenase, quinone 1
CLEC7A	1555756_a_at	1.6	1.60E-02	C-type lectin domain family 7, member A
CLEC7A	221698_s_at	1.6	9.40E-04	C-type lectin domain family 7, member A
LOC344887	241418_at	1.6	6.20E-03	similar to hCG2041270
PTGES	210367_s_at	1.6	4.90E-02	prostaglandin E synthase
KRT10	207023_x_at	1.6	3.50E-02	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)
C10orf99	227736_at	1.6	9.40E-03	chromosome 10 open reading frame 99
C10orf99	227735_s_at	1.6	1.20E-02	chromosome 10 open reading frame 99
ALDH3A1	205623_at	1.6	2.90E-05	aldehyde dehydrogenase 3 family, memberA1
ALOX15B	206714_at	1.6	3.50E-02	arachidonate 15-lipoxygenase, type B
UGT1A6	221305_s_at	1.5	1.10E-02	UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP
UGT1A8				glucuronosyltransferase 1 family, polypeptide A8 ///
UGT1A9				UDP glucuronosyltransferase 1 family, polypeptide A9
MUC1	213693_s_at	1.5	4.70E-02	mucin 1, cell surface associated
AKR1C1	1555854_at	1.5	1.90E-02	aldo-keto reductase family 1, member C1 ///
AKR1C2				aldo-keto reductase family 1, member C2
AHRR	229354_at	1.5	3.80E-08	aryl-hydrocarbon receptor repressor ///
PDCD6				programmed cell death 6
LYPD5	236039_at	1.5	4.70E-02	LY6/PLAUR domain containing 5
UGT1A1	215125_s_at	1.5	2.30E-03	UDP glucuronosyltransferase 1 family, polypeptide UDP
UGT1A3 to				glucuronosyltransferase 1 family, polypeptide A3 to A10
UGT1A10
CCL5	1405_i_at	1.5	1.70E-02	chemokine (C-C motif) ligand 5
UGT1A1	207126_x_at	1.5	3.10E-04	UDP glucuronosyltransferase 1 family, polypeptide A1///
UGT1A4				UDP glucuronosyltransferase 1 family, polypeptide A4///
UGT1A6				UDP glucuronosyltransferase 1 family, polypeptide A6///
UGT1A8 to				UDP glucuronosyltransferase 1 family, polypeptide A8 to A10
UGT1A10
CD1a	210325_at	1.5	9.60E-03	CD1a molecule
LYVE1	220037_s_at	-1.5	1.00E-02	lymphatic vessel endothelial hyaluronan receptor 1
YOD1	215150_at	-1.5	3.00E-02	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)
CCL18	209924_at	-1.5	3.20E-02	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
ANKRD37	227337_at	-1.5	3.70E-02	ankyrin repeat domain 37
SOX9	202936_s_at	-1.5	2.40E-03	SRY (sex determining region Y)-box 9
SOX9	202935_s_at	-1.5	1.10E-02	SRY (sex determining region Y)-box 9
LEPR	211355_x_at	-1.5	4.40E-03	leptin receptor
LEPR	211354_s_at	-1.6	4.30E-03	leptin receptor
LEPR	211356_x_at	-1.6	2.40E-03	leptin receptor
IGF2BP3	203819_s_at	-1.7	5.40E-04	insulin-like growth factor 2 mRNA binding protein 3
IGF2BP3	203820_s_at	-1.6	1.40E-02	insulin-like growth factor 2 mRNA binding protein 3
CCL18	32128_at	-1.6	3.40E-02	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
HIG2	1554452_a_at	-1.9	3.80E-02	hypoxia-inducible protein 2
PEG3	209242_at	-2.1	1.10E-02	paternally expressed 3
