Gene Symbol	Gene Name	CNTF-SM fold change	FBS-SM fold change	Function
AURKA	Aurora kinase A	-4.45	-1.29	Cell Cycle
BIRC5	Baculoviral IAP repeat-containing protein 5	-3.29	-1.21	Cell Cycle
CCNA2	Cyclin A2	-4.88	-1.26	Cell Cycle
CCNB1	G2/mitotic-specific cyclin B1	-4.01	-1.18	Cell Cycle
CCNB2	G2/mitotic-specific cyclin B2	-5.42	-1.22	Cell Cycle
CCNB3	G2/mitotic-specific cyclin B3	-3.91	-1.21	Cell Cycle
CCND2	G1/S-specific cyclin D2	-2.58	-1.16	Cell Cycle
CCNE1	G1/S-specific cyclin E1	-2.38	-1.05	Cell Cycle
CCNF	G2/mitotic-specific cyclin F	-3.45	-1.22	Cell Cycle
CDC2	Cell division cycle protein 2	-4.45	-1.18	Cell Cycle
CDC6	Cell division cycle protein 6	-3.89	-1.1	Cell Cycle
CDC7	Cell division cycle 7-related protein kinase	-2.01	-1.15	Cell Cycle
CDCA2	Cell division cycle associated 2	-4.73	-1.17	Cell Cycle
CDK2	Cell division protein kinase 2	-2.16	1.16	Cell Cycle
CDK6	Cell division protein kinase 6	-2.06	-1.02	Cell Cycle
CDKN1C	Cyclin-dependent kinase inhibitor 1C	1.63	-2.24	Cell Cycle
CDKN2A	Cyclin-dependent kinase inhibitor 2A	-2.34	1.17	Cell Cycle
CDKN2C	Cyclin-dependent kinase inhibitor 2C	-2.35	-1.24	Cell Cycle
CDKN3	Cyclin-dependent kinase inhibitor 3	-2.39	-1.17	Cell Cycle
CHEK1	Serine/threonine-protein kinase Chk1	-4.79	-1.67	Cell Cycle
CHEK2	Serine/threonine-protein kinase Chk2	-3.02	-1.3	Cell Cycle
GTSE1	G2 and S phase expressed protein 1	-4.68	-1.21	Cell Cycle
KPNA2	Karyopherin alpha 2	-4.71	-1.34	Cell Cycle
MAD2L1	Mitotic arrest deficient 2-like 1	-3.88	-1.24	Cell Cycle
MCM2	DNA replication licensing factor MCM2	-3.69	-1.11	Cell Cycle
MCM4	DNA replication licensing factor MCM4	-3.83	1.09	Cell Cycle
MCM5	DNA replication licensing factor MCM5	-4.58	-1.05	Cell Cycle
CLDN11	Claudin 11	16.33	1.43	Progenitor Markers
KIT	Mast/stem cell growth factor receptor (CD117)	9.47	6.68	Progenitor Markers
KLF4	Krueppel-like factor 4	-3.42	-1.33	Progenitor Markers
MYCN	N-myc proto-oncogene	5.07	4.05	Progenitor Markers
NES	Nestin	-4.85	-1.37	Progenitor Markers
ELAVL2	ELAV-like 2	10.05	5.96	DNA/Transcription Regulation
FLI1	Friend leukemia integration 1 transcription factor	42.9	13.54	DNA/Transcription Regulation
MAFB	Transcription factor MafB	12.93	5.22	DNA/Transcription Regulation
MEF2C	Myocyte enhancer factor 2C	5.48	4	DNA/Transcription Regulation
RNASET2	Ribonuclease T2	7.72	3.59	DNA/Transcription Regulation
RUNX1T1	Protein MTG8	16.91	7.69	DNA/Transcription Regulation
SOX11	Transcription factor SOX-11	2.32	1.74	DNA/Transcription Regulation
TBR1	T-brain-1 protein (TBR-1)	3.9	1.66	DNA/Transcription Regulation
TCEAL2	Transcription elongation factor A protein-like 2	7.07	4.96	DNA/Transcription Regulation
TOPOII	DNA topoisomerase II	-3.37	-1.31	DNA/Transcription Regulation
SLA-B	MHC class I histocompatibility antigen	2.36	6.47	Surface Antigens
SLA-DMB	MHC class II histocompatibility antigen	15.33	7.92	Surface Antigens
SLA-DQA1	MHC class II histocompatibility antigen	7.6	5.56	Surface Antigens
SLA-DQB1	MHC class II histocompatibility antigen	34.68	15.76	Surface Antigens
SLA-DRA	MHC class II histocompatibility antigen	42.15	26.19	Surface Antigens
SLA-DRB1	MHC class II histocompatibility antigen	817.21	481.88	Surface Antigens
BMP2	Bone morphogenic protein 2	4.29	1.75	Cell Signaling
CCL3L1	Chemokine (C-C motif) ligand 3-like 1	7.8	3.43	Cell Signaling
CCR1	Chemokine (C-C motif) receptor 1	4.53	2.33	Cell Signaling
CD14	CD14 molecule	3.96	1.6	Cell Signaling
CD74	CD74 antigen	18.22	8.12	Cell Signaling
CD180	CD180 molecule	5.14	2.86	Cell Signaling
CRABP1	Cellular retinoic acid binding protein 1	7.83	5.35	Cell Signaling
CXCL2	Chemokine (C-X-C motif) ligand 2	4.19	10.56	Cell Signaling
