Gene symbol	Name	Fold change	Score
NPTX1	Neuronal pentraxin I	3.9	2.10E-25
FAM43A	Family with sequence similarity 43, member A	2.2	1.21E-22
CADM1	Cell adhesion molecule 1	2.2	2.75E-22
CCL2	Chemokine (C-C motif) ligand 2	2.2	9.02E-22
DHRS3	Dehydrogenase/reductase (SDR family) member 3	2.1	3.14E-21
TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	1.9	2.70E-20
TMEM119	Transmembrane protein 119	1.9	5.01E-19
PTGIS	Prostaglandin I2 (prostacyclin) synthase	1.8	3.65E-18
PLAT	Plasminogen activator, tissue	1.7	2.67E-17
SLC16A6	Solute carrier family 16, member 6	1.7	5.05E-17
BEX1	Brain expressed, X-linked 1	1.6	5.15E-17
FGF2	Fibroblast growth factor 2 (basic)	1.7	5.33E-17
LDB2	LIM domain binding 2	1.6	2.93E-16
SLC14A1	Solute carrier family 14, member 1	1.6	4.23E-16
KRTAP1-5	Keratin associated protein 1–5	1.6	7.08E-16
GREM1	Gremlin 1, cysteine knot superfamily, homolog	1.6	8.15E-16
RGL1	Ral guanine nucleotide dissociation stimulator-like 1	1.6	1.16E-15
MRPS6	Mitochondrial ribosomal protein S6	1.5	2.71E-15
RNF150	Ring finger protein 150	1.6	2.77E-15
PRSS3	Protease, serine, 3	1.5	3.98E-15
