Affymetrix ID	log2_FC	log2_AveExpr	t	P-value	Adjusted p-value	logOdds_diffExpressed	FC	Symbol	Name
219117_s_at	-0.862418249	10.85623073	-10.87141228	1.2701E-07	0.000224222	7.981847929	-1.818083233	FKBP11	FK506 binding protein 11, 19 kDa
201516_at	-0.764425541	11.19864067	-14.71864464	4.07089E-09	3.02372E-05	10.96346056	-1.69869347	SRM	spermidine synthase
202431_s_at	-0.756093937	11.1140769	-10.30026134	2.30645E-07	0.000256974	7.435395301	-1.68891174	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
201195_s_at	-0.755241968	11.23230894	-12.19373428	3.5069E-08	0.00013024	9.133564102	-1.687914664	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
219118_at	-0.724005391	9.669071798	-9.105664979	8.80028E-07	0.000431494	6.183982298	-1.651761502	FKBP11	FK506 binding protein 11, 19 kDa
201160_s_at	-0.67733809	11.03674262	-6.003877291	5.83818E-05	0.003170497	2.104130945	-1.59918638	CSDA	cold shock domain protein A
213129_s_at	-0.664986414	10.46117077	-6.729320242	1.96654E-05	0.001749905	3.179217141	-1.585553342	GCSH	glycine cleavage system protein H (aminomethyl carrier)
201323_at	-0.64052516	9.12582955	-9.657848404	4.66285E-07	0.000325221	6.781590192	-1.558896515	EBNA1BP2	EBNA1 binding protein 2
200691_s_at	-0.637060496	10.99478218	-5.842413507	7.51162E-05	0.003694954	1.854089266	-1.555157282	HSPA9	heat shock 70kDa protein 9 (mortalin)
218982_s_at	-0.635755754	10.03809892	-9.482797574	5.68514E-07	0.000361948	6.59582475	-1.553751468	NA	NA
202345_s_at	-0.635332068	11.23745508	-11.41836305	7.34606E-08	0.000204615	8.476570069	-1.553295234	FABP5	fatty acid binding protein 5 (psoriasis-associated)
201161_s_at	-0.633537561	10.51962714	-11.96768709	4.33214E-08	0.000137904	8.947160761	-1.551364357	CSDA	cold shock domain protein A
210976_s_at	-0.632946911	10.64180535	-9.091411563	8.94924E-07	0.000431494	6.168098416	-1.550729347	PFKM	phosphofructokinase, muscle
208152_s_at	-0.628568153	11.44147933	-5.964020788	6.21082E-05	0.003303003	2.042774807	-1.546029828	DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
203023_at	-0.620335468	9.142308034	-6.415823278	3.11973E-05	0.002198343	2.724278207	-1.537232591	NOP16	NOP16 nucleolar protein homolog (yeast)
214011_s_at	-0.618296321	10.72259539	-7.673480754	5.28938E-06	0.000928058	4.463389805	-1.535061356	NOP16	NOP16 nucleolar protein homolog (yeast)
212160_at	-0.617287481	10.19663669	-3.937265126	0.00192339	0.029836697	-1.372785906	-1.533988302	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)
202228_s_at	-0.615080743	9.940153992	-9.298781104	7.02404E-07	0.000411886	6.39688497	-1.531643715	NPTN	neuroplastin
201391_at	-0.612712957	10.3511179	-10.02186763	3.11529E-07	0.000280282	7.157336041	-1.529132007	TRAP1	TNF receptor-associated protein 1
200658_s_at	-0.605717018	10.13217292	-10.09057957	2.89072E-07	0.000280282	7.226701572	-1.521734866	PHB	prohibitin
201873_s_at	-0.604338072	9.970036109	-8.654743857	1.51152E-06	0.000489404	5.669855558	-1.520281068	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1
201872_s_at	-0.599703738	10.45857527	-7.121107711	1.12495E-05	0.001339768	3.727492711	-1.515405341	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1
221020_s_at	-0.599427593	9.646662904	-7.141344632	1.09354E-05	0.001310073	3.755210786	-1.515115306	SLC25A32	solute carrier family 25, member 32
208864_s_at	-0.598292255	10.85351053	-7.460028836	7.0489E-06	0.00105603	4.184059931	-1.513923446	TXN	thioredoxin
218984_at	-0.596281351	9.892818084	-7.24998882	9.40158E-06	0.001196761	3.903021261	-1.511814731	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)
217809_at	-0.594676545	11.30033089	-8.286878616	2.38725E-06	0.000638188	5.232075279	-1.510133973	BZW2	basic leucine zipper and W2 domains 2
218670_at	-0.593833833	8.66671619	-8.915361375	1.10292E-06	0.000432207	5.969952178	-1.509252126	PUS1	pseudouridylate synthase 1
214452_at	-0.593034009	8.664260096	-7.348860782	8.20403E-06	0.001114698	4.036084862	-1.508415635	BCAT1	branched chain amino-acid transaminase 1, cytosolic
220688_s_at	-0.59079451	10.20036933	-8.088043668	3.07506E-06	0.000735326	4.988314161	-1.506075934	MRTO4	mRNA turnover 4 homolog (S. cerevisiae)
201577_at	-0.590375173	12.18485736	-7.088289846	1.17794E-05	0.00138147	3.682418247	-1.505638237	NME1	non-metastatic cells 1, protein (NM23A) expressed in
218188_s_at	-0.590300482	10.61104475	-9.648367326	4.71284E-07	0.000325221	6.771614513	-1.505560291	TIMM13	translocase of inner mitochondrial membrane 13 homolog (yeast)
215947_s_at	-0.589300812	9.401575528	-9.150603792	8.34779E-07	0.000431494	6.23390775	-1.504517421	NA	NA
200692_s_at	-0.586208352	10.90840418	-5.662404452	9.99148E-05	0.004435062	1.570702461	-1.501295897	HSPA9	heat shock 70kDa protein 9 (mortalin)
212094_at	-0.584805033	9.660507448	-7.926555101	3.78951E-06	0.000789175	4.786552477	-1.499836287	PEG10	paternally expressed 10
213188_s_at	-0.580278716	8.757210302	-6.547347596	2.56649E-05	0.002042472	2.916919296	-1.495138068	MINA	MYC induced nuclear antigen
