Probe_ID	Control signal	Treatment signal	Log2 (treatment/control)	Fold change	P-value
hsa-miR-575	31.68	145.42	2.22	4.59	4.11E?03
hsa-miR-671-5p	42.18	136.96	1.7	3.25	3.60E?03
hsa-miR-483-5p	43.41	133.14	1.62	3.07	2.14E?03
hsa-miR-574-3p	190.02	479.1	1.4	2.52	3.94E?05
hsa-miR-149	761.77	1380.01	0.78	1.81	4.72E?05
hsa-miR-663	750.55	1290.55	0.81	1.72	6.87E?07
hsa-miR-1268	167.69	280.34	0.76	1.67	4.95E?03
hsa-miR-1915	891.28	1359.02	0.59	1.52	1.02E?04
hsa-miR-574-5p	351.25	532.08	0.61	1.51	4.99E?03
hsa-miR-638	5497.66	8256.06	0.56	1.5	5.55E?17
hsa-miR-1246	770.27	1043.87	0.45	1.36	4.28E?03
hsa-miR-1826	22510.52	27941.79	0.33	1.24	2.07E?12
hsa-miR-23a	10898.44	13085.57	0.23	1.2	1.32E?05
hsa-miR-191	14586.74	16888.33	0.21	1.16	1.72E?05
hsa-let-7a	24215.14	27545.79	0.19	1.14	1.91E?07
hsa-miR-342-3p	15599.63	17665.54	0.18	1.13	1.01E?08
hsa-miR-23b	10734.11	12153.14	0.15	1.13	1.06E?03
hsa-miR-16	12622.24	14011.4	0.15	1.11	1.18E?04
hsa-miR-1979	12024.04	13317.24	0.15	1.11	1.48E?04
hsa-miR-15b	12855.28	14081.31	0.14	1.1	2.85E?03
hsa-miR-200c	16146.22	17485.41	0.16	1.08	6.66E?04
hsa-let-7d	19259.32	20608.62	0.1	1.07	2.37E?03
hsa-let-7f	24515.34	25713.03	0.07	1.05	9.87E?04
