Curated Gene Symbol	Gene	delta Ct in normal samples (mean +/- SD)	delta Ct in pathological samples (mean +/- SD)	p valuea	Pathological/normal(-fold)
CYFIP2	CYFIP2	5.86 +/- 0.56	6.11 +/- 0.61	n.s.	0.84
IL8	IL8	8.28 +/- 1.33	8.04 +/- 2.42	n.s.	1.06
	IL1beta	8.01 +/- 0.56	8.41 +/- 2.47	n.s.	0.75
IL12A	IL12A	13.89 +/- 1.47	14.29 +/- 0.71	n.s.	0.76
	IFNgamma	12.65 +/- 1.38	11.64 +/- 1.22	n.s.	2.01
TNF	TNFSF2	9.94 +/- 0.96	9.77 +/- 1.07	n.s.	1.13
LTB	TNFSF3	5.15 +/- 0.88	5.05 +/- 1.37	n.s.	1.06
TNFSF10	TNFSF10	8.29 +/- 0.46	8.71 +/- 0.97	n.s.	0.75
TNFSF12	TNFSF12	7.53 +/- 0.95	8.88 +/- 0.66	<0.005	0.39
TNFSF13B	TNFSF13B	10.56 +/- 0.6	11.18 +/- 0.97	n.s.	0.67
	PDGFbeta	13.75 +/- 0.98	16.10 +/- 1.64	<0.05	0.19
