Gene Symbol	Gene Name	13 wk PCB126a	13 wk TCDDa	52 wk PCB126a	52 wk TCDDa	24 h TCDDb	DRE site in Ratc	DRE site in Humanc
Cyp1a1	Cytochrome P450, family 1, subfamily a, polypeptide 1	1140	1026	1551	1277	127881	YES (8)	YES (11)
Cyp1b1	Cytochrome P450, family 1, subfamily b, polypeptide 1	519	743	2091	1288	121d	YES (9)	YES (7)
Ceacam10	CEA-related cell adhesion molecule 10	369	620	976	973	8.5	NO	N/P
Cox8h	Cytochrome c oxidase subunit VIII-H (heart/muscle)	66	312	24	27	N/D	NO	N/A
Nqo1	NAD(P)H dehydrogenase, quinone 1	21	20	9	8	37.0	YES (7)	YES (2)
Ugt1a7	UDP glycosyltransferase 1 family, polypeptide A7	14	85	40	33	24.5	YES (4)	YES (2)
Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6	11	56	16	12	383.6	YES (6)	YES (2)
Cyp1a2	Cytochrome P450, family 1, subfamily a, polypeptide 2	7	3	2	2	38.5	NO	YES (3)
Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	6	6	5	4	2.6	YES (1)	NO
Exoc3	Exocyst complex component 3	6	32	21	23	8.1	NO	YES (7)
Aldh3a1	Aldehyde dehydrogenase family 3, member A1	5	57	1493	1156	10.2	YES (2)	YES (5)
Me1	Malic enzyme 1	4	3	4	3	2.4	YES (2)	YES (2)
Trib3	Tribbles homolog 3 (Drosophila)	2	8	13	16	2.2	YES (1)	YES (3)
Tsc22d1	TSC22 domain family, member 1	-2	-2	-6	-4	1.5	YES (4)	YES (2)
Gls2	Glutaminase 2 (liver, mitochondrial)	-2	-3	-6	-4	-2.5	YES (2)	YES (3)
Zfp354a	Zinc finger protein 354A	-2	-2	-8	-5	-5.3	YES (1)	YES (1)
Alas1	Aminolevulinic acid synthase 1	-2	-2	-3	-3	-1.6	N/A	YES (2)
Phyh2	Phytanoyl-CoA 2-hydroxylase 2	-2	-4	-3	-3	-1.6	YES (1)	YES (1)
Ca2	Carbonic anhydrase 2	-3	-8	-6	-3	-1.9d	NO	YES (4)
Sfxn1	Sideroflexin 1	-3	-3	-3	-2	-2.9	NO	YES (2)
Mtmr7	Myotubularin related protein 7	-3	-3	-5	-5	-3.0	N/A	YES (2)
Pik3c2g	Phosphatidylinositol 3-kinase, C2 domain containing, gamma polypeptide	-3	-2	-3	-3	-1.5	NO	NO
Acsm2	Acyl-CoA synthetase medium-chain family member 2	-3	-26	-12	-14	-3.9	YES (2)	N/P
Slc29a1	Solute carrier family 29 (nucleoside transporters), member 1	-3	-3	-3	-2	-2.1	YES (2)	YES (1)
Cadps	Ca2+-dependent secretion activator	-3	-3	-3	-3	-2.6	YES (1)	YES (5)
Hal	Histidine ammonia lyase	-3	-2	-17	-10	-1.3	YES (2)	NO
Cyp3a13	Cytochrome P450, family 3, subfamily a, polypeptide 13	-3	-139	-610	-606	-5.6d	NO	N/P
Ptprd	Protein tyrosine phosphatase, receptor type, D	-3	-2	-3	-2	-1.9	YES (4)	YES (2)
Ces3	Carboxylesterase 3	-3	-9	-9	-6	-2.8d	NO	YES (2)
Mgst3	Microsomal glutathione S-transferase 3	-3	-3	-4	-4	-3.4	YES (7)	YES (4)
Serpina7	Serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antipeptidase, antitrypsin), member 7	-3	-15	-21	-16	-3.3d	NO	NO
Nr0b2	Nuclear receptor subfamily 0, group B, member 2	-3	-2	-3	-2	-6.4	NO	YES (2)
Aspg	Asparaginase homolog (S. cerevisiae)	-4	-10	-41	-28	-4.1	YES (8)	N/P
Il33	Il33 interleukin 33	-4	-3	-3	-3	-2.1	NO	N/P
Ptprn	Protein tyrosine phosphatase, receptor type, N	-4	-3	-4	-3	-1	YES (2)	YES (1)
Srd5a1	Steroid 5 alpha-reductase 1	-4	-6	-14	-11	-2.0d	YES (1)	YES (8)
Enpp3	Ectonucleotide pyrophosphatase/phosphodiesterase 3	-4	-4	-5	-4	-2.3	NO	NO
Pdp2	Pyruvate dehydrogenase phosphatase isoenzyme 2	-4	-3	-9	-3	-1.8	YES (1)	YES (3)
Ugt1a1	UDP glycosyltransferase 1 family, polypeptide A1	-5	-3	-3	-3	-1.3	YES (4)	YES (4)
Slc13a3	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	-5	-7	-4	-5	-3.3d	YES (3)	YES (1)
Resp18	Regulated endocrine-specific protein 18	-7	-6	-15	-34	-5.7	NO	N/A
