Probe Set ID	Gene Symbol	Gene Title	Score(d)	Fold Change	q-value (%)
209906_at	C3AR1	complement component 3a receptor 1	-1.678515094	0.661637838	107.40645
201137_s_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	-1.526092306	0.650013114	107.40645
244228_at	RABGAP1	RABGTPase activating protein 1	-1.58675	0.63685	107.406
203504_s_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	-1.79577537	0.620203666	107.40645
204861_s_at	NAIP	NLR family, apoptosis inhibitory protein	-1.628234316	0.616196823	107.40645
236495_at	NAMPT	Nicotinamide phosphoribosyltransferase	-1.56998	0.61063	107.406
204860_s_at	NAIP	NLR family, apoptosis inhibitory protein	-1.840825605	0.608945029	107.40645
1557050_at	hoxa2	homeobox A2	-1.75782	0.5996	107.406
204567_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	-1.766317544	0.575507906	107.40645
226364_at	HIP1	Huntingtin interacting protein 1	-1.561453912	0.493465276	107.40645
206371_at	FOLR3	folate receptor 3 (gamma)	-1.698220762	0.469677494	107.40645
214012_at	ERAP1	endoplasmic reticulum aminopeptidase 1	-1.84135062	0.461242008	107.40645
228642_at	hoax	homeobox A2	-1.84056	0.44361	107.406
214012_at	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	-1.61069578	0.441730691	107.40645
214012_at	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	-1.61069578	0.441730691	107.40645
212671_s_at	TCL1A	T-cell leukemia/lymphoma 1A	-1.813983234	0.421260975	107.40645
226736_at	CHURC1	Churchill domain containing 1	-1.53264385	0.416866185	107.40645
1558048_at			-1.982	0.41038	107.408
205382_at	CFD	Complement factor D (adipsin)	-1.817904316	0.378262489	107.40645
