Rank	BOTL-5 coordinates	Feature description	Gene symbol	P-value	Fold-change
1	B5.a7	BOTL0100004XD01R		0.0000019	-1.41
2	A11.f7	zinc finger, DHHC-type containing 19	ZDHHC19	0.0000138	1.94
3	D4.b7	BOTL0100013_F01		0.0001301	-1.50
4	B9.h9	nuclear receptor co-repressor 1	NCOR1	0.0002447	-2.24
5	B11.e3	G protein-coupled receptor 98	GPR98	0.0003538	2.08
6	D2.d8	TANK-binding kinase 1	TBK1	0.0004030	-1.75
7	A4.e9	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	SFPQ	0.0004477	-1.73
8	D5.a3	BOTL0100003XF01R		0.0004732	-2.19
9	A4.e3	28S_ribosomal_RNA_gene		0.0004790	1.58
10	D6.i2	neuropilin 1	NRP1	0.0005190	-3.18
11	D5.e8	BOTL0100003XF01R		0.0005390	-2.37
12	B9.d8	nuclear receptor co-repressor 1	NCOR1	0.0005404	-2.01
13	A7.a5	uncoupling protein 2 (mitochondrial, proton carrier)	UCP2	0.0005476	-1.83
14	A1.a7	BOTL0100002XD04R		0.0006579	-1.51
