Gene Symbol	Gene Product	Fold Change by LPS qPCR	Fold Change by LPS Microarray	Fold Change by FimA qPCR	Fold Change by FimA Microarray	Fold Change by PG qPCR	Fold Change by PG Microarray
PTX3	Pentaxin-related gene, rapidly induced by IL-1 (PTX3)	337.8	94.2	137.2	66.9	247.3	84.3
PTGS2	Prostaglandin-endoperoxide synthase 2 (PTGS2)	430.5	131.6	123.6	67.8	337.8	118.7
TRAF1	TNF receptor-associated factor 1 (TRAF1)	35.5	6.5	27.9	6.3	28.8	8.1
TLR2	Toll-like receptor 2 (TLR2)	4.8	2.9	5.3	2.3	10.2	6.8
TLR6	Toll-like receptor 6 (TLR6)	2.9	4.9	3.3	5.3	3.8	5.6
IRF8	Interferon regulatory factor 8 (IRF8)	16	5.4	13.5	3.6	12.1	3.1
LITAF	Lipopolysaccharide-induced TNF factor (LITAF)	3	2.4	3.2	2.5	4.6	3.1
TLR7	Toll-like receptor 7 (TLR7)	17.2	2.7	13	2.5	21.9	4.1
TRIF	TIR domain-containing adaptor-inducing interferon (TRIF)	2.6	2.1	2.6	2.2	2.4	1.6
IRAK2	Interleukin-1 receptor-associated kinase 2 (IRAK2)	24.3	4.8	24.3	5.1	32	5.7
IER3	Immediate early response 3 (IER3)	2.5	6.9	3.7	9.5	12.6	11.8
IRF7	Interferon regulatory factor 7 (IRF7)	28.8	7.6	4.8	1.3	4.8	1.1
SPRY2	Sprouty homolog 2 (SPRY2)	7.7	6.3	3.6	3.7	5.9	7.7
TSLP	Thymic stromal lymphopoietin (TSLP)	142	32.6	132.5	32.8	512.1	76.1
CXCL3	Chemokine (CXC motif) ligand 3 (CXCL3)	115.4	43.1	163.1	46.1	265	52.8
REL	rel reticuloendotheliosis viral oncogene homolog (REL)	5.5	4.3	6.7	5.3	12.1	7.2
NFkB2	Nuclear factor of  light polypeptide gene enhancer in Bcells 2 (NFkB2)	5.8	4.3	6.8	4.6	7.6	6.1
