Gene Name	Fold Change (F0/F3)	p-value with FDR correction	p-value without any corrections	Parameters
hsa-miR-199a	0.53	0.000661	0.000194	F0 vs F3
hsa-miR-422b	1.84	0.00314	0.0000117	F0 vs F3
hsa-miR-146b	0.45	0.00642	0.0000498	F0 vs F3
hsa-miR-212	2.26	0.00823	0.00202	F0 vs F3
hsa-miR-200a	0.14	0.00961	0.000202	F0 vs F3
hsa-miR-199a	0.39	0.0258	0.0000429	F0 vs F3
hsa-miR-34b	0.46	0.0279	0.00268	F0 vs F3
hsa-miR-200b	0.14	0.0337	0.0000361	F0 vs F3
hsa-miR-34a	0.49	0.0346	0.00000203	F0 vs F3
hsa-miR-23b	1.51	0.0435	0.000026	F0 vs F3
hsa-miR-122a	1.53	0.05<	0.000931	F0 vs F3
hsa-miR-26a	1.21	0.0354	0.00175	F0 vs F1
hsa-miR-122	1.08	0.05<	0.455	F0 vs F1
hsa-miR-146b	0.46	0.00523	0.000266	F0 vs F2
hsa-miR-122a	1.67	0.0167	0.000246	F0 vs F2
hsa-miR-23b	1.56	0.0216	0.0005	F0 vs F2
hsa-miR-200a	0.18	0.0244	0.00311	F0 vs F2
hsa-miR-34a	0.5	0.0248	0.000158	F0 vs F2
hsa-miR-34b	0.48	0.0498	0.00409	F0 vs F2
hsa-miR-197	2.06	0.000174	0.000149	F1 vs F2
hsa-miR-574	1.79	0.000255	0.000418	F1 vs F2
hsa-miR-768-5p	1.73	0.00149	0.0397	F1 vs F2
hsa-miR-122	1.51	0.0023	0.00000135	F1 vs F2
hsa-miR-146b	0.64	0.0128	0.00000276	F1 vs F2
hsa-miR-193b	1.46	0.000119	0.000000228	F1 vs F2
hsa-miR-92	1.35	0.000126	0.00000337	F1 vs F2
hsa-let-7i	0.85	0.0453	0.00098	F1 vs F2
hsa-miR-142-5p	0.73	0.0483	0.000669	F1 vs F2
hsa-miR-106b	0.88	0.049	0.000888	F1 vs F2
hsa-miR-200b	0.44	0.0000938	3.55E-08	F1 vs F3
hsa-miR-200a	0.4	0.000345	6.03E-08	F1 vs F3
hsa-miR-199a	0.57	0.000416	5.34E-10	F1 vs F3
hsa-miR-150	0.47	0.000647	0.00368	F1 vs F3
hsa-miR-199a	0.6	0.00144	2.99E-10	F1 vs F3
hsa-miR-146b	0.63	0.00327	0.000013	F1 vs F3
hsa-miR-422b	1.56	0.0194	0.000146	F1 vs F3
hsa-miR-768-5p	1.63	0.0217	0.095	F1 vs F3
hsa-miR-378	1.57	0.0487	0.0000387	F1 vs F3
hsa-let-7i	0.82	0.000843	0.000269	F1 vs F3
hsa-miR-101	1.44	0.00219	0.000105	F1 vs F3
hsa-miR-23a	0.75	0.00601	0.0000151	F1 vs F3
hsa-miR-30d	1.32	0.00799	0.00196	F1 vs F3
hsa-miR-139	1.36	0.0336	0.000852	F1 vs F3
hsa-miR-99a	1.35	0.0432	0.00021	F1 vs F3
hsa-miR-122	1.42	0.05<	0.000104	F1 vs F3
