Entrez gene ID	Gene	Description	Fold change	Function
133	ADM	Adrenomedullin	4.37	Angiogenesis, Cell proliferation and invasion.
966	CD59	CD59, Complement regulatory protein	?2.47	Inhibitor of complement membrane attack complex (MAC) action
1356	CP	Ceruloplasmin	13.78	Copper homeostasis
1398	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	1.86	Cell proliferation, focal adhesion Cell motility
7852	CXCR4	Chemokine (C-X-C motif) receptor 4	4.42	Cell invasion and motility
2023	ENO1	Enolase 1 (alpha)	2.21	Glycolysis
2026	ENO2	Enolase 2(gamma, neuronal)	2.39	Glycolysis
2152	F3	Coagulation factor III (thromboplastin, tissue factor)	4.71	Thrombosis
2321	FLT1	fms-related tyrosine kinase 1	5.63	VEGF receptor, angiogenesis
3091	HIF1A	Hypoxia-inducible factor 1, alpha subunit	2.64	Promoter for genes involved in angiogenesis and glycolysis.
3098	HK1	Hexokinase 1	4.18	Glycolysis
3099	HK2	Hexokinase 2	5.85	Glycolysis
3320	HSPCA	Heat shock protein 90kDa alpha, class A member 1	2.874	Protein binding
3624	INHBA	Inhibin, beta A	4.16	Angiogenesis
182	JAG1	Jagged 1 (Alagille syndrome)	2.61	Notch ligand, cell proliferation
4193	MDM2	Mdm2, transformed 3T3 cell double minute 2	2.92	Oncogene
4851	NOTCH1	Notch homolog 1, translocation-associated (Drosphilia)	8.6	Cell fate decisions
5160	PDHA1	Pyruvate dehydrogenase (lipoamide) alpha 1	2.09	Glycolysis
5214	PFKP	Phosphofructokinase, platelet	4.3	Glycolysis
5228	PGF	Placental growth factor	3.35	Angiogenesis
5335	PLCG1	Phospholipase C, gamma 1	3.07	Cell motility
10544	PROCR	Protein C receptor, endothelial (EPCR)	?14.93	Binds activated protein C, inhibiting blood coagulation
5627	PROS1	Protein S (alpha)	?5.1	Prevents coagulation and stimulates fibrinolysis
5728	PTEN	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	?2.43	Tumor suppressor
6392	SDHD	Succinate dehydrogenase complex, subunit D, integral membrane protein	?1.82	HIF1 alpha degradation
6513	SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	3.76	Glucose transport
7980	TFPI2	Tissue factor pathway inhibitor 2	?2.47	Inhibits tissue factor
7056	THBD	Thrombomodulin	?4.44	Activates protein C, inhibiting blood coagulation
7078	TIMP3	TIMP metallopeptidase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	?5.35	Inhibitor of matrix metalloproteinases
7422	VEGF	Vascular endothelial growth factor	2.71	Angiogenesis
