MicroRNA	Parametric  Pvalue	Fold change	Chromosomal location	Expression
hsa-miR-222	0.0020831	3.81E+00	Xp11.3	Up-regulated
hsa-miR-10A	0.0018187	3.37E+00	17q21.32	Up-regulated
hsa-miR-196A	6.66E-05	3.04E+00	17q21.32	Up-regulated
hsa-miR-320	<1e-07	2.12E+00	8p21.3	Up-regulated
hsa-miR-100	0.0298715	1.51E+00	11q24.1	Up-regulated
hsa-miR-124	0.0009909	6.00E-01	8p23.1	Down-regulated
hsa-miR-206	0.0093797	5.90E-01	6p12.2	Down-regulated
hsa-miR-146A	0.0356401	5.70E-01	5q34	Down-regulated
hsa-miR-150	0.0365018	5.40E-01	19q13.33	Down-regulated
hsa-miR-326	0.0001276	5.10E-01	11q13.14	Down-regulated
hsa-let-7E	<1e-07	4.60E-01	19q13.41	Down-regulated
hsa-miR-197	0.000754	3.30E-01	1p13.3	Down-regulated
hsa-miR-875-5P	<1e-07	2.00E-02	8q22.2	Down-regulated
