Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
232184_at	amyotrophic lateral sclerosis 2 (juvenile)	ALS2	0.006	-1.73	Cytoskeleton
226863_at	family with sequence similarity 110, member C	FAM110C	0.039	-1.57	Cytoskeleton
202949_s_at	four and a half LIM domains 2	FHL2	0.05	-1.56	Cytoskeleton
239275_at	FERM and PDZ domain containing 2 /// FERM and PDZ domain containing 2 like 1 /// FERM and PDZ domain containing 2 like 2	FRMPD2 /// FRMPD2L1 /// FRMPD2L2	0.031	-1.56	Cytoskeleton
1558672_at	internexin alpha	INA	0.048	-1.95	Cytoskeleton
231875_at	kinesin family member 21A	KIF21A	0.025	-2.25	Cytoskeleton
1570588_at	myosin phosphatase Rho interacting protein	MPRIP	0.02	-1.62	Cytoskeleton
225189_s_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1	0.022	-1.81	Cytoskeleton
1559038_at	septin 2	41154	0.035	-1.6	Cytoskeleton
213307_at	SH3 and multiple ankyrin repeat domains 2	SHANK2	0.034	-1.66	Cytoskeleton
225548_at	shroom family member 3	SHROOM3	0.017	-1.52	Cytoskeleton
202495_at	tubulin folding cofactor C	TBCC	0.037	-1.75	Cytoskeleton
1559785_at	Tubulin polymerization-promoting protein family member 2	TPPP2	0.05	1.55	Cytoskeleton
1557261_at	WAS protein homolog associated with actin, golgi membranes and microtubules-like 1 /// WAS protein homolog associated with actin, golgi membranes and microtubules-like 2 (pseudogene)	WHAMML1 /// WHAMML2	0.047	-1.65	Cytoskeleton
1557688_at			0.033	-2.21	Cytoskeleton
242652_at			0.012	-1.72	Cytoskeleton
236029_at	FAT tumor suppressor homolog 3 (Drosophila)	FAT3	0.042	-2.1	Cell adhesion
214106_s_at	GDP-mannose 4,6-dehydratase	GMDS	0.017	-1.63	Cell adhesion
212724_at	Rho family GTPase 3	RND3	0.026	-1.91	Cell adhesion
236927_at	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	SVEP1	0.033	1.61	Cell adhesion
236437_at	laminin, beta 1	LAMB1	0.048	-1.51	Cell adhesion
243240_at	neuronal cell adhesion molecule		0.014	-1.79	Cell adhesion
243273_at	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2		0.033	-1.82	Cell adhesion
216120_s_at	ATPase, Ca++ transporting, plasma membrane 2	ATP2B2	0.009	-1.82	Cell signalling and communication
242973_at	calcium channel, voltage-dependent, L type, alpha 1C subunit	CACNA1C	0.037	-1.68	Cell signalling and communication
243334_at	calcium channel, voltage-dependent, L type, alpha 1D subunit	CACNA1D	0.044	-1.79	Cell signalling and communication
210380_s_at	calcium channel, voltage-dependent, T type, alpha 1G subunit	CACNA1G	0.026	-1.55	Cell signalling and communication
228555_at	calcium/calmodulin-dependent protein kinase II delta	CAMK2D	0.031	-1.52	Cell signalling and communication
244118_at	gamma-aminobutyric acid (GABA) A receptor, alpha 1	GABRA1	0.04	-2.16	Cell signalling and communication
217565_at	glutamate receptor, ionotrophic, AMPA 3	GRIA3	0.038	-1.67	Cell signalling and communication
205051_s_at	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	0.009	-2.06	Cell signalling and communication
1569346_a_at	purinergic receptor P2X, ligand-gated ion channel, 1	P2RX1	0.019	1.54	Cell signalling and communication
244726_at	phospholipase C, beta 1 (phosphoinositide-specific)	PLCB1	0.03	-1.81	Cell signalling and communication
1557432_at	RAS protein activator like 2	RASAL2	0.006	-1.88	Cell signalling and communication
200657_at	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	SLC25A5	0.017	-1.84	Cell signalling and communication
206552_s_at	tachykinin, precursor 1	TAC1	0.027	-2.19	Cell signalling and communication
205586_x_at	VGF nerve growth factor inducible	VGF	0.021	-1.86	Cell signalling and communication
214214_s_at	complement component 1, q subcomponent binding protein	C1QBP	0.04	-1.61	Immune response
208674_x_at	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	0.004	-1.61	Immune response
232612_s_at	ATG16 autophagy related 16-like 1 (S. cerevisiae)	ATG16L1	0.018	-1.64	Response to stress
213647_at	DNA replication helicase 2 homolog (yeast)	DNA2	0.022	-1.64	Response to stress
204121_at	growth arrest and DNA-damage-inducible, gamma	GADD45G	0.036	-2.12	Response to stress
218598_at	RAD50 interactor 1	RINT1	0.021	-1.79	Response to stress
239889_at	Stress-associated endoplasmic reticulum protein family member 2	SERP2	0.001	-1.58	Response to stress
203531_at	cullin 5	CUL5	0.035	-1.98	Apoptosis
229584_at	leucine-rich repeat kinase 2	LRRK2	0.043	-1.64	Apoptosis
222294_s_at	RAB27A, member RAS oncogene family	RAB27A	0.023	-1.52	Apoptosis
201450_s_at	TIA1 cytotoxic granule-associated RNA binding protein	TIA1	0.028	-1.75	Apoptosis
236524_at	TM2 domain containing 1		0.019	-1.57	Apoptosis
240399_at	triple function domain (PTPRF interacting)		0.025	-1.61	Apoptosis
202381_at	ADAM metallopeptidase domain 9 (meltrin gamma)	ADAM9	0.03	-2.27	Ubiquitin-mediated proteolysis
205216_s_at	apolipoprotein H (beta-2-glycoprotein I)	APOH	0.038	1.86	Ubiquitin-mediated proteolysis
238686_at	F-box protein 3	FBXO3	0.035	-1.65	Ubiquitin-mediated proteolysis
212987_at	F-box protein 9	FBXO9	0.042	-3.55	Ubiquitin-mediated proteolysis
228955_at	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	LRP8	0.049	-1.93	Ubiquitin-mediated proteolysis
224725_at	mindbomb homolog 1 (Drosophila)	MIB1	0.038	-1.69	Ubiquitin-mediated proteolysis
211764_s_at	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	UBE2D1	0.049	-1.7	Ubiquitin-mediated proteolysis
219960_s_at	ubiquitin carboxyl-terminal hydrolase L5	UCHL5	0.026	-1.71	Ubiquitin-mediated proteolysis
200883_at	ubiquinol-cytochrome c reductase core protein II	UQCRC2	0.026	-1.5	Ubiquitin-mediated proteolysis
202207_at	ADP-ribosylation factor-like 4C	ARL4C	0.018	-1.69	Transcription
238878_at	aristaless related homeobox	ARX	0.006	-1.65	Transcription
208859_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	0.037	-2.06	Transcription
225527_at	CCAAT/enhancer binding protein (C/EBP), gamma	CEBPG	0.029	-1.64	Transcription
209357_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	0.008	-1.81	Transcription
228751_at	CDC-like kinase 4	CLK4	0.046	-2.19	Transcription
212695_at	cryptochrome 2 (photolyase-like)	CRY2	0.037	-1.75	Transcription
214743_at	cut-like homeobox 1	CUX1	0.037	-1.59	Transcription
200934_at	DEK oncogene	DEK	0.041	-1.73	Transcription
