BOTL-5 coordinates	Feature description	Gene symbol	P-value	Fold-change	Mean Fold-change
C8.c6	chemokine (C-C motif) ligand 1	CCL1	0.0071459	-4.95	-4.86
C8.g9	chemokine (C-C motif) ligand 1	CCL1	0.0098124	-4.78	-4.86
A8.c6	major histocompatibility complex, class I, A	HLA-A	0.0464740	-3.51	-4.32
A8.g9	major histocompatibility complex, class I, A	HLA-A	0.0084270	-5.13	-4.32
B2.c6	bone morphogenetic protein 4	BMP4	0.0197244	-3.26	-3.99
B2.g9	bone morphogenetic protein 4	BMP4	0.0100947	-4.73	-3.99
C6.c6	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	CSF2RA	0.0030646	-3.74	-3.67
C6.g9	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	CSF2RA	0.0019884	-3.61	-3.67
D11.e1	mitogen-activated protein kinase kinase kinase 11	MAP3K11	0.0074285	-3.28	-3.29
D11.i3	mitogen-activated protein kinase kinase kinase 11	MAP3K11	0.0125362	-3.29	-3.29
C11.c2	lysosomal associated multispanning membrane protein 5	LAPTM5	0.0194488	-3.13	-3.15
C11.g5	lysosomal associated multispanning membrane protein 5	LAPTM5	0.0217915	-3.17	-3.15
A3.c6	CD14 molecule	CD14	0.0194294	-3.43	-3.08
A3.g9	CD14 molecule	CD14	0.0417879	-2.73	-3.08
