Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P471177	Stra6	stimulated by retinoic acid gene 6	13.89468
AGI_MM_OLIGO_A_51_P463791	2900083I11Rik	RIKEN cDNA 2900083I11 gene	13.62027
AGI_MM_OLIGO_A_51_P410715	Hs3st3b1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	8.353521
AGI_MM_OLIGO_A_51_P494505	Kif5c	kinesin family member 5C	7.4985
AGI_MM_OLIGO_A_51_P181474	Glycam1	glycosylation dependent cell adhesion molecule 1	6.175127
AGI_MM_OLIGO_A_51_P410927	Tmem42	transmembrane protein 42	5.111691
AGI_MM_OLIGO_A_51_P300266	Fem1c	fem-1 homolog c (C.elegans)	4.140615
AGI_MM_OLIGO_A_51_P381485	4930542N07Rik	RIKEN cDNA 4930542N07 gene	3.969672
AGI_MM_OLIGO_A_51_P405970	Trrap	transformation/transcription domain-associated protein	3.740555
AGI_MM_OLIGO_A_51_P268983	Myom3	myomesin family, member 3	3.239601
AGI_MM_OLIGO_A_51_P229613	Pcsk2	proprotein convertase subtilisin/kexin type 2	3.083945
AGI_MM_OLIGO_A_51_P264388	Mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3	2.994998
AGI_MM_OLIGO_A_51_P146956	Dscr6	Down syndrome critical region homolog 6 (human)	2.877615
AGI_MM_OLIGO_A_51_P514270	Add2	adducin 2 (beta)	2.845031
AGI_MM_OLIGO_A_51_P191865	Lama2	laminin, alpha 2	2.784662
AGI_MM_OLIGO_A_51_P109933	Tekt2	tektin 2	2.495384
AGI_MM_OLIGO_A_51_P221382	Thrap2	thyroid hormone receptor associated protein 2	2.428363
AGI_MM_OLIGO_A_51_P486208	Wnk4	WNK lysine deficient protein kinase 4	2.421601
AGI_MM_OLIGO_A_51_P310066	Rasgef1a	RasGEF domain family, member 1A	2.271488
AGI_MM_OLIGO_A_51_P397056	Hsd3b3	hydroxysteroid dehydrogenase-3, delta<5>-3-beta	2.214202
AGI_MM_OLIGO_A_51_P107362	Socs2	suppressor of cytokine signaling 2	2.179362
AGI_MM_OLIGO_A_51_P495000	Golt1b	golgi transport 1 homolog B (S. cerevisiae)	2.126212
AGI_MM_OLIGO_A_51_P497451	Rbms3	RNA binding motif, single stranded interacting protein	2.110773
AGI_MM_OLIGO_A_51_P447189	LOC385154	similar to development- and differentiation-enhancing factor 2; PYK2 C terminus-associated protein	2.088947
AGI_MM_OLIGO_A_51_P389265	Adpn	adiponutrin	2.063898
AGI_MM_OLIGO_A_51_P327570	1700066C05Rik	RIKEN cDNA 1700066C05 gene	1.994336
AGI_MM_OLIGO_A_51_P431999	3110043A19Rik	RIKEN cDNA 3110043A19 gene	1.97777
