ENTREZGENEID	DESCRIPTION	Symbol	logFOLDCHANGE	FOLDCHANGE	P.Value
6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	ST3GAL1	3.92	15.17	0.00461
50632	Calcyon neuron-specific vesicular protein	CALY	2.89	7.4	0.000671
2192	Fibulin 1	FBLN1	2.76	6.78	0.00684
4123	In multiple clusters		2.63	6.2	0.0018
55255	WD repeat domain 41	WDR41	2.63	6.17	0.00274
5476	Cathepsin A	CTSA	2.6	6.06	0.0013
1513	Cathepsin K	CTSK	2.54	5.83	0.00896
3486	In multiple clusters		2.48	5.57	0.00364
1191	Clusterin	CLU	2.47	5.56	0.00119
10095	Actin related protein 2/3 complex, subunit 1B, 41kDa	ARPC1B	2.38	5.2	0.000105
126393	Heat shock protein, alpha-crystallin-related, B6	HSPB6	2.37	5.18	0.00038
3985	LIM domain kinase 2	LIMK2	2.17	4.5	0.000575
2983	Guanylate cyclase 1, soluble, beta 3	GUCY1B3	2.15	4.43	0.00435
10423	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	CDIPT	2.1	4.3	0.000156
51124	Immediate early response 3 interacting protein 1	IER3IP1	2.07	4.19	0.000682
3741	Potassium voltage-gated channel, shaker-related subfamily, member 5	KCNA5	2.03	4.08	0.0288
23475	Quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	QPRT	2.03	4.07	0.00015
1191	Clusterin	CLU	2.03	4.07	0.00575
3489	Insulin-like growth factor binding protein 6	IGFBP6	2	4.01	0.00187
9506	P antigen family, member 4 (prostate associated)	PAGE4	1.97	3.9	0.0167
1482	NK2 transcription factor related, locus 5 (Drosophila)	NKX2-5	1.95	3.86	0.0175
126393	Heat shock protein, alpha-crystallin-related, B6	HSPB6	1.92	3.79	0.00000432
6352	Chemokine (C-C motif) ligand 5	CCL5	1.86	3.64	0.00622
2644	GTP cyclohydrolase I feedback regulator	GCHFR	1.84	3.59	0.00356
92906	Heterogeneous nuclear ribonucleoprotein L-like	HNRPLL	1.8	3.49	0.00462
115703	Sorting nexin 26	SNX26	1.8	3.48	0.00132
79961	DENN/MADD domain containing 2D	DENND2D	1.79	3.45	0.00129
93611	F-box protein 44	FBXO44	1.78	3.44	0.00353
