Probe Set ID	Gene Symbol	Gene Title	Change in Average Signal Intensity
1552610_a_at	JAK1	Janus kinase 1	1.022
1553133_at	C9orf72	chromosome 9 open reading frame 72	0.267
1554390_s_at	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	0.881
1554571_at	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	0.334
1554661_s_at	CNST	consortin, connexin sorting protein	0.109
1555355_a_at	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	0.538
1557910_at	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	2.3
1564053_a_at	YTHDF3	YTH domain family, member 3	0.678
200049_at	MYST2	MYST histone acetyltransferase 2	0.022
200656_s_at	P4HB	prolyl 4-hydroxylase, beta polypeptide	0.699
200704_at	LITAF	lipopolysaccharide-induced TNF factor	3.55271E-15
200731_s_at	PTP4A1	protein tyrosine phosphatase type IVA, member 1	0.672
201118_at	PGD	phosphogluconate dehydrogenase	0.522
201225_s_at	SRRM1	serine/arginine repetitive matrix 1	0.127
201341_at	ENC1	ectodermal-neural cortex 1 (with BTB-like domain)	0.695
201463_s_at	TALDO1	transaldolase 1	0.12
201466_s_at	JUN	jun oncogene	0.109
201559_s_at	CLIC4	chloride intracellular channel 4	0.843
201939_at	PLK2	polo-like kinase 2 (Drosophila)	0.016
202354_s_at	GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa	0.816
202629_at	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	0.176
202879_s_at	CYTH1	cytohesin 1	0.959
202980_s_at	SIAH1	seven in absentia homolog 1 (Drosophila)	0.266
203080_s_at	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	0.055
203173_s_at	C16orf62	chromosome 16 open reading frame 62	0.14
203294_s_at	LMAN1	lectin, mannose-binding, 1	0.359
204043_at	TCN2	transcobalamin II	0.316
204313_s_at	CREB1	cAMP responsive element binding protein 1	0.119
205068_s_at	ARHGAP26	Rho GTPase activating protein 26	0.215
205590_at	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	0.051
205867_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	0.229
207643_s_at	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	0.301
207761_s_at	METTL7A	methyltransferase like 7A	0.069
208879_x_at	PRPF6	PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae)	0.747
209037_s_at	EHD1	EH-domain containing 1	0.385
209304_x_at	GADD45B	growth arrest and DNA-damage-inducible, beta	0.117
210054_at	HAUS3	HAUS augmin-like complex, subunit 3	0.01
210192_at	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	0.529
210935_s_at	WDR1	WD repeat domain 1	1.575
211192_s_at	CD84	CD84 molecule	0.383
211272_s_at	DGKA	diacylglycerol kinase, alpha 80kDa	0.785
211547_s_at	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	0.907
211612_s_at	IL13RA1	interleukin 13 receptor, alpha 1	0.625
211968_s_at	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	0.738
211999_at	H3F3B	H3 histone, family 3B (H3.3B)	0.13
