Accession no.	Gene	Description	Hazard ratio	P	Function
NM_001921	DCTD	dCMP deaminase	51.15	0.005	Capecitabine metabolism genes
NM_003258	TK1	Thymidine kinase 1	156.73	0.006	Capecitabine metabolism genes
NM_000110	DPYD	Dihydropyrimidine dehydrogenase	1.21	0.006	Capecitabine metabolism genes
NM_001033	RRM1	Ribonucleotide reductase M1	1.93	0.007	Capecitabine metabolism genes
NM_001034	RRM2	Ribonucleotide reductase M2	1.04	0.008	Capecitabine metabolism genes
NM_001905	CTPS	CTP synthase	40.1	0.008	Capecitabine metabolism genes
NM_012474	UCK2	Uridine-cytidine kinase 2	1.6	0.024	Capecitabine metabolism genes
NM_002875	RAD51	RAD51 homolog	1.08	0.003	Radiation response genes
NM_012415	RAD54B	RAD54 homolog B	1.22	0.013	Radiation response genes
NM_006297	XRCC1	XRCC1	1.45	0.014	Radiation response genes
NM_004958	mTOR	Mechanistic target of rapamycin (FRAP1)	6.55	0.02	Radiation response genes
NM_001274	CHEK1	CHK1 checkpoint homolog	1.74	0.025	Radiation response genes
