Gene symbol	Accession number	Gene name	P-value	Fold change	Domain
SNED1	NM_001080437	Sushi, nidogen and EGF-like domains 1	<0.001	2.494	Cell adhesion
TTYH1	NM_020659	Tweety homolog 1 (Drosophila)	0.016	2.374	Cell adhesion
GPR98	AL136541	G protein-coupled receptor 98	0.047	2.11	Cell adhesion
SPON2	NM_012445	Spondin 2, extracellular matrix protein	0.02	2.029	Cell adhesion
MYL1	NM_079420	Myosin, light chain 1, alkali; skeletal, fast	0.02	5.571	Cytoskeleton/cell motility
TNNI2	NM_003282	Troponin I type 2 (skeletal, fast)	0.036	5.211	Cytoskeleton/cell motility
MYO1A	NM_005379	Myosin IA	0.025	2.677	Cytoskeleton/cell motility
TTLL6	NM_173623	Tubulin tyrosine ligase-like family, member 6	<0.001	2.57	Cytoskeleton/cell motility
COL8A1	NM_001850	Collagen, type VIII, alpha1	0.02	2.933	Extracellular matrix remodeling
COL6A3	NM_004369	Collagen, type VI, alpha3	0.016	2.246	Extracellular matrix remodeling
LEFTY1	NM_020997	Left-right determination factor 1	0.02	2.836	Cell-cell signaling (cytokine/chemokine)
CDNF	NM_001029954	Cerebral dopamine neurotrophic factor	0.02	2.654	Cell-cell signaling (cytokine/chemokine)
CHIA	NM_021797	Chitinase, acidic	0.046	2.302	Cell-cell signaling (cytokine/chemokine)
PPP1R1B	NM_032192	Protein phosphatase 1, regulatory (inhibitor) subunit 1B	0.016	3.376	Signal transduction
GUCY1B3	NM_000857	Guanylate cyclase 1, soluble, beta3	0.02	2.613	Signal transduction
DOK7	NM_173660	Docking protein 7	0.046	2.463	Signal transduction
TM4SF4	NM_004617	Transmembrane 4 L six family member 4	0.032	2.429	Signal transduction
PTPRD	NM_002839	Protein tyrosine phosphatase, receptor type, D	0.011	2.222	Signal transduction
ARHGAP29	BC022483	Rho GTPase activating protein 29	0.016	2.211	Signal transduction
FOLR1	NM_016725	Folate receptor 1 (adult)	0.02	2.178	Signal transduction
CLEC11A	NM_002975	C-type lectin domain family 11, member A	0.01	2.101	Signal transduction
FGFR3	NM_000142	Fibroblast growth factor receptor 3, variant 1	0.013	2.071	Signal transduction
POU2AF1	NM_006235	POU class 2 associating factor 1	0.01	4.962	Immune response
PLA2G1B	NM_000928	Phospholipase A2, group IB (pancreas)	0.016	2.298	Immune response
RNF125	AK027134	Ring finger protein 125	0.016	2.076	Immune response
PNMT	NM_002686	Phenylethanolamine N-methyltransferase	0.02	3.681	Metabolism/catalytic activity
C3orf57	NM_001040100	Chromosome 3 open reading frame 57	0.01	3.361	Metabolism/catalytic activity
ECHDC3	NM_024693	Enoyl Coenzyme A hydratase domain containing 3	0.01	3.086	Metabolism/catalytic activity
CTSO	NM_001334	Cathepsin O	0.032	2.766	Metabolism/catalytic activity
NUDT7	NM_001105663	Nudix (nucleoside diphosphate linked moiety X)-type motif 7	0.024	2.617	Metabolism/catalytic activity
