Rank	Statistic	Statistic	Statistic	Probe ID	Symbol	Description
61	0.0002421	0.211	0.837	215106_at	TTC22	tetratricopeptide repeat domain 22
73	0.0002965	0.222	0.821	235234_at	FLJ36874	FLJ36874 protein
75	0.0003083	0.225	0.205	213240_s_at	KRT4	keratin 4
78	0.0003206	0.225	0.755	237063_at		Not available
79	0.00033	0.228	0.847	220335_x_at	CES3	carboxylesterase 3 (brain)
80	0.0003346	0.229	0.805	239230_at	HES5	hairy and enhancer of split 5 (Drosophila)
81	0.0003464	0.234	0.636	209261_s_at	NR2F6	nuclear receptor subfamily 2, group F, member 6
83	0.000372	0.245	0.615	1557944_s_at	CTNND1	catenin (cadherin-associated protein), delta 1
89	0.0004172	0.249	0.707	229493_at	HOXD9	homeobox D9
90	0.0004215	0.249	0.851	236676_at	NUDCD3	NudC domain containing 3
91	0.0004255	0.249	0.756	206949_s_at	RUSC1	RUN and SH3 domain containing 1
92	0.0004286	0.249	0.648	235871_at	LIPH	lipase, member H
93	0.0004387	0.249	0.666	205977_s_at	EPHA1	EPH receptor A1
97	0.0004607	0.249	0.757	1555784_s_at	IRAK1	interleukin-1 receptor-associated kinase 1
99	0.0004724	0.249	0.744	220599_s_at	CARD14	caspase recruitment domain family, member 14
104	0.0004856	0.249	0.838	207566_at	MR1	major histocompatibility complex, class I-related
107	0.0004928	0.249	0.857	1563147_at		Not available
109	0.0004986	0.249	0.662	211240_x_at	CTNND1	catenin (cadherin-associated protein), delta 1
112	0.0005283	0.251	0.784	231788_at	GPR92	G protein-coupled receptor 92
113	0.0005286	0.251	0.79	236725_at	WWC1	WW and C2 domain containing 1
114	0.0005291	0.251	0.799	232608_x_at	CARD14	caspase recruitment domain family, member 14
117	0.0005408	0.253	0.554	1553611_s_at	FLJ33790	hypothetical protein FLJ33790
123	0.0006007	0.261	0.828	218749_s_at	SLC24A6	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
126	0.0006225	0.261	0.422	206595_at	CST6	cystatin E/M
129	0.0006343	0.261	0.778	1553072_at	BNIPL	BCL2/adenovirus E1B 19kD interacting protein like
130	0.0006354	0.261	0.678	222809_x_at	C14orf65	chromosome 14 open reading frame 65
131	0.0006384	0.261	0.712	207525_s_at	GIPC1	GIPC PDZ domain containing family, member 1
137	0.0006534	0.261	0.828	231248_at	CST6	cystatin E/M
138	0.0006787	0.266	0.655	220289_s_at	AIM1L	absent in melanoma 1-like
141	0.0006973	0.266	0.813	1487_at	ESRRA	estrogen-related receptor alpha
147	0.0007208	0.266	0.701	203918_at	PCDH1	protocadherin 1
148	0.000729	0.266	0.776	204827_s_at	CCNF	cyclin F
149	0.000731	0.266	0.626	216010_x_at	FUT3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
153	0.0007781	0.278	0.845	220962_s_at	PADI1	peptidyl arginine deiminase, type I
160	0.0008325	0.282	0.678	230252_at	GPR92	G protein-coupled receptor 92
162	0.000844	0.282	0.748	236616_at		Not available
165	0.0008616	0.282	0.695	235988_at	GPR110	G protein-coupled receptor 110
166	0.0008645	0.282	0.645	1552685_a_at	GRHL1	grainyhead-like 1 (Drosophila)
172	0.0009064	0.284	0.28	203757_s_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
177	0.0009227	0.284	0.724	235095_at	CCDC64B	coiled-coil domain containing 64B
185	0.0009826	0.289	0.873	233154_at	AFF3	AF4/FMR2 family, member 3
187	0.0009963	0.289	0.696	226638_at	ARHGAP23	Rho GTPase activating protein 23
