Gene	Description	Fold Change	Category
SLC6A19	Solute carrier family 6 (neutral amino acid transporter), member 19	12.4	Ion transporter activity
ATP12A	Atpase, H+/K+ transporting, nongastric, alpha polypeptide	11.4	Ion transporter activity
SLC2A4	Solute carrier family 2 (facilitated glucose transporter), member 4	6.6	Ion transporter activity
SLC36A1	Solute carrier family 36 (proton/amino acid symporter), member 1	4.53	Ion transporter activity
TFRC	Transferrin receptor (p90, CD71)	4.05	Ion transporter activity
SLC11A2	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	3.82	Ion transporter activity
SLC6A4	Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	3.62	Ion transporter activity
SLC20A1	Solute carrier family 20 (phosphate transporter), member 1	2.69	Ion transporter activity
ATP6V1E2	Atpase, H+ transporting, lysosomal 31 kda, V1 subunit E2	2.69	Ion transporter activity
SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatinine), member 8	2.64	Ion transporter activity
SLC28A2	Solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	2.54	Ion transporter activity
LOC381417	Similar to solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	2.52	Ion transporter activity
SLC26A6	Solute carrier family 26, member 6	2.4	Ion transporter activity
SLC28A3	Solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	2.39	Ion transporter activity
COX7A1	Cytochrome c oxidase subunit viia polypeptide 1 (muscle)	2.28	Ion transporter activity
ATP1A1	Atpase,Na+/K+ transporting, alpha 1 polypeptide	2.19	Ion transporter activity
SLC26A3	Solute carrier family 26, member 3	2.17	Ion transporter activity
OCA2	Oculocutaneous albinism II	2.15	Ion transporter activity
SLC34A2	Solute carrier family 34 (sodium phosphate), member 2	2.05	Ion transporter activity
SLC30A1	Solute carrier family 30 (zinc transporter), member 1	2	Ion transporter activity
SLC13A3	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	1.79	Ion transporter activity
ATP11A	Atpase, class VI, type 11A	0.47	Ion transporter activity
SLC8A1	Solute carrier family 8 (sodium/calcium exchanger), member 1	0.47	Ion transporter activity
SLC39A10	Solute carrier family 39 (zinc transporter), member 10	0.46	Ion transporter activity
CMAH	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase) pseudogene	0.43	Ion transporter activity
SCNN1G	Sodium channel, nonvoltage-gated 1, gamma	245.1	Ion channel activity
FXYD4	FXYD domain containing ion transport regulator 4	39.5	Ion channel activity
CLCA6	Chloride channel, calcium activated, family member 6	32.6	Ion channel activity
SCNN1B	Sodium channel, nonvoltage-gated 1, beta	5.84	Ion channel activity
BEST2	Bestrophin 2	4.43	Ion channel activity
KCNB2	Potassium voltage-gated channel, Shab-related subfamily, member 2	4.31	Ion channel activity
TMEM37	Transmembrane protein 37	3.77	Ion channel activity
CLIC5	Chloride intracellular channel 5	3.19	Ion channel activity
TRPM6	Transient receptor potential cation channel, subfamily M, member 6	2.99	Ion channel activity
KCNMB4	Potassium large conductance calcium-activated channel, subfamily M, beta member 4	2.63	Ion channel activity
CLCA4	Chloride channel, calcium activated, family member 4	2.09	Ion channel activity
PLLP	Plasma membrane proteolipid (plasmolipin)	2.08	Ion channel activity
CLIC4	Chloride intracellular channel 4	0.48	Ion channel activity
KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	0.44	Ion channel activity
KCTD14	Potassium channel tetramerisation domain containing 14	0.43	Ion channel activity
CLIC1	Chloride intracellular channel 1	0.39	Ion channel activity
AQP8	Aquaporin 8	2.08	Water transport activity
AQP1	Aquaporin 1	0.47	Water transport activity
