Gene Symbol	PPD-b stimulation  Fold change +/- SEM	PPD-b stimulation  P value	LPS stimulation Fold change ± SEM	LPS stimulation P value
CCL3	1.09+/- 0.41	0.9672	96.23+/- 29.16	<0.0001
CCL5	39.81+/- 5.19	<0.0001	1,741+/- 465	<0.0001
CD14	1.68+/- 0.17	0.0019	4.07+/- 1.26	0.0086
IFNG	3.20+/- 1.31	0.5826	13,075+/- 6,923	0.0003
IKBKB	1.23+/- 0.09	0.0361	1.26+/- 0.09	0.0215
IL1B	18.46+/- 12.38	0.0142	12,942+/- 6,069	<0.0001
IL6	9.35+/- 3.64	0.0014	393.69+/- 176.31	0.0001
IL8	1.90+/- 0.29	0.0077	161.79+/- 61.77	<0.0001
IL10	1.72+/- 0.22	0.0057	8.65+/- 1.85	0.0003
IL12B	5.21+/- 0.95	0.0014	2,862+/- 1,421	0.0002
IL18	2.39+/- 0.45	0.006	1.41+/- 0.36	0.3085
IRAK1	1.29+/- 0.17	0.2037	0.98+/- 0.12	0.608
IRF3	1.46+/- 0.10	0.0014	1.87+/- 0.15	0.0003
MYD88	1.40+/- 0.10	0.0051	0.83+/- 0.11	0.1491
NFKB1	1.57+/- 0.18	0.0073	3.83+/- 0.48	0.0001
NOS2	3.19+/- 1.17	0.5826	737.10+/- 277.47	0.0003
TLR1	1.79+/- 0.17	0.0021	0.63+/- 0.11	0.0166
TLR2	1.65+/- 0.15	0.0023	2.65+/- 0.45	0.0019
TLR4	2.06+/- 0.38	0.0102	7.01+/- 0.77	<0.0001
TLR6	1.84+/- 0.18	0.0017	0.69+/- 0.12	0.0333
TNF	2.33+/- 0.57	0.009	39.18+/- 12.63	<0.0001
TOLLIP	1.21+/- 0.11	0.1186	1.60+/- 0.10	0.0004
TRAF6	1.14+/- 0.04	0.0091	1.58+/- 0.14	0.0035
TICAM1	0.91+/- 0.05	0.0892	4.15+/- 1.04	0.0051
TICAM2	1.93+/- 0.17	0.0006	4.58+/- 0.65	<0.0001
