Curated Gene Symbol	Gene symbol	Ab (Log2 ratio)	AbAl (Log2 ratio)	Al (Log2 ratio)	RefSeq	Description
AR	AR	20.15	1.94	0.42	NM_000044	Androgen receptor
NOS2	NOS2A	20.21	1.87	20.14	NM_000625	Nitric oxide synthase, inducible (NOS, type II)
VDR	VDR	0.19	1.77	0.17	NM_000376	Vitamin D3 receptor (VDR)
NGFR	NGFR	20.12	1.18	21.12	NM_002507	Tumor necrosis factor receptor
CCNT1	CCNT1	0.28	1.09	20.06	NM_001240	Cyclin T1
IDE	IDE	20.02	1.05	20.16	NM_004969	Insulin-degrading enzyme
FTSJ3	FTSJ3	0.13	1.02	0.41	NM_017647	FtsJ homolog 3
KCNJ6	KCNJ6	20.53	1.02	0.36	NM_002240	G protein-activated inward rectifier potassium channel 2
NOS1	NOS1	0.43	1.01	20.74	NM_000620	Nitric-oxide synthase, brain (NOS, type I)
PLCE1	PLCE1	0.27	0.99	0.34	NM_016341	pancreas-enriched phospholipase C
PRKAA1	PRKAA1	20.02	0.93	0.09	-	59-AMP-activated protein kinase, catalytic alpha-1 chain
SLC6A3	SLC6A3	0.22	0.9	0.35	NM_001044	Sodium-dependent dopamine transporter
MYH8	MYH8	0.38	0.85	20.21	NM_002472	Myosin heavy chain, skeletal muscle, perinatal
FDPS	FDPS	20.22	0.84	0.13	NM_002004	Farnesyl pyrophosphate synthetase
HMOX1	HMOX1	0.15	0.83	0.3	NM_002133	Heme oxygenase 1
CNTF	CNTF	0.22	0.82	0.03	NM_170768	Ciliary neurotrophic factor
SOS2	SOS2	0.32	0.79	20.69	NM_006939	Son of sevenless protein homolog 2
ACSL4	ACSL4	0.4	0.74	20.02	NM_004458	Long-chain-fatty-acid–CoA ligase 4
ADRB1	ADRB1	0.35	0.73	20.28	NM_000684	Beta-1 adrenergic receptor
ABCA1	ABCA1	0.05	0.72	0.45	-	ATP-binding cassette, sub-family A, member 1
APOM	APOM	0	0.59	20.63	NM_019101	Apolipoprotein M
GLP1R	GLP1R	0.36	0.55	0.21	NM_002062	Glucagon-like peptide 1 receptor precursor
CH25H	CH25H	20.14	0.55	20.47	NM_003956	cholesterol 25-hydroxylase
ECE1	ECE1	20.06	0.51	20.07	NM_001397	Endothelin-converting enzyme 1
ATF7	ATF7	20.07	0.51	20.04	NM_006856	Cyclic-AMP-dependent transcription factor
F13A1	F13A1	0.3	0.5	0.22	-	Coagulation factor XIII A chain precursor
