Probe ID	Gene ID	Definition	Control	Ino-C2-PAF	Glc-PAF	Edelfosine
A_23_P66787	ACLY	ATP citrate lyase	1713	7222	5434	3314
A_23_P79587	ALPP	Alkaline phosphatase, placental (Regan isozyme)	13 764	2982	4905	3131
A_24_P416997	APOL3	Apolipoprotein L3	222	81	121	127
A_23_P29237	APOL3	Apolipoprotein L3	1848	616	881	852
A_23_P382775	BBC3	BCL2 binding component 3	4509	9814	9118	8436
A_23_P503072	CCL28	Chemokine (C–C motif) ligand 28	96	28	46	49
A_23_P6909	CCRL1	Chemokine (C–C motif) receptor-like 1	88	22	35	37
A_23_P311875	CD6	CD6 molecule	3	13	13	16
A_23_P70095	CD74	CD74 molecule, MHC, class II, invariant chain	224	74	124	150
A_23_P33384	CIITA	MHC, class II, transactivator	85	22	38	46
A_23_P353478	CIITA	MHC, class II, transactivator	403	117	204	204
A_23_P125233	CNN1	Calponin 1, basic, smooth muscle	4	46	22	28
A_24_P90005	COL13A1	Collagen, type XIII, alpha 1	116	249	184	280
A_23_P1331	COL13A1	Collagen, type XIII, alpha 1	69	143	104	171
A_23_P31124	COL21A1	Collagen, type XXI, alpha 1	4	9	10	5
A_24_P303770	CTSB	Cathepsin B	4718	2103	2337	3146
A_24_P397928	CTSB	Cathepsin B	1605	579	716	977
A_24_P242646	CTSS	Cathepsin S	16	4	7	10
A_23_P46141	CTSS	Cathepsin S	500	212	292	321
A_24_P257416	CXCL2	Chemokine (C–X–C motif) ligand 2	76	29	39	55
A_23_P315364	CXCL2	Chemokine (C–X–C motif) ligand 2	81	27	34	56
A_23_P131676	CXCR7	Chemokine (C–X–C motif) receptor 7	15 240	7525	9462	6022
A_23_P64873	DCN	Decorin	81	14	19	13
A_23_P71480	DEFB1	Defensin, beta 1	434	133	185	213
A_23_P157628	DEFB4	Defensin, beta 4	107	39	60	82
A_23_P59388	DST	Dystonin	667	2430	1918	1410
A_23_P431776	ETV4	Ets variant 4	124	751	469	688
A_24_P416346	ETV4	Ets variant 4	89	501	309	466
A_23_P9836	ETV5	Ets variant 5	4	76	42	55
A_32_P30649	ETV5	Ets variant 5	8	116	65	83
A_23_P44132	FASN	Fatty acid synthase	1041	2459	1751	2333
A_24_P114183	FDPS	Farnesyl diphosphate synthase	53 021	144 064	120 443	92 382
A_23_P53176	FOLR1	Folate receptor 1	666	236	309	217
