Gene name	GenBank no.	Function	Score (d)a	Change (n fold)	q (%)b	Category
SAA1	M11131	Acute-phase response	6.82	1.64	3.78	Up-regulated genes
CD38 antigen	L11332	Synthesis/hydrolysis of cyclic ADP-ribose	6.56	1.78	3.78	Up-regulated genes
MHC-II Ia-associated invariant chain	X05430	Antigen presentation	5.98	1.97	3.78	Up-regulated genes
Cytochrome P450 IIJ6	U62295	Electron transport	5.54	1.35	3.78	Up-regulated genes
Integrin beta 1-binding protein 1	AJ001373	Cell adhesion	5.42	1.38	3.78	Up-regulated genes
IFN-dependent positive-acting transcription factor 3 gamma	U51992	Transcription factor	5.21	1.67	3.78	Up-regulated genes
IP-10	M86829	Lymphocyte activation/inflammatory	5.20	1.50	3.78	Up-regulated genes
Mitogen-activated protein kinase kinase	L02526	Signal transduction	5.15	1.33	3.78	Up-regulated genes
IL-6 signal transducer (gp130)	X62646	Signal transduction	5.02	1.66	3.78	Up-regulated genes
MIP-1 	M23447	Chemotaxis/cell activation	4.92	1.63	3.78	Up-regulated genes
Proteasome subunit beta type 4	U65636	Protein catabolism	4.91	1.36	3.78	Up-regulated genes
Lymphocyte antigen 57	U65636	B-cell receptor signaling	4.89	1.40	3.78	Up-regulated genes
IFN- -inducible protein 47 kDa	M63630	Gene regulation/protein trafficking	4.72	2.11	3.78	Up-regulated genes
MIG	M34815	Lymphocyte activation/inflammatory	4.62	3.45	3.78	Up-regulated genes
Neurotrophic factor family receptor alpha 3	AB008833	Tyrosine kinase transmembrane receptor	4.48	2.96	3.78	Up-regulated genes
Protein tyrosine phosphatase receptor type C	M14342	T-cell activation	4.08	1.57	3.78	Up-regulated genes
Drebrin-like	U58884	Actin binding	3.92	1.28	3.78	Up-regulated genes
Stefin A3	M92419	Proteinase inhibitor	3.42	1.16	3.78	Up-regulated genes
Arachidonate 15-lipoxygenase	L34570	Leukotriene biosynthesis	3.32	1.49	3.78	Up-regulated genes
Solute carrier family 7 member 5	AB017189	Amino acid transport	3.25	1.48	3.78	Up-regulated genes
Basic keratin complex 2 gene 8	X12789	Cytoskeleton organization	3.21	1.15	3.78	Up-regulated genes
CD3 antigen gamma polypeptide	Y00635	T-cell receptor signaling	3.16	1.61	6.49	Up-regulated genes
Caveolin; 22-kDa caveolar protein	U07645	Scaffolding protein	3.01	1.63	6.49	Up-regulated genes
DNA methyltransferase 3A	AF068625	DNA methylation	2.99	1.30	6.49	Up-regulated genes
Opioid receptor sigma 1	AF004927	Ergosterol biosynthesis	2.84	1.30	6.49	Up-regulated genes
Eukaryotic translation initiation factor 4 gamma 2	U76112	Regulation of translation	5.10	0.74	3.78	Down-regulated genes
Antioxidant protein 2	AF004670	Redox regulation	4.78	0.76	3.78	Down-regulated genes
Meprin 1 alpha	M74897	Metalloprotease	4.36	0.73	3.78	Down-regulated genes
