Gene Name	Symbol	Accesion No.	Log (base 2)	FDR
ADAM metallopeptidase domain 32	AJ131563	Adam32	0.768	0.038
adrenergic, alpha-1B-, receptor	NM_016991	Adra1b	0.84	0.035
aldehyde dehydrogenase 6 family, member A1	NM_031057	Aldh6a1	0.864	0.048
annexin A1	NM_012904	Anxa1	0.857	0.037
antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	XM_237839	Mfi2	0.694	0.048
aquaporin 7	NM_019157	Aqp7	0.746	0.047
aspartoacylase	NM_024399	Aspa	1.363	0.039
carboxylesterase 2-like	NM_133586	Ces2l	0.674	0.048
cell death-inducing DFFA-like effector a	XM_214551	Cidea	1.122	0.035
conserved helix-loop-helix ubiquitous kinase	CB548045	Chuk	0.727	0.042
core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1	NM_022950	C1galt1	0.745	0.037
cytoplasmic polyadenylation element binding protein 1	XM_218858	Cpeb1	1.059	0.037
epithelial membrane protein 1	NM_012843	Emp1	0.636	0.044
fibroblast growth factor receptor-like 1	NM_199114	Fgfrl1	0.753	0.048
G protein-coupled receptor 120	XM_215281	Gpr120	1.179	0.043
holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase)	XM_221630	Hlcs	0.628	0.045
insulin-like growth factor binding protein 3	NM_012588	Igfbp3	0.8	0.035
leucine rich repeat containing 8 family, member D	NM_001008338	Lrrc8d	1.139	0.038
myogenin	NM_017115	Myog	0.922	0.043
odz, odd Oz/ten-m homolog 4 (Drosophila)	XM_218927	Odz4	1.086	0.037
paraoxonase 3	NM_001004086	Pon3	0.976	0.035
potassium voltage gated channel, Shab-related subfamily, member 1	NM_013186	Kcnb1	0.956	0.039
potential ligand-binding protein	X60660	RY2G5	0.822	0.039
proprotein convertase subtilisin/kexin type 5	L14933	Pcsk5	0.799	0.044
solute carrier family 46, member 2	CB547809	Slc46a2	0.614	0.048
TDP-glucose 4,6-dehydratase	XM_224518	Tgds	0.772	0.035
