Symbol	Name	ProbeId	Pup:Log2FC	Pup:adj_p-value
Slc39a8	solute carrier family 39 (metal ion transporter), member 8	A_51_P334093	Pup:3.85217113009822	Pup:0.000346336127420459
Far2	fatty acyl CoA reductase 2	A_52_P628411	Pup:3.62830840115816	Pup:0.00113145541912127
Tacr3	tachykinin receptor 3	A_52_P676947	Pup:3.56913425725237	Pup:7.77174501159482e-06
Lrrc55	leucine rich repeat containing 55	A_52_P395280	Pup:3.56752894862398	Pup:1.82763317468792e-05
Kcne1l	potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene	A_51_P160673	Pup:3.54818269414725	Pup:0.00260212172360944
Gpr17	G protein-coupled receptor 17	A_51_P170463	Pup:3.51221541417946	Pup:0.00465246380413289
Prnd	prion protein dublet	A_51_P177371	Pup:3.35876096571952	Pup:0.000352260317666455
Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)	A_51_P116755	Pup:3.23693152517308	Pup:0.00809435924876044
4921517L17Rik	RIKEN cDNA 4921517L17 gene	A_52_P43016	Pup:3.12898674803914	Pup:0.000557018316785052
Col7a1	collagen, type VII, alpha 1	A_51_P255395	Pup:3.00833994130301	Pup:4.88895668366321e-12
Fam5c	family with sequence similarity 5, member C	A_51_P453158	Pup:2.97817666265704	Pup:0.00861326118635081
Best1	bestrophin 1	A_51_P508781	Pup:2.9761225829134	Pup:2.00134149792922e-09
Ucma	upper zone of growth plate and cartilage matrix associated	A_51_P303217	Pup:2.91706880458168	Pup:0.0173664849966467
A930001C03Rik	RIKEN cDNA A930001C03 gene	A_52_P91658	Pup:2.89707409429858	Pup:9.21008452100978e-07
Papln	papilin, proteoglycan-like sulfated glycoprotein	A_51_P506483	Pup:2.85812753342537	Pup:1.61275796280675e-05
Mfap3l	microfibrillar-associated protein 3-like	A_52_P139569	Pup:2.84872517296007	Pup:0.000250062891612445
Kcnip3	Kv channel interacting protein 3, calsenilin	A_52_P185255	Pup:2.82705189444564	Pup:0.00181834905475282
Lrrc4	leucine rich repeat containing 4	A_51_P337210	Pup:2.80876963277823	Pup:0.00281183881190832
Jph1	junctophilin 1	A_52_P489232	Pup:2.80208704517809	Pup:0.000601019485046086
Slc43a2	solute carrier family 43, member 2	A_52_P74368	Pup:2.74185575496041	Pup:0.00169462807688002
Grid2	glutamate receptor, ionotropic, delta 2	A_52_P303491	Pup:2.72841490283885	Pup:0.00575150554275923
Plxdc1	plexin domain containing 1	A_51_P283766	Pup:2.72440350582512	Pup:8.21180805066825e-06
Kcnmb1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	A_51_P219173	Pup:2.5858096516783	Pup:0.000513834376975881
Slco4a1	solute carrier organic anion transporter family, member 4a1	A_51_P163038	Pup:2.58452189206958	Pup:4.64824320845643e-05
Emid2	EMI domain containing 2	A_51_P435380	Pup:2.56688992028549	Pup:1.75184506204393e-10
