Accession no	Gene	Gene Symbol	log ratios	Category 1	Category 2
AK012104	citrate synthase	Cs	2.92	Metabolic enzymes	Carbohydrate metabolism
BM124000	glucosidase beta 2	Gba2	2.51	Metabolic enzymes	Metabolic enzymes Carbohydrate metabolism
NM_008322	isocitrate dehydrogenase 2 (NADP+), mitochondrial	Idh2	2.38	Metabolic enzymes	Metabolic enzymes Carbohydrate metabolism
AW106963	phosphoenolpyruvate carboxykinase 1, cytosolic	Pck1	-3.42	Metabolic enzymes	Metabolic enzymes Carbohydrate metabolism
NM_018874	pancreatic lipase related protein 1	Pnliprp1	8.49	Metabolic enzymes	Lipid metabolism
AK017272	lipoprotein lipase	Lpl	3.37; 3.30	Metabolic enzymes	Lipid metabolism
BE979765	retinol dehydrogenase 9	Rdh9	2.63	Metabolic enzymes	Lipid metabolism
NM_024406	fatty acid binding protein 4, adipocyte	Fabp4	2.55	Metabolic enzymes	Lipid metabolism
BB829192	sialyltransferase 9	Siat9	-2.47; -2.10	Metabolic enzymes	Lipid metabolism
BC018263	cis-retinol/3alpha hydroxysterol short-chain dehydrogenase-like	CRAD-L	-5.2	Metabolic enzymes	Lipid metabolism
U09114	glutamate-ammonia ligase (glutamine synthetase)	Glul	2.13	Metabolic enzymes	Amino acid metabolism, urea cycle
BC019483	cystathionase (cystathionine gamma-lyase)	Cth	-2.12	Metabolic enzymes	Amino acid metabolism, urea cycle
NM_080845	formiminotransferase cyclodeaminase	Ftcd	-2.13	Metabolic enzymes	Amino acid metabolism, urea cycle
BC024120	tyrosine aminotransferase	Tat	-2.55	Metabolic enzymes	Amino acid metabolism, urea cycle
NM_007494	argininosuccinate synthetase 1	Ass1	-4.1	Metabolic enzymes	Amino acid metabolism, urea cycle
AA792094	glutamate oxaloacetate transaminase 1, soluble	Got1	-5	Metabolic enzymes	Amino acid metabolism, urea cycle
BC021950	serine dehydratase	Sds	-7.06	Metabolic enzymes	Amino acid metabolism, urea cycle
NM_138595	glycine decarboxylase	Gldc	-7.11	Metabolic enzymes	Amino acid metabolism, urea cycle
L07645	histidine ammonia lyase	Hal	-7.45	Metabolic enzymes	Amino acid metabolism, urea cycle
NM_007482	arginase 1, liver	Arg1	-9.72	Metabolic enzymes	Amino acid metabolism, urea cycle
AK013765	endothelial cell growth factor 1 (platelet-derived)	Ecgf1	-2.35	Metabolic enzymes	Nucleotide metabolism
AF128849	cytochrome P450 2B20	Cyp2b20	9.55; 7.71	Metabolic enzymes	Xenobiotic metabolism
NM_009998	cytochrome P450 2B10	Cyp2b10	6.94	Metabolic enzymes	Xenobiotic metabolism
J03953	glutathione S-transferase, m3	Gstm3	5.4	Metabolic enzymes	Xenobiotic metabolism
NM_028089	cytochrome P450 2C55	Cyp2c55	5.35	Metabolic enzymes	Xenobiotic metabolism
BC015290	carboxylesterase 2	Ces2	2.99	Metabolic enzymes	Xenobiotic metabolism
NM_008183	glutathione S-transferase, m2	Gstm2	2.82	Metabolic enzymes	Xenobiotic metabolism
NM_008898	P450 (cytochrome) oxidoreductase	Por	2.6	Metabolic enzymes	Xenobiotic metabolism
NM_008184	glutathione S-transferase, m6	Gstm6	2.23	Metabolic enzymes	Xenobiotic metabolism
NM_133660	esterase 22	Es22	-5.12	Metabolic enzymes	Xenobiotic metabolism
AK006371	nicotinamide N-methyltransferase	Nnmt	-6.01	Metabolic enzymes	Xenobiotic metabolism
NM_007817	cytochrome P450 2F2	Cyp2f2	-9.91	Metabolic enzymes	Xenobiotic metabolism
BC010197	carboxypeptidase E	Cpe	5.96	Metabolic enzymes	Protein processing
NM_008872	plasminogen activator, tissue	Plat	3.81	Metabolic enzymes	Protein processing
NM_011909	ubiquitin specific protease 18	Usp18	3.34	Metabolic enzymes	Protein processing
BC003851	protease, serine, 8 (prostasin)	Prss8	2.94	Metabolic enzymes	Protein processing
NM_007585	annexin A2	Anxa2	2.74	Metabolic enzymes	Protein processing
NM_019447	hepatocyte growth factor activator	Hgfac	-2.23	Metabolic enzymes	Protein processing
NM_009175	sialyltransferase 1	Siat1	-2.72; -3.78	Metabolic enzymes	Protein processing
AK014346	serine (cysteine) proteinase inhibitor, clade A,  member 12	Serpina12	-8.26	Metabolic enzymes	Protein processing
BC021747	glycyl-tRNA synthetase	Gars	2.22	Metabolic enzymes	Nucleic acid processing, nuclear proteins
NM_015786	histone 1, H1c	Hist1h1c	2.21	Metabolic enzymes	Nucleic acid processing, nuclear proteins
AV303002	nucleoporin like 1	Nupl1	2.08	Metabolic enzymes	Nucleic acid processing, nuclear proteins
NM_026539	chromodomain helicase DNA binding protein 1-like	Chd1l	2.03	Metabolic enzymes	Nucleic acid processing, nuclear proteins
NM_007607	carbonic anhydrase 4	Car4	7.32; 4.46	Metabolic enzymes	Other metabolic enzymes
NM_009801	carbonic anhydrase 2	Car2	3.53	Metabolic enzymes	Other metabolic enzymes
BC027279	biliverdin reductase B	Blvrb	2.86	Metabolic enzymes	Other metabolic enzymes
NM_007437	aldehyde dehydrogenase 3A2	Aldh3a2	2.35	Metabolic enzymes	Other metabolic enzymes
BC020001	aldehyde dehydrogenase 1B1	Aldh1b1	-4.35	Metabolic enzymes	Other metabolic enzymes
NM_009647	adenylate kinase 4	Ak4	-3.50; -5.33	Metabolic enzymes	Other metabolic enzymes
BB367779	gamma-aminobutyric acid (GABA-A) receptor, subunit b3	Gabrb3	5.86; 4.27	Regulatory proteins	Receptors
