EntrezGene	Gene Name	Description	log(base 10) Ratio
2952	GSTT1	Glutathione S-transferase theta-1	Downregulated
10257	ABCC4	Multidrug resistance-associated protein 4	Downregulated
1657	DMXL1	DmX-like protein 1	Downregulated
25800	SLC39A6	Zinc transporter ZIP6 Precursor	Downregulated
55840	EAF2	ELL-associated factor 2	Downregulated
354	KLK3	Prostate-specific antigen Precursor (PSA)	Downregulated
81035	COLEC12	Collectin-12 (Collectin placenta protein 1)	Downregulated
10788	IQGAP2	Ras GTPase-activating-like protein	Downregulated
123036	MTAC2D1	Tandem C2 domains nuclear protein	Downregulated
3150	HMGN1	Non-histone chromosomal protein HMG-14	Downregulated
55359	STYK1	Tyrosine protein-kinase	Downregulated
64757	MOSC1	MOSC domain-containing protein 1, mitochondrial Precursor	Downregulated
5269	SERPINB6	Serpin B6 (Placental thrombin inhibitor)	Downregulated
1066	ANXA3	Annexin A3	Downregulated
652708	CES1	Liver carboxylesterase 1 Precursor	Upregulated
220164	DOK6	Docking protein 6 (Downstream of tyrosine kinase 6)	Upregulated
2296	FOXC1	Forkhead box protein C1	Upregulated
219699	UNC5B	etrin receptor UNC5B Precursor	Upregulated
2070	EYA4	Eyes absent homolog 4	Upregulated
10964	IFI44L	Interferon-induced protein 44-like	Upregulated
678	ZFP36L2	Butyrate response factor 2	Upregulated
64710	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinases substrate (P1)	Upregulated
10365	KLF2	Krueppel-like factor 2	Upregulated
1783	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	Upregulated
79884	MAP9	Microtubule-associated protein 9	Upregulated
2813	GP2	Pancreatic secretory granule membrane major glycoprotein GP2 Precursor	Upregulated
22888	UBOX5	RING finger protein 37	Upregulated
