Gene Symbol	Chromosome	Gene Name	Biological Function	Differential expresion in RCC	References
RGS5	1q	Regulator of G-protein signaling 5	angiogenesis	up	[[18,27]]
CXCR4	2q	Chemokine C-X-C receptor 4	metastatic spread	up	[[18,26]]
LOX	5q	Lysyl oxidase	metastatic spread	up	[[18,27]]
VEGFA	6p	Vascular endothelial growth factor A	angiogenesis	up	[[18,26]]
CAV1	7q	Caveolin 1	cell adhesion and extracellular matrix interaction	up	[[18,41]]
HIG2	7q	Hypoxia-inducible protein 2	cell growth promotion	up	[[18,27,42]]
CA9	9p	Carbonic anhydrase IX	cell growth promotion	up	[[18,43]]
VIM	10p	Vimentin	cell adhesion and extracellular matrix interaction	up
NNMT	11q	Nicotinamide N-methyltransferase	methyltransferase activity	up	[[18,45]]
EGLN3	14q	Egl nine homolog 3	cell growth regulation	up	[[18,27]]
DEFB1	8p	Defensin beta 1	antimicrobial activity	down	[[44]]
PVALB	22q	Parvalbumin	calcium ion binding	down	[[44]]
