Gene symbol	Accession number	Gene name	P-value	Fold change	Domain
CLDN18	NM_016369	Claudin 18	0.003	20.878	Cell adhesion
FLRT3	NM_198391	Fibronectin leucine rich transmembrane protein 3	0.003	6.88	Cell adhesion
IGFBP7	NM_001553	Insulin-like growth factor binding protein 7	0.005	5.166	Cell adhesion
ALCAM	NM_001627	Activated leukocyte cell adhesion molecule	0.003	3.882	Cell adhesion
LRRN2	NM_201630	Leucine rich repeat neuronal 2	0.003	3.79	Cell adhesion
PTPRF	NM_002840	Protein tyrosine phosphatase, receptor type, F	0.01	2.885	Cell adhesion
SRPX	NM_006307	Sushi-repeat-containing protein, X-linked	0.031	2.51	Cell adhesion
PVRL3	BC017572	Poliovirus receptor-related 3	0.003	2.509	Cell adhesion
PVRL3	NM_015480	Poliovirus receptor-related 3	0.003	2.477	Cell adhesion
CGN	NM_020770	Cingulin	0.019	2.472	Cell adhesion
PVRL3	BC017572	Poliovirus receptor-related 3	0.009	2.462	Cell adhesion
F5	NM_000130	Coagulation factor V (proaccelerin, labile factor)	0.042	2.418	Cell adhesion
DDR2	NM_001014796	Discoidin domain receptor tyrosine kinase 2	0.048	2.353	Cell adhesion
NRP2	NM_018534	Neuropilin 2 (variant 4)	0.003	2.348	Cell adhesion
ITGB2	NM_000211	Integrin, beta2 (complement component 3 receptor 3 and 4 subunit)	0.023	2.338	Cell adhesion
NRP2	NM_201266	Neuropilin 2 (variant 1)	0.03	2.078	Cell adhesion
STAB1	NM_015136	Stabilin 1	0.003	2.027	Cell adhesion
SHROOM3	NM_020859	Shroom family member 3	0.008	8.364	Cytoskeleton/cell motility
NTN1	NM_004822	Netrin 1	0.014	3.064	Cytoskeleton/cell motility
KRT80	NM_182507	Keratin 80	0.014	2.544	Cytoskeleton/cell motility
SFTPC	NM_003018	Surfactant protein C	0.003	191.604	Extracellular matrix remodeling
SFTPD	NM_003019	Surfactant protein D	0.003	94.641	Extracellular matrix remodeling
GPC3	NM_004484	Glypican 3	0.037	6.034	Extracellular matrix remodeling
CHI3L1	NM_001276	Chitinase 3-like 1 (cartilage glycoprotein-39)	0.014	5.513	Extracellular matrix remodeling
COL4A3	NM_000091	Collagen, type IV, alpha3 (Goodpasture antigen)	0.047	4.716	Extracellular matrix remodeling
TGFBI	NM_000358	Transforming growth factor, beta-induced, 68 kDa	0.007	3.301	Extracellular matrix remodeling
COL1A1	Z74615	Collagen, type I, alpha1	0.007	2.657	Extracellular matrix remodeling
BMP5	NM_021073	Bone morphogenetic protein 5	0.034	2.443	Extracellular matrix remodeling
CPM	NM_001874	Carboxypeptidase M	0.023	2.233	Extracellular matrix remodeling
MATN2	NM_030583	Matrilin 2	0.014	2.19	Extracellular matrix remodeling
VCAN	NM_004385	Versican	0.038	2.156	Extracellular matrix remodeling
IGF2	NM_000612	Insulin-like growth factor 2 (somatomedin A)	0.003	6.449	Cell-cell signaling (cytokine/chemokine)
PRICKLE1	NM_153026	Prickle homolog 1 (Drosophila)	0.003	5.549	Cell-cell signaling (cytokine/chemokine)
TCN1	NM_001062	Transcobalamin I (vitamin B12 binding protein, R binder family)	0.016	4.445	Cell-cell signaling (cytokine/chemokine)
CAMP	NM_004345	Cathelicidin antimicrobial peptide	0.01	4.118	Cell-cell signaling (cytokine/chemokine)
PHLDB2	NM_145753	Pleckstrin homology-like domain, family B, member 2	0.014	4.056	Cell-cell signaling (cytokine/chemokine)
NTN4	NM_021229	Netrin 4	0.003	3.243	Cell-cell signaling (cytokine/chemokine)
FSTL1	NM_007085	Follistatin-like 1	0.019	2.893	Cell-cell signaling (cytokine/chemokine)
PRRG3	NM_024082	Proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	0.049	2.838	Cell-cell signaling (cytokine/chemokine)
NTN4	NM_021229	Netrin 4	0.003	3.243	Cell-cell signaling (cytokine/chemokine)
FSTL1	NM_007085	Follistatin-like 1	0.019	2.893	Cell-cell signaling (cytokine/chemokine)
