Gene	RP	Anova	Fold change	Protein name
ANAPC5	x		0.6	Anaphase promoting complex subunit 5
CDC20	x		0.52	CDC20 cell division cycle 20 homolog (S. cerevisiae)
HSPA8	x		0.55	Heat shock 70kDa protein 8
PSMA1	x	x	0.66	Proteasome subunit, alpha type, 1
PSMA2	x		0.63	Proteasome subunit, alpha type, 2
PSMA5	x	x	0.68	Proteasome subunit, alpha type, 5
PSMA7	x	x	0.63	Proteasome subunit, alpha type, 7
PSMB7		x	0.81	Proteasome subunit, beta type, 7
PSMC6	x	x	0.62	Proteasome 26S subunit, ATPase, 6
PSMD1	x		0.56	Proteasome 26S subunit, non-ATPase, 1
PSMD8		x	0.75	Proteasome 26S subunit, non-ATPase, 8
PSME2	x	x	0.63	Proteasome activator subunit 2 (PA28 beta)
PSME3	x		0.69	Proteasome activator subunit 3 (PA28 gamma)
SKP1A	x		0.67	S-phase kinase-associated protein 1A (p19A)
TAP2	x	x	1.23	Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
TCEB1	x	x	0.61	Transcription elongation factor B (SIII)
UBE2C	x	x	0.43	Ubiquitin-conjugating enzyme E2C
UBE2D2	x		0.72	Ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)
UBE2L3	x		0.67	Ubiquitin-conjugating enzyme E2L 3
UBE2N	x	x	0.6	Ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)
UBE2V1	x		0.6	Ubiquitin-conjugating enzyme E2 variant 1
UBE3A		x	0.78	Ubiquitin protein ligase E3A (HPV E6-associated protein)
USP1	x	x	0.61	Ubiquitin specific peptidase 1
USP6	x		1.35	Ubiquitin specific peptidase 6 (Tre-2 oncogene)
USP24		x	1.12	Ubiquitin specific peptidase 24
