Probe_ID	Gene	Corrected p-value	Regulation ([PF]vs[ST])a
VAMP8_E7_F	VAMP8	2.75E-08	down
EPHX1_P1358_R	EPHX1	4.93E-08	down
NAT2_P11_F	NAT2	5.88E-08	down
VAMP8_P241_F	VAMP8	1.16E-07	down
OSM_P34_F	OSM	4.44E-07	down
LEFTY2_P719_F	LEFTY2	4.44E-07	down
PPARG_P693_F	PPARG	4.44E-07	down
EMR3_P39_R	EMR3	5.72E-07	up
EPHX1_E152_F	EPHX1	6.20E-07	down
SEPT9_P374_F	9-Sep	1.32E-06	down
B3GALT5_E246_R	B3GALT5	1.44E-06	down
WNT10B_P993_F	WNT10B	1.47E-06	up
PMP22_P975_F	PMP22	1.52E-06	down
VAMP8_P114_F	VAMP8	2.29E-06	down
SH3BP2_E18_F	SH3BP2	2.53E-06	down
MAP3K1_E81_F	MAP3K1	2.79E-06	down
CHI3L2_E10_F	CHI3L2	4.19E-06	down
WRN_P969_F	WRN	6.99E-06	down
HCK_P858_F	HCK	1.16E-05	up
IRF7_P277_R	IRF7	1.60E-05	up
MMP2_P303_R	MMP2	3.29E-05	down
MAP3K1_P7_F	MAP3K1	5.41E-05	down
RBP1_P426_R	RBP1	8.52E-05	down
TGFB3_E58_R	TGFB3	0.000141909	down
LCN2_P86_R	LCN2	0.000141909	down
SEPT9_P58_R	9-Sep	0.000168837	down
CD81_P211_F	CD81	0.000174674	up
RIPK1_P744_R	RIPK1	0.000363328	down
ASCL2_P609_R	ASCL2	0.00163921	down
IRF7_E236_R	IRF7	0.00234127	up
MAPK10_E26_F	MAPK10	0.002497436	down
FABP3_E113_F	FABP3	0.003663454	up
ASCL2_E76_R	ASCL2	0.010279463	down
ASCL2_P360_F	ASCL2	0.010781699	down
