Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.6666.1.S1_at	219.6214058	LOC770450	similar to serine protease inhibitor Kazal type 9
Gga.6418.1.S1_at	114.8105096	---	---
Gga.19409.1.S1_at	89.38064516	COL4A2	collagen, type IV, alpha 2
Gga.729.1.S1_at	50.23610694	LOC396260	mature avidin
Gga.9531.1.S1_at	29.84513274	CAMP	cathelicidin antimicrobial peptide
GgaAffx.12288.1.S1_s_at	28.53884712	TGM4	transglutaminase 4 (prostate)
GgaAffx.6456.5.S1_x_at	26.16913947	LOC768881	similar to type II keratin K6h
Gga.12800.1.S1_at	18.83870968	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
Gga.11845.1.S1_at	16.88245315	TMEM16A	transmembrane protein 16A
Gga.7447.1.S1_at	15.76581866	LOC772080	similar to type I hair keratin KA31
GgaAffx.6456.5.S1_s_at	15.55383936	LOC431299 /// LOC768880 /// LOC768881	similar to type II keratin K6h /// similar to Krt6b protein /// similar to type II keratin K6h
Gga.2510.1.S1_at	14.36740331	C3	complement component 3
Gga.10818.1.S1_at	14.06462585	LOC429567	Similar to protease
Gga.7447.2.S1_s_at	14.04151943	LOC772080	similar to type I hair keratin KA31
Gga.740.1.S1_at	14.00081185	S100A9	S100 calcium binding protein A9
Gga.495.1.S1_at	13.49654378	GAL2	gallinacin 2
Gga.7004.1.S1_at	12.47951772	LOC420301	similar to stem cell antigen 2
Gga.5396.1.S1_at	12.36774194	C1QB	complement component 1, q subcomponent, B chain
GgaAffx.4192.1.S1_at	10.64078091	---	---
GgaAffx.993.1.S1_at	10.29623762	NEU2	sialidase 2 (cytosolic sialidase)
GgaAffx.6592.1.S1_at	9.705839416	---	---
Gga.7639.2.S1_a_at	9.42503864	LOC422000	similar to putative protein product of HMFN0672
GgaAffx.2960.1.S1_s_at	8.950773558	C1QB	complement component 1, q subcomponent, B chain
Gga.18620.1.S1_at	8.656346749	---	---
Gga.13336.3.S1_a_at	8.608763345	BLB1 /// BLB2	MHC class II antigen B-F minor heavy chain /// MHC class II beta chain
Gga.8260.1.S1_at	8.581583199	LOC422000	similar to putative protein product of HMFN0672
Gga.6072.2.S1_at	8.24288425	LOC423695	hypothetical LOC423695
Gga.3219.1.S1_at	7.416629613	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
GgaAffx.12270.1.S1_at	7.300505051	ATP13A4	ATPase type 13A4
Gga.6252.1.S1_at	7.036309524	TMEM16A	transmembrane protein 16A
Gga.8216.1.S1_at	6.998583569	LOC424257	Similar to KIAA1237 protein
Gga.3391.1.S1_at	6.834200113	KRT15	keratin 15
GgaAffx.4498.1.S1_s_at	6.669099757	ATP13A4	ATPase type 13A4
GgaAffx.21845.2.S1_s_at	6.339683105	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain
Gga.866.1.S1_at	6.181459566	COL17A1	collagen, type XVII, alpha 1
Gga.178.1.S1_s_at	5.969785529	GBP	guanylate binding protein
Gga.4973.3.S1_x_at	5.953428864	BF1 /// BF2 /// HLA-G	MHC class I antigen B-F minor heavy chain /// major histocompatibility complex class I glycoprotein /// HLA-G histocompatibility antigen, class I, G
Gga.3986.2.S1_a_at	5.884327372	CA2	carbonic anhydrase II
Gga.179.1.S1_s_at	5.874371859	AVR2 /// LOC427416	avidin related protein 2 /// hypothetical LOC427416
GgaAffx.20634.1.S1_at	5.759905581	GBP	guanylate binding protein
GgaAffx.12086.1.S1_at	5.597042514	FKBP5	FK506 binding protein 5
Gga.1158.3.S1_s_at	5.37833595	HOPX	HOP homeobox
Gga.20069.1.S1_at	5.377682403	---	---
Gga.4401.1.S1_a_at	5.361528413	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
Gga.8515.1.S1_at	5.346745562	LHFPL5	lipoma HMGIC fusion partner-like 5
Gga.16403.1.S1_at	5.211428571	---	---
Gga.4973.2.S1_x_at	5.134893748	BF1 /// BF2 /// HLA-G	MHC class I antigen B-F minor heavy chain /// major histocompatibility complex class I glycoprotein /// HLA-G histocompatibility antigen, class I, G
Gga.4973.1.S1_x_at	5.116093366	BF2	major histocompatibility complex class I glycoprotein
Gga.9396.1.S1_at	5.076252723	---	---
Gga.9387.1.S1_at	4.967088608	GGT1	gamma-glutamyltransferase 1
Gga.17100.1.S1_at	4.910623946	GOLPH3L	golgi phosphoprotein 3-like
Gga.4414.3.S1_a_at	4.893783542	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain
Gga.13978.1.S1_s_at	4.877821012	LHFPL5	lipoma HMGIC fusion partner-like 5
GgaAffx.813.1.S1_at	4.829096045	LOC419726	similar to Transmembrane protein 45b
Gga.8328.1.S1_at	4.818045113	GPRC5A	G protein-coupled receptor, family C, group 5, member A
Gga.9873.1.S1_at	4.757388316	C1QC	complement component 1, q subcomponent, C chain
Gga.11275.1.S1_at	4.740139211	LOC427516	Hypothetical LOC427516
Gga.1163.1.S1_at	4.717285945	CYP3A37	cytochrome P450 A 37
Gga.19658.1.S1_at	4.590462833	LOC768786	Similar to CBPch04
Gga.15588.1.S1_at	4.444210526	LOC416618	similar to NAD(P) dependent steroid dehydrogenase-like
Gga.6548.1.S1_at	4.268339768	GPR87	G protein-coupled receptor 87
GgaAffx.6456.8.S1_at	4.219451372	LOC431299	similar to type II keratin K6h
Gga.3652.1.S1_at	4.203119869	CLEC3B	C-type lectin domain family 3, member B
Gga.16813.1.S1_at	4.07107438	---	---
Gga.990.1.S1_at	3.977952756	LOC770777	hypothetical protein LOC770777
Gga.1158.3.S1_a_at	3.965095986	HOPX	HOP homeobox
Gga.8138.1.S1_at	3.919503946	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
Gga.19451.1.S1_at	3.784895482	RCJMB04_17j13	ADAM metallopeptidase domain 28
Gga.739.1.S1_at	3.562908784	P20K	quiescence-specific protein
