Probeset	Symbol	Probes	Mean Diff (P<=0.5)	FC>=2.0	Fold Change	t-Value	Adj. P Value	Best Probeset	Sens/Spec
230788_at	GCNT2	28	+	+	13.36	18.74	2.16E-27	935239-HuGene_st	97.59 (94.2-99.2)
203908_at	SLC4A4	27	+	+	3.58	15.98	2.23E-23	810103-HuGene_st	96.53 (92.4-98.6)
206208_at	CA4	24	+	+	10.41	16.67	1.73E-24	636392-HuGene_st	96.52 (92.4-98.6)
207502_at	GUCA2B	23	+	+	51.78	16.87	7.04E-25	636392-HuGene_st	96.51 (92.4-98.6)
206209_s_at	CA4	24	+	+	10.41	16.67	1.73E-24	276512-HuGene_st	96.51 (92.4-98.6)
207003_at	GUCA1B	25	+	+	10.7	16.62	7.32E-25	207003_at	96.25 (92-98.5)
205950_s_at	CA1	24	+	+	38.27	15.22	3.15E-22	632246-HuGene_st	95.4 (90.6-98)
206784_at	AQP8	23	+	+	10.82	14.61	2.98E-22	486167-HuGene_st	95.21 (90.3-97.9)
220834_at	MS4A12	23	+	+	7.15	12.98	2.13E-19	220834_at	95.02 (90-97.8)
209735_at	ABCG2	23	+	+	31.53	14.74	1.09E-21	236197-HuGene_st	94.85 (89.8-97.7)
228195_at	MGC13057	24	+	+	3.18	14.14	6.94E-21	926449-HuGene_st	94.54 (89.4-97.6)
223754_at	MGC13057	24	+	+	3.18	14.14	6.94E-21	926449-HuGene_st	94.54 (89.3-97.5)
220026_at	CLCA4	23	+	+	16.3	12.77	1.25E-19	220026_at	94.48 (89.2-97.5)
230830_at	OSTbeta	23	+	+	7.15	14.28	6.23E-21	552746-HuGene_st	94.44 (89.2-97.5)
231120_x_at	PKIB	24	+	+	3.28	13.76	5.94E-20	866170-HuGene_st	94.09 (88.7-97.3)
223551_at	PKIB	24	+	+	3.28	13.76	5.94E-20	866170-HuGene_st	94.07 (88.6-97.3)
226492_at	SEMA6D	27	+	+	4.27	13.69	6.07E-20	855766-HuGene_st	93.9 (88.4-97.2)
228707_at	CLDN23	25	+	+	3.47	13.68	4.27E-20	403960-HuGene_st	93.8 (88.2-97.1)
228706_s_at	CLDN23	25	+	+	3.47	13.68	4.27E-20	403960-HuGene_st	93.79 (88.3-97.1)
224836_at	TP53INP2	23	+	+	3.78	13.39	1.45E-19	224836_at	93.49 (87.8-96.9)
209612_s_at	ADH1B	25	+	+	4.67	13.1	4.70E-19	1078343-HuGene_st	93.44 (87.8-96.9)
209613_s_at	ADH1B	25	+	+	4.67	13.1	4.70E-19	1078343-HuGene_st	93.42 (87.7-96.9)
224412_s_at	TRPM6	26	+	+	7.5	13.24	2.25E-19	767074-HuGene_st	93.38 (87.7-96.9)
209301_at	CA2	23	+	+	9.22	13.05	5.87E-19	762141-HuGene_st	93.1 (87.3-96.7)
208399_s_at	EDN3	24	+	+	11.21	13.05	6.42E-19	314103-HuGene_st	92.91 (86.9-96.5)
215657_at	SLC26A3	24	+	+	21.4	12.15	4.18E-18	206143_at	92.79 (86.9-96.5)
206143_at	SLC26A3	24	+	+	21.4	12.15	4.18E-18	206143_at	92.79 (86.8-96.5)
228961_at	MIER3	28	+	+	3.91	12.72	9.14E-19	884917-HuGene_st	92.77 (86.9-96.5)
204719_at	ABCA8	25	+	+	6.82	12.86	1.26E-18	57305-HuGene_st	92.76 (86.8-96.5)
231975_s_at	MIER3	28	+	+	3.91	12.72	9.14E-19	884917-HuGene_st	92.76 (86.9-96.4)
218756_s_at	MGC4172	23	+	+	3.74	12.69	1.74E-18	339712-HuGene_st	92.68 (86.7-96.4)
