miRNA	Fold change	p-value	Significance
hsa-miR-20a	61.89	1.86E-06	significant
hsa-miR-24	11.44	8.81E-05	significant
hsa-miR-25	1.42E+01	7.07E-05	significant
hsa-miR-145	83.85	1.50E-03	significant
hsa-miR-152	3.16E+01	2.90E-02	significant
hsa-miR-199a-5p	15.64	9.00E-04	significant
hsa-miR-221	6.51E+01	1.90E-02	significant
hsa-miR-222	18.4	4.00E-04	significant
hsa-miR-223	25.71	4.80E-03	significant
hsa-miR-320	20.78	1.50E-07	significant
hsa-let-7b	1.48	4.60E-03	non-significant
hsa-miR-100	1.97	1.76E+00	non-significant
hsa-miR-101	1.82	7.60E-03	non-significant
hsa-miR-106a	1.89	1.70E-03	non-significant
hsa-miR-122	6.79	1.24E-01	non-significant
hsa-miR-125a-5p	2.2	7.47E-02	non-significant
hsa-miR-125b	1.23	4.06E-01	non-significant
hsa-miR-128a	2.81	7.47E-02	non-significant
hsa-miR-134	1.14	9.85E-02	non-significant
hsa-miR-142-3p	1.19	6.87E-01	non-significant
hsa-miR-144	0.78	1.22E-01	non-significant
hsa-miR-146a	0.89	8.41E-01	non-significant
hsa-miR-150	18.18	5.17E-02	non-significant
hsa-miR-16	1.02	9.44E-01	non-significant
hsa-miR-17	0.87	5.49E-01	non-significant
hsa-miR-181a	1.54	2.40E-03	non-significant
hsa-miR-181b	1.28	8.10E-03	non-significant
hsa-miR-182	0.55	4.20E-03	non-significant
hsa-miR-18a	1.11	5.13E-01	non-significant
hsa-miR-193a-5p	1.39	1.61E-01	non-significant
hsa-miR-197	1.21	1.00E+00	non-significant
hsa-miR-199a-3p	0.86	5.81E-01	non-significant
hsa-miR-19b	1.51	1.02E-01	non-significant
hsa-miR-205	1.38	6.00E-04	non-significant
hsa-miR-21	1.31	7.49E-02	non-significant
hsa-miR-210	0-Jan	1.66E-01	non-significant
hsa-miR-22	1.62	8.40E-03	non-significant
hsa-miR-23a	1.56	1.58E-01	non-significant
hsa-miR-23b	1.14	5.91E-01	non-significant
hsa-miR-27a	1.5	2.45E-02	non-significant
hsa-miR-27b	1.24	0.00E+00	non-significant
hsa-miR-29a	0.92	7.66E-01	non-significant
hsa-miR-29b	0.47	1.57E-01	non-significant
hsa-miR-30a	1.58	1.04E-01	non-significant
hsa-miR-30d	1.68	0.2817	non-significant
hsa-miR-335	2.96E+00	0.0726	non-significant
hsa-miR-339-5p	1.34	0.0124	non-significant
hsa-miR-340	2.39	0.08	non-significant
hsa-miR-342-3p	1.54	0.0364	non-significant
hsa-miR-375	1.88	0.0109	non-significant
hsa-miR-382	1.27	0.2695	non-significant
hsa-miR-423-3p	9.8	0.0873	non-significant
hsa-miR-423-5p	3.48	0.209	non-significant
hsa-miR-432	1.23	0.7775	non-significant
hsa-miR-433	1.44	0.0686	non-significant
hsa-miR-451	1.25	0.0633	non-significant
hsa-miR-584	1.72	0.1378	non-significant
hsa-miR-598	1.97	0.0179	non-significant
hsa-miR-7	1.67	0.092	non-significant
hsa-miR-744	1.37	0.0025	non-significant
hsa-miR-92a	1.43	0.0049	non-significant
hsa-miR-99a	1.5	0.0293	non-significant
hsa-miR-99b	1.54	0.0427	non-significant
hsa-let-7c			non-linear amplification
hsa-miR-15a			non-linear amplification
hsa-miR-183			non-linear amplification
hsa-miR-20b			non-linear amplification
hsa-miR-22			non-linear amplification
hsa-miR-330-3p			non-linear amplification
hsa-miR-495			non-linear amplification
hsa-miR-106b			undetectable (CT value > 35)
hsa-miR-128b			undetectable (CT value > 35)
hsa-miR-133a			undetectable (CT value > 35)
hsa-miR-139-3p			undetectable (CT value > 35)
hsa-miR-139-5p			undetectable (CT value > 35)
hsa-miR-148a			undetectable (CT value > 35)
hsa-miR-194			undetectable (CT value > 35)
hsa-miR-28-3p			undetectable (CT value > 35)
hsa-miR-323-3p			undetectable (CT value > 35)
hsa-miR-339-3p			undetectable (CT value > 35)
hsa-miR-361-5p			undetectable (CT value > 35)
hsa-miR-362-5p			undetectable (CT value > 35)
hsa-miR-424			undetectable (CT value > 35)
hsa-miR-454			undetectable (CT value > 35)
hsa-miR-486-3p			undetectable (CT value > 35)
hsa-miR-543			undetectable (CT value > 35)
hsa-miR-574-3p			undetectable (CT value > 35)
hsa-miR-576-5p			undetectable (CT value > 35)
hsa-miR-923			undetectable (CT value > 35)
hsa-miR-92b			undetectable (CT value > 35)
hsa-miR-96			undetectable (CT value > 35)
