Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Kcna1	potassium voltage-gated channel, shaker-related subfamily, member 1	A_51_P222882	Embryo:4.15176300507608	Embryo:0.000307134723231629	Adult:4.65247056211269	Adult:0.000129851327495492
Cck	cholecystokinin	A_51_P137322	Embryo:2.82377164781261	Embryo:0.00920499281237208	Adult:5.33527348322075	Adult:1.56643176920891e-05
Lmo1	LIM domain only 1	A_52_P331762	Embryo:3.56535470094968	Embryo:2.19016543737995e-06	Adult:3.93794741137075	Adult:9.10045057687976e-07
Slain1	SLAIN motif family, member 1	A_51_P147284	Embryo:4.41085168949321	Embryo:3.51027871130066e-06	Adult:2.90908164162195	Adult:0.00111771952217904
Serpini1	serine (or cysteine) peptidase inhibitor, clade I, member 1	A_52_P220573	Embryo:4.13635744126909	Embryo:5.45976306230014e-07	Adult:2.28657647429154	Adult:0.00185558407490379
Lrrn1	leucine rich repeat protein 1, neuronal	A_51_P412966	Embryo:2.84094623344346	Embryo:0.00306942051560279	Adult:3.25511076679362	Adult:0.00121779023684436
Nkx6-2	NK6 homeobox 2	A_51_P402617	Embryo:2.50989790071933	Embryo:0.0155018921668897	Adult:3.27702478537887	Adult:0.00246995168829045
Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	A_52_P87843	Embryo:2.68774594441791	Embryo:0.00512373158657318	Adult:2.75050436984683	Adult:0.00557974295744897
Sv2a	synaptic vesicle glycoprotein 2 a	A_52_P202142	Embryo:3.10095871756467	Embryo:0.000364763747995352	Adult:2.1010288720604	Adult:0.0152478448496456
Tiam2	T-cell lymphoma invasion and metastasis 2	A_51_P256066	Embryo:2.62899121405196	Embryo:4.62175109996469e-06	Adult:2.46523903409114	Adult:2.1752038345267e-05
Gm16499	predicted gene 16499	A_51_P465758	Embryo:1.75563952411154	Embryo:0.00999463419834559	Adult:3.3323762940566	Adult:1.70840850000712e-05
Trim36	tripartite motif-containing 36	A_52_P265965	Embryo:2.50921469496551	Embryo:0.00250907681999047	Adult:2.39864836908671	Adult:0.00495747378471118
Plxna3	plexin A3	A_52_P539632	Embryo:2.7864553726559	Embryo:0.00362577532837875	Adult:2.05142759201469	Adult:0.0359823709362914
Enkur	enkurin, TRPC channel interacting protein	A_51_P131164	Embryo:2.0121972192757	Embryo:0.00851968502691225	Adult:2.45812560530481	Adult:0.0021289426634092
Lrrc49	leucine rich repeat containing 49	A_52_P46437	Embryo:1.30514373450814	Embryo:1.47493741276612e-05	Adult:3.05911758689094	Adult:1.51006891043119e-11
Fzd3	frizzled homolog 3 (Drosophila)	A_52_P502351	Embryo:2.67549906329826	Embryo:0.000441748110739493	Adult:1.67551807043135	Adult:0.0274633593963738
Jph4	junctophilin 4	A_52_P373694	Embryo:3.03607917855858	Embryo:8.86460705007973e-07	Adult:1.23649197035251	Adult:0.0233810953831183
Snap25	synaptosomal-associated protein 25	A_51_P335555	Embryo:2.47604291367516	Embryo:1.28118852825697e-05	Adult:1.74347876818286	Adult:0.00138992359204136
Mllt11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	A_51_P379660	Embryo:3.13795020037359	Embryo:1.04156596116457e-08	Adult:1.071989664905	Adult:0.0129673472196127
