Accession	Gene function	Gene tag	Ratio A	Ratio B
AA191692	Stratifin	SFN	2.36 ± 0.25	3.86 ± 0.11a
H15456	Calpain 1, (mu/I) large subunit	CAPN1	8.17 ± 0.20	10.25 ± 0.24a
AA043501	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog	MAF	1.36 ± 0.08	4.85 ± 0.27a
AA495936	Microsomal glutathione S-transferase 1	MGST1	-2.14 ± 0.23	2.90 ± 0.16a
H23235	Platelet-derived growth factor receptor	PDGFRA	-0.15 ± 0.31	4.81 ± 0.14a
AA430032	Pituitary tumor-transforming 1	PTTG	4.91 ± 0.23	11.46 ± 0.18a
N94468	Jun B proto-oncogene	JUNB	1.27 ± 0.20	11.09 ± 0.14a
T61948	FBJ murine osteosarcoma viral oncogene B homolog	FOSB	1.37 ± 0.31	10.21 ± 0.20a
AA460168	Growth arrest and DNA damage inducible 34	GADD34	1.07 ± 0.15	4.15 ± 0.20a
L36870	MAP kinase kinase 4	MKK4	4.01 ± 0.23	6.93 ± 0.24a
AA426216	Malignant cell expression-enhanced gene	LENG4	7.03 ± 0.16	8.81 ± 0.23a
AA486219	SRp25 nuclear protein	LOC51329	2.09 ± 0.12	6.18 ± 0.23a
AA457705	Immediate early response 3	IER3	1.94 ± 0.25	9.17 ± 0.20a
AA485377	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	4.03 ± 0.27	7.21 ± 0.05a
AA463204	Pleiomorphic adenoma gene-like 1	PLAGL1	7.11 ± 0.24	-4.16 ± 0.06a
AA434373	E74-like factor 3 (epithelial-specific )	ELF3	1.09 ± 0.29	7.03 ± 0.15a
AI677994	Fms-associated tyrosine kinase 3 ligand	FLT3LG	1.94 ± 0.32	4.35 ± 0.02a
AA464600	v-myc avian myelocytomatosis viral oncogene homolog	MYC	3.27 ± 0.17	8.01 ± 0.13a
