Functional classification	UniGene	Gene name	Fold change in Microarray DU145	Fold change in Microarray PC-3
Signal transducer	Hs.446678	nuclear receptor coactivator 2	1.73	2.19
Signal transducer	Hs.438482	WD repeat domain 19 (WDR19)	2.59	2.14
Signal transducer	Hs.233160	stanniocalcin 2	1.64	2.11
Signal transducer	Hs.50716	signal-regulatory protein beta 2	0.66	0.64
Signal transducer	Hs.515018	guanine nucleotide binding protein (G protein), alpha 13	0.65	0.64
Signal transducer	Hs.469386	inositol polyphosphate-4-phosphatase, type I	0.63	0.65
Signal transducer	Hs.303719	protein kinase, cGMP-dependent, type II	0.62	0.64
Signal transducer	Hs.406156	dedicator of cytokinesis 7	0.66	0.58
Signal transducer	Hs.462457	A kinase (PRKA) anchor protein 10 (AKAP10), nuclear gene encoding mitochondrial protein	0.65	0.58
Signal transducer	Hs.43322	protein kinase, AMP-activated , alpha 1 catalytic subunit	0.59	0.49
Signal transducer	Hs.506852	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	0.43	0.65
Catalytic activity	Hs.448851	ubiquitin specific protease 6	0.64	0.65
Catalytic activity	Hs.309958	guanylate cyclase 2D, membrane (retina-specific)	0.58	0.63
Catalytic activity	Hs.499793	phosphatidylinositol glycan, class L	0.62	0.57
Catalytic activity	Hs.477	hydroxysteroid (17-beta) dehydrogenase 3	0.58	0.57
proliferation	Hs.34012	breast cancer 2, early onset	0.62	0.61
proliferation	Hs.385870	teratocarcinoma-derived growth factor 1	0.62	0.61
proliferation	Hs.37092	fibroblast growth factor 3	0.6	0.46
Angiogenesis	Hs.524138	brain-specific angiogenesis inhibitor 2	1.61	1.82
Angiogenesis	Hs.131704	neuropilin 1	0.48	0.51
Angiogenesis	Hs.468410	endothelial PAS domain protein 1	0.44	0.49
Protein Binding	Hs.518460	adaptor-related protein complex 2, mu 1 subunit	1.62	1.64
Protein Binding	Hs.28608	zinc finger, CCHC domain containing 3	0.58	0.6
Transporters	Hs.302738	solute carrier family 26 (sulfate transporter), member 2	0.63	0.57
Transporters	Hs.282151	calcium channel, voltage-dependent, alpha 2/delta subunit 1	0.56	0.5
Apoptosis	Hs.80409	growth arrest and DNA-damage-inducible, alpha	2.5	3.3
Neurogenesis	Hs.184945	gastrulation brain homeobox 2	1.52	1.87
