Gene name	Accession no.	Symbol	Ratio (mean ± SD, or range)	Function
    Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, HRX)	W16724	MLL	3.0 ± 1.3	Transcription factors/nuclear proteins
    Transcription factor ERF-1 (zinc finger protein)1	AA399334	ZFP36L1	2.1 ± 0.1	Transcription factors/nuclear proteins
    Nuclease sensitive element binding protein 1 (DbpB-like protein)	AA599175	NSEP1	2.0 ± 0.3	Transcription factors/nuclear proteins
    NGFI-A binding protein 2 (MADER)	AA434487	NAB2	1.9 ± 0.1	Transcription factors/nuclear proteins
    Ini1 (integrase interactor 1, SNF5)	AA446292	SMARCB1	1.7 ± 0.1	Transcription factors/nuclear proteins
    SWI/SNF complex 60-kDa subunit (BAF60b)	AA478436	SMARCD2	1.7 ± 0.1	Transcription factors/nuclear proteins
    High mobility group protein isoforms I and Y	AA448261	HMGIY	1.7 ± 0.2	Transcription factors/nuclear proteins
    UDP glucuronosyltransferase 2B15 precursor1	T50788	UGT2B15	3.2 ± 0.7	Stress response: oxidative stress/xenobiotic response/detoxification
    Metallothionein-1e gene1	AA872383	MT1E	2.3 ± 0.3	Stress response: oxidative stress/xenobiotic response/detoxification
    Heme oxygenase (decycling) 11	T71757	HMOX1	2.2 ± 0.3	Stress response: oxidative stress/xenobiotic response/detoxification
    Metallothionein-1f gene1	N55459	MT1F	2.1 ± 0.2	Stress response: oxidative stress/xenobiotic response/detoxification
    Intestinal trefoil factor precursor (secretory protein of gastrointest. mucosa)12	N74131	TFF3	1.9 ± 0.3	Stress response: oxidative stress/xenobiotic response/detoxification
    -Glutamycysteine synthetase, regulatory (30.8 kDa) [GLCLR]2	W96268	GCLM	1.8 ± 0.2	Stress response: oxidative stress/xenobiotic response/detoxification
    UDP-glucuronosyltransferase 2B4 precursor, microsomal1	N22913	UGT2B4	1.6 ± 0.1	Stress response: oxidative stress/xenobiotic response/detoxification
         Peptidyl-prolyl cis-trans isomerase, mitochondrial precursor	H05580	CYP2	2.2 ± 0.1	        Mitochondrial structure/function
         Nuclear-encoded mitochondrial cytochrome c oxidase Va subunit	AA491224	COX5A	2.0 ± 0.3	        Mitochondrial structure/function
    INS-1 winged-helix homolog (MPP2)	AA129552	INSWH	2.0 ± 0.4	Cell cycle and DNA replication/repair/metabolism
    Cyclin-dependent protein kinase	AA486312	PLSTIRE	1.9 ± 0.2	Cell cycle and DNA replication/repair/metabolism
