P_SET	TITLE	SYMBLE	UPFOLD
200629_at	tryptophanyl-tRNA synthetase	WARS	2.06
200646_s_at	nucleobindin 1	NUCB1	2.04
200696_s_at	gelsolin (amyloidosis, Finnish type)	GSN	3.95
200878_at	Homo sapiens clone 23698 mRNA sequence		2.07
200879_s_at	endothelial PAS domain protein 1	EPAS1	2.95
200974_at	smooth muscle, aorta	ACTA2	2.99
201008_s_at	thioredoxin interacting protein	TXNIP	2.19
201050_at	phospholipase D3	PLD3	2.04
201058_s_at	myosin, light polypeptide 9, regulatory	MYL9	4.21
201060_x_at	stomatin	STOM	2.64
201061_s_at	stomatin	STOM	2.84
201062_at	stomatin	STOM	2.35
201069_at	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	MMP2	4.43
201117_s_at	carboxypeptidase E	CPE	3.68
201125_s_at	integrin, beta 5	ITGB5	2.08
201430_s_at	dihydropyrimidinase-like 3	DPYSL3	4.02
201431_s_at	dihydropyrimidinase-like 3	DPYSL3	10.8
201438_at	collagen, type VI, alpha 3	COL6A3	7.65
201506_at	transforming growth factor, beta-induced, 68kDa	TGFBI	2.27
201508_at	insulin-like growth factor binding protein 4	IGFBP4	4.45
201596_x_at	keratin 18	KRT18	3.54
201615_x_at	caldesmon 1	CALD1	2.3
201617_x_at	caldesmon 1	CALD1	2.1
201668_x_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	3.24
201744_s_at	lumican	LUM	70.74
201852_x_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	2.22
201860_s_at	plasminogen activator, tissue	PLAT	2.73
201888_s_at	interleukin 13 receptor, alpha 1	IL13RA1	2.02
201893_x_at	decorin	DCN	2.89
201925_s_at	decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	2.19
201926_s_at	decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	2.78
202007_at	nidogen (enactin)	NID	2.08
202254_at	signal-induced proliferation-associated 1 like 1	KIAA0440	2.07
202255_s_at	signal-induced proliferation-associated 1 like 1	KIAA0440	2.07
202291_s_at	matrix Gla protein	MGP	8.04
202310_s_at	collagen, type I, alpha 1	COL1A1	2.09
202350_s_at	matrilin 2	MATN2	2.03
202363_at	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	SPOCK	2.48
202440_s_at	suppression of tumorigenicity 5	ST5	2.61
202478_at	GS3955 protein	GS3955	2.64
202479_s_at	GS3955 protein	GS3955	3.38
202599_s_at	nuclear receptor interacting protein 1	NRIP1	2.31
202719_s_at	testis derived transcript (3 LIM domains)	TES	2.14
202720_at	testis derived transcript (3 LIM domains)	TES	2.33
202724_s_at	forkhead box O1A (rhabdomyosarcoma)	FOXO1A	2.11
202746_at	integral membrane protein 2A	ITM2A	2.84
202948_at	interleukin 1 receptor, type I	IL1R1	2.32
202949_s_at	four and a half LIM domains 2	FHL2	2.46
203085_s_at	transforming growth factor, beta 1 (Camurati-Engelmann disease)	TGFB1	2.41
203167_at	tissue inhibitor of metalloproteinase 2	TIMP2	2.25
203232_s_at	spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)	SCA1	2.78
203325_s_at	collagen, type V, alpha 1	COL5A1	2.73
203372_s_at	suppressor of cytokine signaling 2	SOCS2	2.14
203474_at	IQ motif containing GTPase activating protein 2	IQGAP2	2.88
203476_at	trophoblast glycoprotein	TPBG	2.02
203477_at	collagen, type XV, alpha 1	COL15A1	4.83
203485_at	reticulon 1	RTN1	2.12
203504_s_at	ATP-binding cassette, sub-family A (ABC1), member 1	ABCA1	3.71
203505_at	ATP-binding cassette, sub-family A (ABC1), member 1	ABCA1	2.16
203700_s_at	deiodinase, iodothyronine, type II	DIO2	2.33
203851_at	insulin-like growth factor binding protein 6	IGFBP6	2.99
203854_at	I factor (complement)	IF	2.56
203963_at	carbonic anhydrase XII	CA12	3.94
203989_x_at	coagulation factor II (thrombin) receptor	F2R	2.24
204040_at	ring finger protein 144	RNF144	2.26
204058_at	malic enzyme 1, NADP(+)-dependent, cytosolic	ME1	2.26
204059_s_at	malic enzyme 1, NADP(+)-dependent, cytosolic	ME1	2.26
204072_s_at	hypothetical protein CG003	13CDNA73	2.7
204114_at	nidogen 2 (osteonidogen)	NID2	4.46
204201_s_at	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	PTPN13	2.06
204235_s_at	CED-6 protein	CED-6	2.29
204237_at	CED-6 protein	CED-6	3.05
204451_at	frizzled homolog 1 (Drosophila)	FZD1	2.44
204452_s_at	frizzled homolog 1 (Drosophila)	FZD1	2.2
204508_s_at	hypothetical protein FLJ20151	FLJ20151	3.52
204619_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	3.13
204620_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	4.15
204627_s_at	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	ITGB3	5.24
204628_s_at	beta 3 (platelet glycoprotein IIIa, antigen CD61)	ITGB3	2.07
204646_at	dihydropyrimidine dehydrogenase	DPYD	2.2
204686_at	insulin receptor substrate 1	IRS1	2.45
204749_at	nucleosome assembly protein 1-like 3	NAP1L3	3.37
204779_s_at	homeo box B7	HOXB7	2.58
204955_at	sushi-repeat-containing protein, X chromosome	SRPX	2.89
205027_s_at	mitogen-activated protein kinase kinase kinase 8	MAP3K8	2.04
205105_at	mannosidase, alpha, class 2A, member 1	MAN2A1	2.07
205158_at	ribonuclease, RNase A family, 4	RNASE4	2.54
205206_at	Kallmann syndrome 1 sequence	KAL1	2.51
205258_at	inhibin, beta B (activin AB beta polypeptide)	INHBB	2.59
205268_s_at	adducin 2 (beta)	ADD2	2.48
205366_s_at	homeo box B6	HOXB6	2.93
205372_at	pleiomorphic adenoma gene 1	PLAG1	2.1
205498_at	growth hormone receptor	GHR	4.32
205539_at	advillin	AVIL	2.63
205542_at	six transmembrane epithelial antigen of the prostate	STEAP	2.98
205547_s_at	transgelin	TAGLN	3.77
205601_s_at	homeo box B5	HOXB5	2.09
205679_x_at	aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)	AGC1	2.51
205943_at	tryptophan 2,3-dioxygenase	TDO2	2.36
205991_s_at	paired mesoderm homeo box 1	PMX1	2.5
206007_at	proteoglycan 4, (megakaryocyte stimulating factor, articular superficial zone protein, camptodactyly, arthropathy, coxa vara, pericarditis syndrome)	PRG4y	2.32
206067_s_at	Wilms tumor 1	WT1	3.19
206157_at	pentaxin-related gene, rapidly induced by IL-1 beta	PTX3	13.87
206209_s_at	carbonic anhydrase IV	CA4	2.3
206421_s_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7	SERPINB7	2.2
206472_s_at	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	TLE3	2
206785_s_at	killer cell lectin-like receptor subfamily C, member 2	KLRC2	2.54
206825_at	oxytocin receptor	OXTR	4.18
207014_at	gamma-aminobutyric acid (GABA) A receptor, alpha 2	GABRA2	2.57
207781_s_at	zinc finger protein 6 (CMPX1)	ZNF6	4.77
207808_s_at	protein S (alpha)	PROS1	2.41
208490_x_at	histone 1, H2bf	HIST1H2BF	2
208650_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	2.77
208651_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	2.14
208747_s_at	complement component 1, s subcomponent	C1S	2.29
209030_s_at	immunoglobulin superfamily, member 4	IGSF4	2.71
209031_at	immunoglobulin superfamily, member 4	IGSF4	6.19
209098_s_at	jagged 1 (Alagille syndrome)	JAG1	2.16
209099_x_at	jagged 1 (Alagille syndrome)	JAG1	2.7
209230_s_at	p8 protein (candidate of metastasis 1)	P8	3.43
209395_at	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	3.27
209396_s_at	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	3.18
209409_at	growth factor receptor-bound protein 10	GRB10	2.41
209427_at	smoothelin	SMTN	2.08
209582_s_at	antigen identified by monoclonal antibody MRC OX-2	MOX2	2.01
209583_s_at	antigen identified by monoclonal antibody MRC OX-2	MOX2	2.51
209602_s_at	GATA binding protein 3	GATA3	4.31
209604_s_at	GATA binding protein 3	GATA3	3.18
209682_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	CBLB	2.07
209719_x_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	SERPINB3	6.46
209720_s_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	SERPINB3	9.15
209732_at	lectin, superfamily member 2 (activation-induced)	CLECSF2	2.06
209771_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	2.36
209822_s_at	very low density lipoprotein receptor	VLDLR	2.07
209955_s_at	fibroblast activation protein, alpha	FAP	2.3
209990_s_at	G protein-coupled receptor 51	GPR51	8.95
209991_x_at	G protein-coupled receptor 51	GPR51	3.5
210139_s_at	peripheral myelin protein 22	PMP22	2.42
210198_s_at	proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	PLP1	5.34
210413_x_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	SERPINB4	6.79
210495_x_at	fibronectin 1	FN1	3.84
210735_s_at	carbonic anhydrase XII	CA12	4.25
210809_s_at	osteoblast specific factor 2 (fasciclin I-like)	OSF-2	4.81
211161_s_at	---, 211161_s_at, ---	---, 211161_s_at, ---	2.41
211571_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	3.52
211679_x_at	G protein-coupled receptor 51	GPR51	3.82
211719_x_at	fibronectin 1	FN1	3.95
211813_x_at	decorin	DCN	2.11
211896_s_at	decorin	DCN	3.15
211906_s_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin)	SERPINB4	11.74
211958_at	insulin-like growth factor binding protein 5	IGFBP5	6.9
211959_at	insulin-like growth factor binding protein 5	IGFBP5	31.03
