Probe ID	Symbol	Description	Fold change	q-value (%)
206632_s_at	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	1.8724	2.377
202672_s_at	ATF3	activating transcription factor 3	2.3955	0
218182_s_at	CLDN1	claudin 1	1.7531	4.5221
204470_at	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	1.7242	4.5221
210764_s_at	CYR61	cysteine-rich, angiogenic inducer, 61	1.722	2.377
204135_at	DOC1	downregulated in ovarian cancer 1	2.2444	0
203498_at	DSCR1L1	down syndrome critical region gene 1-like 1	1.9364	0
201694_s_at	EGR1	early growth response 1	1.446	0
201313_at	ENO2	enolase 2 (gamma, neuronal)	1.5517	0
200878_at	EPAS1	endothelial PAS domain protein 1	1.3329	4.5221
203349_s_at	ETV5	ets variant gene 5 (ets-related molecule)	1.3894	4.5221
205014_at	FGFBP1	fibroblast growth factor binding protein 1	2.5373	0
211719_x_at	FN1	fibronectin 1	2.3993	2.377
212464_s_at	FN1	fibronectin 1	2.2809	2.377
216442_x_at	FN1	fibronectin 1	2.2851	2.377
201631_s_at	IER3	immediate early response 3	1.857	0
202421_at	IGSF3	immunoglobulin superfamily, member 3	1.2985	4.5221
202859_x_at	IL8	interleukin 8	3.9342	0
218963_s_at	KRT23	keratin 23 (histone deacetylase inducible)	1.9927	0
202068_s_at	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	1.5159	0
220158_at	LGALS14	lectin, galactoside-binding, soluble, 14	1.6646	0
215446_s_at	LOX	lysyl oxidase	1.4016	2.377
212233_at	MAP1B	microtubule-associated protein 1B	1.9061	0
207847_s_at	MUC1	mucin 1, transmembrane	1.7853	0
211695_x_at	MUC1	mucin 1, transmembrane	2.0686	4.5221
211017_s_at	NF2	neurofibromin 2 (bilateral acoustic neuroma)	1.4298	0
219369_s_at	OTUB2	OUT domain, ubiquitin aldehyde binding 2	1.511	4.5221
211668_s_at	PLAU	plasminogen activator, urokinase	1.8944	2.377
204286_s_at	PMAIP1	phorbol-12-myristate-13-acetate-inducible protein 1	1.4263	0
210138_at	RGS20	regulator of G-protein signaling 20	1.5114	2.377
200831_s_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	1.4012	0
200832_s_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	1.375	2.377
206884_s_at	SCEL	sciellin	1.823	0
33323_r_at	SFN	stratifin	1.8976	2.377
206675_s_at	SKIL	SKI-like	1.3488	2.377
202856_s_at	SLC16A3	solute carrier family 16 (monocarboxylic acid transporter) member 3	1.6286	2.377
201195_s_at	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system) member 5	1.6561	0
201109_s_at	THBS1	thrombospondin 1	1.9995	0
201110_s_at	THBS1	thrombospondin 1	2.085	0
219058_x_at	TINAGL1	tubulointerstitial nephritis antigen-like 1	1.4088	2.377
217875_s_at	TMEPAI	transmembrane, prostate androgen induced RNA	1.9765	0
201645_at	TNC	tenascin C (hexabrachion)	1.5708	0
202643_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1.8922	0
202644_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1.6207	0
212242_at	TUBA1	tubulin, alpha 1 (testis specific)	1.9468	0
