Probe Set	Accession	Gene Symbol	FC:(Tduc/ normal ductal)	pfp	Increase	Decrease
209351_at	BC002690	KRT14	-30,9598	0	0	5
205157_s_at	NM_000422	KRT17	-21,3675	0	0	5
206378_at	NM_002411	SCGB2A2	-18,9753	0	1	4
204455_at	NM_001723	DST	-14,8148	0	1	4
212236_x_at	Z19574	KRT17	-14,4092	0	0	5
204734_at	NM_002275	KRT15	-13,1926	0	0	5
209016_s_at	BC002700	KRT7	-12,8041	0	0	5
201820_at	NM_000424	KRT5	-12,7065	0	0	4
205363_at	NM_003986	BBOX1	-12,6582	0	0	4
211737_x_at	BC005916	PTN	-12,5	0	0	5
229201_at	AW044658	---	-12,4844	0	0	5
206548_at	NM_024880	FLJ23556	-11,1732	0	0	5
224027_at	AF110384	CCL28	-11,0742	0	0	5
219857_at	NM_024889	C10orf81	-10,8932	0	1	4
1553602_at	NM_058173	LOC118430	-10,4167	0	0	4
212730_at	AK026420	DMN	-10,395	0	0	5
214087_s_at	BF593509	MYBPC1	-9,99001	0	0	5
226147_s_at	AA838075	PIGR	-9,95025	0	0	4
203296_s_at	NM_000702	ATP1A2	-9,56023	0	0	4
209395_at	M80927	CHI3L1	-9,49668	0	0	4
202037_s_at	NM_003012	SFRP1	-8,77193	0	0	4
205044_at	NM_014211	GABRP	-8,67303	0	0	4
206157_at	NM_002852	PTX3	-8,52515	0	0	4
202036_s_at	AF017987	SFRP1	-8,39631	0	1	4
823_at	U84487	CX3CL1	-8,34028	0	0	5
209466_x_at	M57399	PTN	-8,29187	0,0003	0	5
206799_at	NM_006551	SCGB1D2	-7,8064	0	1	4
214451_at	NM_003221	TFAP2B	-7,73395	0	0	4
202672_s_at	NM_001674	ATF3	-7,68049	0	0	5
209278_s_at	L27624	TFPI2	-7,68049	0,0006	0	5
208004_at	NM_021225	PROL1	-7,59301	0,0006	0	5
229947_at	AI088609	PI15	-7,47943	0,0008	0	5
202935_s_at	AI382146	SOX9	-7,38552	0,0007	0	4
218963_s_at	NM_015515	KRT23	-7,37463	0,0009	0	5
204259_at	NM_002423	MMP7	-7,24638	0,0007	0	5
209291_at	AW157094	ID4	-7,08215	0,0006	0	4
221872_at	AI669229	RARRES1	-6,76133	0,0009	0	4
227702_at	AA557324	CYP4X1	-6,71592	0,0005	1	4
203951_at	NM_001299	CNN1	-6,58762	0,0013	0	5
235467_s_at	BF969982	KCNC4	-6,50618	0,0023	0	5
203400_s_at	NM_001063	TF	-6,43501	0,0033	0	4
226755_at	AI375939	---	-6,32911	0,0021	0	4
222862_s_at	BG169832	AK5	-6,30517	0,0009	0	4
