Gene symbol	Fold increase, resistant vs sensitive	Resistant, mean signal	Sensitive, mean signal	Probe set	Description
ALDH1A1	33.2	1806.3	54.4	212224_at	aldehyde dehydrogenase 1 family, member A1
UCHL1	13.9	7434.9	535.9	201387_s_at	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
AF1Q	11.1	2018	181.2	211071_s_at	ALL1-fused gene from chromosome 1q
MAP1B	9.3	906.7	97.4	226084_at	microtubule-associated protein 1B
TCF8	8.6	263.6	30.8	212764_at	transcription factor 8 (represses interleukin 2 expression)
AI857788	8.4	154.7	18.4	227126_at	Transcribed locus
QPCT	8.1	275.9	34.1	205174_s_at	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
MAP1B	7.7	1098.7	143.6	212233_at	Microtubule-associated protein 1B
RIS1	7.3	869	118.5	213338_at	Ras-induced senescence 1
SELM	6.6	587.8	88.5	226051_at	selenoprotein M
KCTD15	6.1	437.4	71.3	222668_at	potassium channel tetramerisation domain containing 15
LIX1L	5.7	980.9	171.1	225793_at	Lix1 homolog (mouse) like
DLX1	5.7	248.5	43.8	242138_at	distal-less homeo box 1
PTPRG	5.3	216.3	40.8	204944_at	protein tyrosine phosphatase, receptor type, G
SACS	5.1	157.3	30.8	213262_at	spastic ataxia of Charlevoix-Saguenay (sacsin)
ID3	4.9	1517.3	309	207826_s_at	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
OLFM1	4.5	171.8	37.8	213131_at	olfactomedin 1
LIX1L	4.5	360.3	80	235036_at	Lix1 homolog (mouse) like
KCTD15	4.4	684.6	154.9	222664_at	potassium channel tetramerisation domain containing 15
DZIP1	4.3	60.5	14.2	204557_s_at	DAZ interacting protein 1
JAM3	4.1	104.3	25.2	231721_at	junctional adhesion molecule 3
MGC45871	4.1	247.7	61.1	226905_at	hypothetical protein MGC45871
FLJ10847	4	254.9	64.2	219525_at	hypothetical protein FLJ10847
C16orf45	3.9	308.2	80	212736_at	chromosome 16 open reading frame 45
KIAA1754	3.8	470	125.2	225582_at	KIAA1754
JAM3	3.5	404.1	116.5	212813_at	junctional adhesion molecule 3
CDH2	3.3	857.8	258.8	203440_at	cadherin 2, type 1, N-cadherin (neuronal)
JAM3	3.1	104.5	33.6	231720_s_at	junctional adhesion molecule 3
TUB	3.1	162.1	52.3	228882_at	tubby homolog (mouse)
CDH2	3.1	505	165.1	203441_s_at	cadherin 2, type 1, N-cadherin (neuronal)
CEBPG	3	611	201.8	204203_at	CCAAT/enhancer binding protein (C/EBP), gamma
RFK	2.9	759.8	262.3	203225_s_at	riboflavin kinase
PARVB	2.9	285.1	98.9	37965_at	parvin, beta
SLC39A14	2.9	1162	404.6	212110_at	solute carrier family 39 (zinc transporter), member 14
USP36	2.8	125.7	44.2	220370_s_at	ubiquitin specific protease 36
GAS5	2.8	610.4	214.7	228238_at	growth arrest-specific 5
C10orf32	2.8	335.8	118.4	225334_at	chromosome 10 open reading frame 32
MAP1B	2.8	176	63.4	214577_at	microtubule-associated protein 1B
KLHL15	2.7	136.8	51	226370_at	kelch-like 15 (Drosophila)
FAM55C	2.7	78.3	29.3	235030_at	family with sequence similarity 55, member C
CTPS	2.6	1145.4	432.5	202613_at	CTP synthase
PPIF	2.6	1809.9	700.5	201490_s_at	peptidylprolyl isomerase F (cyclophilin F)
IKIP	2.6	65.7	25.5	235202_x_at	IKK interacting protein
TBL1X	2.6	194.2	75.5	201868_s_at	transducin (beta)-like 1X-linked
PPP2R1B	2.5	144.1	57.2	222351_at	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
MGC45871	2.5	413.2	164.9	226876_at	hypothetical protein MGC45871
TRAF5	2.5	196.8	78.8	204352_at	TNF receptor-associated factor 5
