Probe Set	Accession	Gene Symbol	FC:(D vs L)	pfp	Increase	Decrease
214130_s_at	AI821791	PDE4DIP	"3,234,153"	"0,005"	6	1
229431_at	AI742868	RFXAP	"307,787"	"0,0044"	6	1
229732_at	AI417785	HSZFP36	"3,027,551"	"0,0067"	6	0
220419_s_at	NM_013396	USP25	"2,857,959"	"0,0145"	6	1
206157_at	NM_002852	PTX3	"2,828,054"	"0,01"	7	2
201735_s_at	NM_001829	CLCN3	"2,826,456"	"0,0073"	6	2
220177_s_at	NM_024022	TMPRSS3	"2,806,624"	"0,0045"	6	1
218514_at	NM_018149	FLJ10587	"2,759,382"	"0,0144"	7	1
211081_s_at	Z25426	MAP4K5	"2,720,348"	"0,016"	7	1
218431_at	NM_022067	C14orf133	"2,688,895"	"0,0194"	7	0
235352_at	AI270356	---	"2,665,245"	"0,0145"	6	0
1552622_s_at	BQ613856	POLR2J2	"2,659,574"	"0,0046"	6	0
210942_s_at	AB022918	ST3GAL6	"2,621,232"	"0,0169"	6	0
219857_at	NM_024889	C10orf81	"2,615,747"	"0,0152"	6	0
218824_at	NM_018215	FLJ10781	"2,546,473"	"0,0207"	6	2
216733_s_at	X86401	GATM	"251,004"	"0,0211"	6	0
219543_at	NM_022129	MAWBP	"2,436,054"	"0,0412"	6	1
208092_s_at	NM_030797	FAM49A	"2,416,626"	"0,0248"	6	1
226416_at	AL137679	THEX1	"2,413,127"	"0,0415"	7	0
203397_s_at	BF063271	GALNT3	"2,411,382"	"0,0154"	6	1
224027_at	AF110384	CCL28	"2,380,952"	"0,0143"	7	0
244872_at	BE514107	SYNC1	"2,359,604"	"0,0429"	6	1
226231_at	AI189509	PAWR	"2,355,713"	"0,0349"	7	0
225338_at	AI767447	ZYG11B	"2,352,941"	"0,0226"	6	0
1563498_s_at	AK090434	LOC283130	"2,334,267"	"0,0356"	6	0
213858_at	BE350026	ZNF250	"2,333,178"	"0,0425"	6	0
219397_at	NM_025147	FLJ13448	"2,311,604"	"0,0479"	6	1
243729_at	AI457984	---	"2,276,867"	"0,0383"	6	0
231984_at	BE958291	MTAP	"22,553"	"0,0706"	6	2
214739_at	AI357539	LRCH3	"2,244,669"	"0,0559"	6	0
235142_at	AW006067	ZBTB8	"2,225,189"	"0,0152"	7	1
214129_at	AI821791	PDE4DIP	"2,222,222"	"0,0438"	6	0
1558922_at	CA776505	TIA1	"2,212,389"	"0,043"	6	1
222163_s_at	BE890973	SPATA5L1	"2,164,502"	"0,0346"	7	2
215136_s_at	AL050353	EXOSC8	"2,138,123"	"0,071"	7	0
218685_s_at	NM_014311	SMUG1	"2,133,561"	"0,0648"	6	0
1557270_at	AA632049	---	"2,131,742"	"0,0597"	6	2
234295_at	AK000116	DBR1	"2,115,059"	"0,0832"	6	0
225288_at	AI949136	COL27A1	"2,110,595"	"0,0437"	7	0
202768_at	NM_006732	FOSB	"2,103,934"	"0,033"	6	0
203790_s_at	N54448	HRSP12	"2,093,364"	"0,0654"	6	0
202250_s_at	NM_015726	WDR42A	"2,091,175"	"0,092"	6	0
228111_s_at	AI004779	DNAH1	"2,086,811"	"0,0597"	6	1
232165_at	AL137725	EPPK1	"2,086,376"	"0,0485"	7	0
218486_at	AA149594	KLF11	"2,083,767"	"0,0482"	6	1
202672_s_at	NM_001674	ATF3	"2,081,165"	"0,0443"	6	0
215794_x_at	AC006144	GLUD2	"2,079,434"	"0,0581"	6	0
36711_at	AL021977	MAFF	"2,076,412"	"0,0267"	7	1
1568807_a_at	AI301081	NDFIP2	"2,075,981"	"0,023"	6	1
226924_at	AI016355	LOC400657	"2,062,706"	"0,0728"	6	0
226426_at	BG149849	ADNP	"2,057,613"	"0,0564"	6	0
213680_at	AI831452	KRT6B	"204,876"	"0,0217"	8	0
229119_s_at	BG108034	TTC19	"204,876"	"0,0703"	6	1
230098_at	AW612407	PHF20L1	"2,024,291"	"0,0629"	6	2
213243_at	AI052003	VPS13B	"2,023,472"	"0,0626"	6	1
242268_at	BE157991	CUGBP2	"2,020,202"	"0,0281"	6	2
222196_at	AK000470	LOC286434	"2,018,978"	"0,0567"	6	0
1552625_a_at	AB063105	TRNT1	"2,015,723"	"0,0865"	6	1
