Gene name	Genesymbol	Foldchange	Upregulated in other studies	Gene Description
Homeobox A9	HOXA9	107.88	i	Development
Calcium channel, voltage-dependent, beta 2 subunit	CACNB2	45.65		Development
Tyrosine kinase with immunoglobulin and epidermal growth factor homology domains	TIE	41.32	i, r	Development
Hepatic leukemia factor	HLF	38.43	g	Development
Natriuretic peptide receptor C/guanylate cyclase C	NPR3	33.71	g	Development
Calmegin	CLGN	32.56		Development
Dihydropyrimidinase-like 3	DPYSL3	19.11		Development
Ecotropic viral integration site 1	EVI1	18.95	g, i	Development
Midkine (neurite growth-promoting factor 2)	MDK	13.4		Development
Angiopoietin 1	ANGPT1	13.2	i	Development
Chromosome 11 open reading frame 8	C11orf8	11.41		Development
Homeobox A10	HOXA10	11.23	r	Development
Suppressor of cytokine signaling 2	SOCS2	10.94	g, i, r	Development
Homeobox A5	HOXA5	9.07	i, r	Development
High-mobility group AT-hook 2	HMGA2	8.92	i	Development
Necdin homologue (mouse)	NDN	7.12	i. r	Development
Aldehyde dehydrogenase 1 family, member A1	ALDH1A1	6.73		Development
Keratin 18	KRT18	6.53	r	Development
PHD finger protein 16	PHF16	6.2		Development
Chromosome 14 open reading frame 18	CCNB1IP1	6.01		Development
Serine (or cysteine) proteinase inhibitor, clade E	SERPINE2	5.88		Development
Myosin light chain 1 slow a	MLC1SA	5.16		Development
Nudix (nucleoside diphosphate linked moiety X)-type motif 11	NUDT11	25.33		Cell growth maintenance
Microtubule-associated protein 7	MAP7	24.57	i. r	Cell growth maintenance
v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN	23.94	i	Cell growth maintenance
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homologue	KIT	21.11	i	Cell growth maintenance
SH3-domain binding protein 4	SH3BP4	13.57		Cell growth maintenance
v-myb myeloblastosis viral oncogene homologue (avian)	MYB	11.81	i	Cell growth maintenance
Four and a half LIM domains 1	FHL1	10.47	i, r	Cell growth maintenance
Synaptic vesicle glycoprotein 2A	SV2A	10.29		Cell growth maintenance
Phospholipid scramblase 4	PLSCR4	9.11		Cell growth maintenance
Nucleosome assembly protein 1-like 3	NAP1L3	8.95		Cell growth maintenance
GATA binding protein 2	GATA2	8.25	i, r	Cell growth maintenance
Myosin, heavy polypeptide 10, nonmuscle	MYH10	5.68		Cell growth maintenance
ATPase, Class II, type 9A	ATP9A	5.61		Cell growth maintenance
Myeloid/lymphoid or mixed-lineage leukemia	MLLT3	5.13	g, i	Cell growth maintenance
aldo-keto reductase family 1, member C3	AKR1C3	22.82		Cell proliferation
v-ets erythroblastosis virus E26 oncogene like (avian)	ERG	19.19		Cell proliferation
Interleukin 12 receptor, beta 2	IL12RB2	15.59		Cell proliferation
Myeloproliferative leukemia virus oncogene	MPL	15.52	g, i	Cell proliferation
