Probe set	Genes	Signal log ratio
201859_at	Proteoglycan 1, secretory granule (PRG1)	-9.7
208794_s_at	SWI/SNF related, transcriptional activator member 4 (SMARCA4)	-8.1
201650_at	Keratin 19 (KRT19)	-7.9
202411_at	IFN,  alpha-inducible protein 27 (IFI27)	-7.6
200665_s_at	Osteonectin (ON)	-7.2
202269_x_at	IFN-inducible guanylate-binding protein 1 (GBP-1)	-7.2
203571_s_at	Adipose-specific 2 (APM2)	-7.1
208965_s_at	IFN  upsilon-inducible protein 16 (IFI16)	-7
201288_at	Rho GDP dissociation inhibitor (GDI) beta (GDI2)	-6.8
211959_at	Insulin-like growth factor-binding protein 5 (IGFBP5)	-6.6
209160_at	3-alpha hydroxysteroid dehydrogenase, type II	-6.4
202286_s_at	Gastrointestinal tumor-associated antigen GA733-1 protein gene	-6.4
205547_s_at	Transgelin (TAGLN)	-6.2
201150_s_at	Tissue inhibitor of metalloproteinase 3 (TIMP3)	-6.1
201058_s_at	Myosin regulatory light chain 2 (MYRL2)	-6
201508_at	Insulin-like growth factor-binding protein 4 (IGFBP4)	-5.8
204015_s_at	Dual specificity phosphatase 4 (DUSP4)	-5.8
201641_at	Bone marrow stromal cell antigen 2 (BST2)	-5.6
203779_s_at	Epithelial V-like antigen 1 (EVA1)	-5.5
213010_at	Murine leukemia viral oncogene homologue 1	-5.5
206157_at	Pentaxin-related gene, rapidly induced by IL-1 beta (PTX3)	-5.4
214031_s_at	Keratin 7	-5.4
221730_at	Collagen, type V, alpha 2 (COL5A2)	-5.4
212464_s_at	Fibronectin 1	-5.4
221024_s_at	Solute carrier family 2 (facilitated glucose transporter), member 10 (SLC2A10)	-5.4
203501_at	Plasma glutamate carboxypeptidase (PGCP)	-5.3
204222_s_at	Glioma pathogenesis-related protein (RTVP1)	-5.3
204929_s_at	Vesicle-associated membrane protein 5 (myobrevin) (VAMP5)	-5.2
207419_s_at	Small GTP-binding protein Rac2 (RAC2)	-5.2
204112_s_at	Histamine N-methyltransferase (HNMT)	-5.2
