Gene symbol	Gene description	Probe set	Fold change
FOSL	FOS-like antigen 2	228188_at	3.89
TMF1	TATA element modulatory factor 1	213024_at	2.08
TCERG1	Transcription elongation regulator 1 (CA150)	229706_at	2.28
PF6	Hypothetical protein FLJ34497	1557593_at	5.45
HELZ	Helicase with zinc finger domain	240486_at	2.14
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5	233007_at	2.01
FGF18	Fibroblast growth factor 18	231382_at	2.92
CYP2E1	Cytochrome P450, family 2, subfamily E, polypeptide 1	209975_at	7.57
NCOA7	Nuclear receptor coactivator 7	225344_at	3.68
F2RL1	Coagulation factor II (thrombin) receptor-like 1	213506_at	2.42
RTN4	Reticulon 4	1556049_at	2.28
TM4SF1	Transmembrane 4 superfamily member 1	238168_at	5.07
AKR1C1	Aldo-keto reductase family 1, member C1	1555854_at	5.82
PRSS3	Protease, serine, 2 (trypsin 2)	205869_at	2.73
EST		1564257_at	3.28
EST		1561989_at	2.69
