Gene ID	Gene symbol	Gene name	MSI vs MSS
NM_025113	C13orf18	Chromosome 13 open reading frame 18	Down-regulated
NM_003671	CDC14B	CDC14 cell division cycle 14 homologue B (Saccharomyces cerevisiae)	Down-regulated
BC003064	DAB2	Disabled homologue 2, mitogen-responsive phosphoprotein (Drosophila)	Down-regulated
NM_013974	DDAH2	Dimethylarginine dimethylaminohydrolase 2	Down-regulated
NM_019114	EPB41L4B	Erythrocyte membrane protein band 4.1-like 4B	Down-regulated
NM_018267	H2AFJ	H2A histone family, member J	Down-regulated
BE566023	KIAA0372	KIAA0372	Down-regulated
NM_016436	PHF20	PHD finger protein 20	Down-regulated
AF131790	SHANK2	SH3 and multiple ankyrin repeat domains 2	Down-regulated
AB018322	TMCC1	Transmembrane and coiled-coil domain family 1	Down-regulated
NM_020182	TMEPAI	Transmembrane, prostate androgen induced RNA	Down-regulated
NM_005783	TXNDC9	Thioredoxin domain containing 9	Down-regulated
NM_021964	ZNF148	Zinc finger protein 148	Down-regulated
AA551142	PHACTR2	Phosphatase and actin regulator 2	Down-regulated
NM_030920	ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Up-regulated
BC000751	EIF5A	Eukaryotic translation initiation factor 5A	Up-regulated
R60018	RABEP1	Rabaptin, RAB GTPase-binding effector protein 1	Up-regulated
BF343007	TFAP2A	Transcription factor AP-2alpha (activating enhancer binding protein 2alpha)	Up-regulated
AK021741	TMF1	TATA element modulatory factor 1	Up-regulated
M61715	WARS	Tryptophanyl-tRNA synthetase	Up-regulated
