Symbol	name	Fold	Category
Plagl1	pleiomorphic adenoma gene-like 1	1.9	WT Unique
Peg3	paternally expressed 3	1.9	WT Unique
Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	1.7	WT Unique
Sulf2	sulfatase 2	1.6	WT Unique
Cyb5r3	cytochrome b5 reductase 3	1.5	WT Unique
Rasal2	RAS protein activator like 2	1.5	WT Unique
Wiz	widely-interspaced zinc finger motifs	1.5	WT Unique
Ndrg4	N-myc downstream regulated gene 4	1.5	WT Unique
Gck	glucokinase	1.5	WT Unique
Fzd3	frizzled homolog 3 (Drosophilia)	1.5	WT Unique
Areg	amphiregulin	1.5	WT Unique
Lhfp	lipoma HMGIC fusion partner	2.3	P132L Unique
Irf6	interferon regulatory factor 6	2.3	P132L Unique
Blnk	B-cell linker	2.2	P132L Unique
Foxf1a	forkhead box F1a	2.2	P132L Unique
Krt14	keratin 14	2.1	P132L Unique
H3f3b	H3 histone, family 3B	2.1	P132L Unique
Slit2	slit homolog 2 (Drosophila)	2	P132L Unique
Vps13b	vacuolar protein sorting 13B (yeast)	2	P132L Unique
Serpinb5	serine (or cysteine) peptidase inhibitor, clade B, member 5	1.9	P132L Unique
Wnt10a	wingless related MMTV integration site 10a	1.9	P132L Unique
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	1.8	P132L Unique
Trps1	trichorhinophalangeal syndrome I (human)	1.8	P132L Unique
Tmc4	transmembrane channel-like gene family 4	1.8	P132L Unique
Rfxdc2	regulatory factor X domain containing 2 homolog (human)	1.8	P132L Unique
Setd5	SET domain containing 5	1.8	P132L Unique
Ccbe1	collagen and calcium binding EGF domains 1	1.8	P132L Unique
Tacstd1	tumor-associated calcium signal transducer 1	1.7	P132L Unique
Zbtb20	zinc finger and BTB domain containing 20	1.7	P132L Unique
Pthlh	parathyroid hormone-like peptide	1.7	P132L Unique
Dst	dystonin	1.7	P132L Unique
Cugbp2	CUG triplet repeat. RNA binding protein 2	1.7	P132L Unique
Rbms1	RNA binding motif, single stranded interacting protein 1	1.7	P132L Unique
Tnc	tenascin C	1.7	P132L Unique
Gab2	factor receptor bound protein 2-associated protein 2	1.7	P132L Unique
B3galnt1	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase. polypeptide 1	1.6	P132L Unique
Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	1.6	P132L Unique
Myo1d	myosin ID	1.6	P132L Unique
St14	suppression of tumorigenicity 14 (colon carcinoma)	1.6	P132L Unique
Hs2st1	heparan sulfate 2-O-sulfotransferase 1	1.6	P132L Unique
Eps15	epidermal growth factor receptor pathway substrate 15	1.6	P132L Unique
Itgb4	integrin beta 4	1.6	P132L Unique
Sbk1	SH3-binding kinase 1	1.6	P132L Unique
Ddef1	development and differentiation enhancing	1.6	P132L Unique
Lrrc8d	leucine rich repeat containing 8D	1.6	P132L Unique
Adk	adenosine kinase	1.5	P132L Unique
Inhba	inhibin beta-A	1.5	P132L Unique
Cdcp1	CUB domain containing protein 1	1.5	P132L Unique
Sh3bgrl	SH3-binding domain glutamic acid-rich protein like	1.5	P132L Unique
Arl15	ADP-ribosylation factor-like 15	1.5	P132L Unique
Unc13b	unc-13 homolog B (C. elegans)	1.5	P132L Unique
Ap1m2	adaptor protein complex AP-1, mu 2 subunit	1.5	P132L Unique
Akap13	A kinase (PRKA) anchor protein 13	1.5	P132L Unique
Cachd1	cache domain containing 1	1.5	P132L Unique
Usp34	ubiquitin specific peptidase 34	1.5	P132L Unique
Bdkrb2	bradykinin receptor, beta 2	1.5	P132L Unique
Dsg2	desmoglein 2	1.5	P132L Unique
Cyr61	cysteine rich protein 61	1.5	P132L Unique
Tbc1d5	TBC1 domain family, member 5	1.5	P132L Unique
Arhgap18	Rho GTPase activating protein 18	1.5	P132L Unique
Lphn3	latrophilin 3	1.5	P132L Unique
Atbf1	AT motif binding factor 1	1.5	P132L Unique
Plf	proliferin	1.5	P132L Unique
