GenBank accession number	Description	Fold Induction	Fold Induction	Function
M68891	GATA-2	BuA, 13þ2	TSA, 16þ2	transcriptionfactor
D38305	TOB-1	BuA, 10þ1	TSA, 12þ2	cellcycleregulator
D10924	HM89	BuA, 10þ2	TSA, 10þ1	chemokinereceptor
D10495	PKCN	BuA, 10þ2	TSA, 9þ1	transductionmodulator
X75208	EPH3	BuA, 8þ1	TSA, 7þ1	transductionmodulator
U09579	p21Cip1	BuA, 4þ1	TSA, 5þ1	cellcycleregulator
U05340	p55Cdc	BuA, 4þ1	TSA, 4þ1	cellcycleregulator
X74979	TRKE	BuA, 3þ0.5	TSA, 4þ1	transductionmodulator
M11717	HSP70	BuA, 3þ0.8	TSA, 4þ1	stressresponse
S90469	CytochromeP450reductase	BuA, 3þ0.3	TSA, 3þ0.5	detoxication
X67951	PAG	BuA, 3þ0.6	TSA, 3þ0.4	stressresponse
L25080	RHOA	BuA, 3þ0.7	TSA, 3þ0.2	transductionmodulator
L13740	NAK1	BuA, 3þ0.5	TSA, 3þ0.6	transductionmodulator
L33264	PISSLRE	BuA, 3þ0.6	TSA, 3þ0.5	cellcycleregulator
U02081	NET1	BuA, 3þ0.5	TSA, 3þ0.4	transductionmodulator
M60974	GADD45	BuA, 3þ0.4	TSA, 3þ0.3	cellcycleregulator
J03132	ICAM-1	BuA, 2þ0.2	TSA, 2þ0.2	adhesionmolecule
M36717	Placentalribonucleaseinhibitor	BuA, 2þ0.2	TSA, 2þ0.2
X79389	GST-theta1	BuA, 2þ0.1	TSA, 2þ0.2	detoxication
X54079	HSP27	BuA, 2þ0.2	TSA, 2þ0.1	stressresponse
U24166	EB1	BuA, 2þ0.1	TSA, 2þ0.2	transductionresponse
