Symbol	Name	Unigene ID	Function
DPYSL3	Dihydropyrimidinase-like 3	519659	Signal transduction
ALCAM	Activated leukocyte cell adhesion molecule	150693	Signal transduction
SOCS2	Suppressor of cytokine signaling 2	485572	Signal transduction
PLCB4	Phospholipase C, beta 4	472101	Signal transduction
RBM14	RNA binding motif protein 14	11170	Signal transduction
TGFBRAP1	Transforming growth factor,  beta-receptor associated protein 1	446350	Signal transduction
CRHBP	Corticotropin-releasing hormone-binding protein	115617	Signal transduction
ITGA9	Integrin, alpha 9	113157	Signal transduction
HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (Saccharomyces cerevisiae)	20521	Signal transduction
FLT3	Fms-related tyrosine kinase 3	507590	Signal transduction
PDE1A	Phosphodiesterase 1A, calmodulin-dependent	416061	Signal transduction
DDAH1	Dimethylarginine dimethylaminohydrolase 1	379858	Signal transduction
GPR125	G protein-coupled receptor 125	99195	Signal transduction
AKT3	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	498292	Signal transduction
RHOBTB1	Rho-related BTB domain-containing 1	148670	Signal transduction
PTPRD	Protein tyrosine phosphatase, receptor type, D	446083	Signal transduction
TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	501080	Signal transduction
MAP3K4	Mitogen-activated protein kinase kinase kinase 4	390428	Signal transduction
ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	374613	Signal transduction
TNFRSF21	Tumor necrosis factor receptor superfamily, member 21	443577	Signal transduction
CYTL1	Cytokine-like 1	13872	Signal transduction
PILRB	Paired immunoglobin-like type 2 receptor beta	530084	Signal transduction
LRP6	Low-density lipoprotein receptor-related protein 6	210343	Signal transduction
C12orf2	Chromosome 12 open reading frame 2	269941	Signal transduction
MAGI1	Membrane associated guanylate kinase interacting protein-like 1	16064	Signal transduction
SOCS6	Suppressor of cytokine signaling 6	44439	Signal transduction
DST	Dystonin	485616	Signal transduction
ERG	V-ets erythroblastosis virus E26 oncogene-like (avian)	473819	Signal transduction
POLD2	Polymerase (DNA-directed), delta 2, regulatory subunit 50 kDa	306791	DNA metabolism
RUVBL2	RuvB-like 2 (Escherichia coli)	515846	DNA metabolism
MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	517582	DNA metabolism
BAT8	HLA-B–associated transcript 8	520038	DNA metabolism
SMARCA1	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 1	152292	DNA metabolism
POLA	Polymerase (DNA-directed), alpha	495880	DNA metabolism
RAD52	RAD52 homolog (S. cerevisiae)	525220	DNA metabolism
ATR	Ataxia telangiectasia and Rad3-related	271791	DNA metabolism
MSH5	MutS homolog 5 (E. coli)	371225	DNA metabolism
MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	438720	DNA metabolism
CBX5	Chromobox homolog 5 (HP1 . homolog, Drosophila)	349283	DNA metabolism
SMARCAL1	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a-like 1	516674	DNA metabolism
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	515840	DNA metabolism
CBX2	Chromobox homolog 2 (Pc class homolog, Drosophila)	368410	DNA metabolism
HSPCB	Heat shock 90-kDa protein 1, beta	509736	Response to stimulus
CHML	Choroideremia-like (Rab escort protein 2)	170129	Response to stimulus
SERPING1	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1 (angioedema, hereditary)	384598	Response to stimulus
SEPP1	Selenoprotein P, plasma, 1	275775	Response to stimulus
HSPB1	Heat shock 27-kDa protein 1	520973	Response to stimulus
TCEA2	Transcription elongation factor A (SII), 2	505004	Response to stimulus
IGLL1	Immunoglobulin  lambda-like polypeptide 1	348935	Response to stimulus
D2S448	Melanoma-associated gene	332197	Response to stimulus
AREG	Amphiregulin (schwannoma-derived growth factor)	270833	Cell proliferation
IGFBP7	Insulin-like growth factor binding protein 7	479808	Cell proliferation
EMP1	Epithelial membrane protein 1	436298	Cell proliferation
PAWR	PRKC, apoptosis, WT1, regulator	406074	Cell proliferation
LDOC1	Leucine zipper, downregulated in cancer 1	45231	Cell proliferation
MPHOSPH9	M-phase phosphoprotein 9	507175	Cell proliferation
NDN	Necdin homolog (mouse)	50130	Cell proliferation
DKC1	Dyskeratosis congenita 1, dyskerin	4747	Cell proliferation
SKB1	SKB1 homolog (Schizosaccharomyces pombe)	367854	Cell proliferation
CCNL2	Cyclin L2	515704	Cell proliferation
ANAPC7	Anaphase promoting complex subunit 7	529280	Cell proliferation
CDK6	Cyclin-dependent kinase 6	119882	Cell proliferation
NUP93	Nucleoporin 93 kDa	276878	Transport
SV2A	Synaptic vesicle glycoprotein 2A	516153	Transport
CPT1A	Carnitine palmitoyltransferase 1A (liver)	503043	Transport
ICA1	Islet cell autoantigen 1, 69 kDa	487561	Transport
